"","No_data","5_months"
"1110032F04Rik",1.6362890320417,0.0915845724796062
"1300002E11Rik",2.22355604170875,1.04232538976293
"1500009C09Rik",2.98814528970022,0.0617391405627975
"1600014C23Rik",0.493287746987092,0
"1700001O22Rik",1.09171424443534,0
"1700003M07Rik",1.63058706818523,0.192684051837859
"1700007K13Rik",0.753978846797307,0.234988951010903
"1700016P03Rik",2.46141297895657,0.160108722467425
"1700040D17Rik",1.43613233710261,0.450159500680927
"1700109H08Rik",3.58273100709292,0.0715636180985555
"1700110C19Rik",3.5748745017644,0.232388109045375
"1810010H24Rik",2.76465337106266,0.567998889219786
"1810013L24Rik",5.00880880660186,2.58096718904679
"2310031A07Rik",2.24543042297137,0.116075052520939
"2610035F20Rik",1.19463873148913,0.131709617258543
"2700033N17Rik",1.40256883520854,1.04036928659674
"2810403A07Rik",4.8881516809245,1.21230980430137
"2810459M11Rik",2.1747710114459,0.0295133990496809
"2810474O19Rik",3.66478732967979,1.8317435242105
"2900005J15Rik",1.54867571684259,0.170297511343722
"2900052N01Rik",1.11682581669541,0.0296270324838988
"2900076A07Rik",3.13958823061945,0
"3110079O15Rik",0.652203715550605,0
"3110082J24Rik",1.4858973162147,0
"3930402G23Rik",0.674060321814678,0
"4833420G17Rik",4.29607657667002,1.90009259974225
"4921530L21Rik",0.444803448381058,0
"4930412L05Rik",0.470899335853605,0.108501948827246
"4930426I24Rik",1.35382643035065,0
"4930429H19Rik",0.909218603977983,0.0352188463964896
"4930432E11Rik",0.490957873581834,0.019388122550918
"4930447K03Rik",0.626427515341283,1.48124126759189
"4930527E20Rik",1.13422146837198,0
"4933416E14Rik",0.775272729686759,0.0947160042677259
"5930409G06Rik",1.837518476478,0
"5930412G12Rik",0.675011635785544,0.0193216800912088
"6720483E21Rik",0.95196648920694,0
"9330132A10Rik",2.24657386644784,0.0553348541783618
"9330182L06Rik",1.22318762061287,0.889668584725536
"9430041J12Rik",0.872888940034379,0.0671382307144056
"A030012G06Rik",0.29567840277974,0
"A2m",0.691102918861032,0.0722297818825319
"A330041J22Rik",0.636082044326057,0.0465392478345497
"A330048O09Rik",0.808172617073716,0
"A430103D13Rik",4.32882466777568,2.4730895064098
"A430105I19Rik",2.28183776601141,2.1707807260069
"A430110L20Rik",1.70245859285226,0.0623636074575605
"AC112142.1",0.731119536070772,0.174680254249307
"AC122018.1",0.477364271222119,0
"AC122858.2",3.0822947032397,0
"AC130671.1",0.942818146768616,0.556075566489239
"AC139294.1",1.16748194232553,0.805933528665832
"AC139845.1",1.0642847007448,0.0542181457522924
"AC140304.2",0.80786042002135,0.630484660720399
"AC153911.1",1.69809211282845,0.493399743707409
"AC154586.1",0.4827613417027,0
"AC154636.1",4.27062667126925,0
"AC154718.1",2.4719427717508,0
"AC160550.2",0.734739129119714,0.0246569670707974
"AC163667.1",1.42458951563089,0
"AI464131",3.10991084445047,0.967602414522373
"AI849053",1.5264565378617,0.243465896078947
"AL626769.3",1.60114170922534,0.072411788799022
"AU020206",3.30563759387306,3.86252768201602
"AW011738",4.47214426712635,1.15557841343307
"Aass",0.417282493151263,0.093808549408335
"Abca1",3.07051863152015,2.16706461380265
"Abcd2",3.00358982089197,3.34284906391416
"Abhd1",2.03569714823688,0
"Abhd3",2.03646856158015,0.305501003722106
"Acaa2",3.34766909797182,3.63716803570371
"Acadl",3.67652560363291,2.99549841087904
"Acot1",3.52308098442421,0.7472884462919
"Acot11",1.06144613813725,0.057829163337872
"Acsbg1",2.26304303470009,0.10812531087973
"Acsf2",1.17768231131991,1.20608082226908
"Acsl6",1.84590904747078,0.0371404805828684
"Acss1",3.55076026930905,1.27659117607995
"Actr3b",1.18855245972203,0.0896720086914822
"Adamts1",5.46802235322961,0.753410086573066
"Adamts5",0.784264174065246,0.0687816000039914
"Adcyap1r1",2.86634268206313,0.0917655357642801
"Adgrb1",2.80092314058255,0.017321639582551
"Adgrb2",3.04670111931277,0
"Adgrg1",5.69546769585035,1.45983648769044
"Adgrl1",2.18531365338419,0.0113696732261789
"Adhfe1",1.29962562747864,0.898056620790858
"Adora2b",2.20712595497736,2.07981938638607
"Adra2a",2.89508152728067,0.500488098108098
"Adrb1",3.90555431120212,0.636024331933708
