"","astro","other"
"1110032F04Rik",5.12851686805725,0.945500055308563
"1300002E11Rik",4.20907637326409,1.74423868889885
"1500009C09Rik",6.82830036707854,1.87773245584822
"1600014C23Rik",3.5175724073205,0.136328057824108
"1700001O22Rik",3.69826558935846,0.593613649959309
"1700003M07Rik",5.34126894426966,0.954708929508522
"1700007K13Rik",3.44743246527877,0.413306475252515
"1700016P03Rik",7.20757287270881,1.46488605612023
"1700025F24Rik",2.27238335948678,0.242488400696742
"1700040D17Rik",4.34097100436435,0.946937336177719
"1700110C19Rik",6.2657750492412,2.42767120759634
"1810010H24Rik",5.46856368510423,1.94390135381887
"1810010K12Rik",1.41010843896834,0.0667296805643828
"1810062G17Rik",1.27178398937824,0.224064130157141
"2010007H06Rik",1.76717062535641,0.391408685883679
"2310014F06Rik",1.72483564568297,0.175593311258151
"2310031A07Rik",4.26749012638667,1.49261033831301
"2610035F20Rik",3.89969507420729,0.697726388657668
"2700033N17Rik",4.69999741572,1.06355263699721
"2810030D12Rik",1.04090150820806,0.223763717514245
"2810049E08Rik",1.95726310176184,0.247180912148258
"2810459M11Rik",6.71485224966723,1.23754874803117
"2900005J15Rik",3.97128683231779,0.98180972130897
"2900052N01Rik",5.71695104765855,0.477617218994754
"2900076A07Rik",5.46555206297741,2.07642274813118
"3110079O15Rik",4.20589195209275,0.212024922783136
"3110082J24Rik",5.76426945760748,0.755757215768157
"3110099E03Rik",1.30145425645895,0.142353454794063
"3830432H09Rik",1.79063707463243,0.208190489862556
"3930402G23Rik",4.40535168450716,0.214950846818165
"4921530L21Rik",2.58742321383761,0.164672479882431
"4930412L05Rik",2.89442498414875,0.194248250396421
"4930426I24Rik",3.63098882667371,0.804364421941671
"4930429H19Rik",4.09810980283215,0.43172644475083
"4930432E11Rik",4.47329997979628,0.0717706514148254
"4930447K03Rik",3.0640150591823,0.696546619995669
"4930449E01Rik",0.96379294689706,0.112768257537596
"4930488L21Rik",1.57890803340181,0.177965550468847
"4930515G13Rik",0.82888817008762,0.164865836755014
"4930527E20Rik",4.0693753700258,0.600504341576143
"4931406G06Rik",2.00789266189216,0.346953622435061
"4932438H23Rik",1.10528576636124,0.198076761025936
"4933416E14Rik",4.69710398152183,0.300697147293101
"5033404E19Rik",1.38776032862407,0.06168721011749
"5430427N15Rik",1.24018030723448,0.08313097861621
"5930409G06Rik",4.80314280026509,1.10068288864235
"5930412G12Rik",3.6065260134532,0.278277764325187
"6430500D05Rik",1.98633605584613,0.122434436221097
"6530411M01Rik",2.62187783187537,0.30843515109942
