"","cerebral_cortex","peritoneum","brain","blood"
"2010109P13Rik",0.393159100905014,0,0,0
"4833403J16Rik",0.58453357459054,2.37779775247107,0.761054614499845,0.955032209144404
"4930555A03Rik",0.4080169962873,3.87586345306721,0.191845067191305,0.585424613216135
"4930578C19Rik",0.527935657879402,0.0408046885571694,0.0654500184919854,0.514007850911482
"4933421A08Rik",1.32564750550165,0,0.253296690174742,1.22182814931135
"9930004E17Rik",1.42048935177825,1.73743108361438,1.42714418745578,3.07099420467241
"AC110211.2",1.16490249708466,0,0,0.489682140368566
"AC113125.1",3.57056939230557,0,0.0505114282120568,0.549385942316209
"AC164883.6",0.623509289927711,0,0,0.61383749014209
"AI467606",2.38742291323888,9.59293782199129,7.53895697969959,9.43140782544133
"AU021092",1.65220383041478,0,0.750991548088319,0.145045738972502
"Abcb1a",1.02988652905747,0.188821999111544,0.419553966194769,0.82232688754496
"Abcc6",0.641253467942376,0.0225014810236999,0.0767749979796873,0.199070288220367
"Abcc9",0.546153627456627,0.110679255350915,0.105886184536975,0.442246810432796
"Abcg2",1.66662416422844,0.544171585259444,2.73572986145637,1.11596560764226
"Ablim1",1.47687743941711,0.275284686070795,0.736711050241055,1.26670537512523
"Acer2",0.671944756443672,0.331768213794199,0.771746243187578,2.57109258363095
"Ackr2",1.08069218023128,0.168494282680802,0.236357586139111,0.482587812450154
"Ackr3",3.16169989980691,3.35694676444332,1.27337403658375,0.526651830213838
"Acvrl1",2.44586292806273,0.562599265547393,3.91227094336451,4.75105898313187
"Adamts1",6.62460533259202,0.101618505698916,5.81406961011721,0.779847744513633
"Adamtsl2",1.71095989268908,0.0190613039766408,1.32516395281228,0.106506859880611
"Adcy4",1.22314327930977,0.931593634553005,0.470848735035954,2.33928834727721
"Adgra2",1.85960186280267,0.106412136357716,0.159562081732775,0.667344780779143
"Adgre5",1.9847606324921,0.933037656334455,0.7740800559168,8.01922202365123
"Adgrf5",1.28841333086131,0.17659100246565,0.390115817014189,0.234971356000441
"Adgrl4",1.14143651976004,0.159456187092917,0.569298070359558,0.634973082767923
"Adora2a",1.89655627756042,1.56022184309239,0.0732496621301029,3.30277523178467
"Adrb2",3.61405729194628,6.09201501766689,9.92005952252589,9.20596596261415
"Afap1l1",2.21106588086325,0.0503911485808521,2.14053142655573,0.978299315005825
"Ahnak",1.57304628210288,6.4299033094158,0.525837381112923,7.72119758969181
"Ajuba",1.45043891264854,0.954860865330768,2.87907481242197,0.911118268936743
"Akap12",2.35172373423863,0.0713129970165408,0.414310023626735,0.925753656404071
"Akr1c14",0.698438320319129,0.0569328535278327,0.206923339513723,0.405422612872628
"Angptl4",4.04636462876375,1.85942402118642,0.777559251323223,0.666126643979565
"Ankrd37",1.95180804327704,0.318203863940029,1.29944892836613,2.57682136702742
"Anxa1",0.916499517935874,5.26415501788309,1.19462178141111,8.86397020156527
