"","meanx","meany","tvalue","FC","logFC","pvalue","Contrast","adj.P.Val"
"Cyr61",201.065088991123,8617.8563969824,-12.8496583487973,42.8610279398772,5.4215945456013,1.02291275616104e-12,"endoBYo",4.86664492570983e-11
"Gm29397",19.3574686948063,567.821456027292,-14.672170894025,29.3334559895035,4.87447515047564,1.24711747543418e-14,"endoBYo",1.09484047258057e-12
"Slc38a3",38.5273317897595,948.740490566218,-12.4412857355619,24.6251283567576,4.62205933942288,3.08257589256124e-09,"endoBYo",4.48117434841366e-08
"S1pr1",121.592866680651,2612.50387391886,-12.1055576253997,21.485667253658,4.42530267668134,7.64536787522178e-05,"endoBYo",0.000294615003489865
"Bhlhe40",164.232899660174,3104.54742800575,-12.0084260072734,18.9033222602146,4.24056790537211,1.47049393246083e-12,"endoBYo",6.61214172110385e-11
"Id1",59.4950943030311,881.459550926171,-11.8015121838072,14.8156677664307,3.88905174728221,0.00187443926145599,"endoBYo",0.00496031337095585
"Ccdc8",5.16708350004018,68.5940049001068,-13.9898320818646,13.275188004911,3.73066038769322,4.7202283030726e-13,"endoBYo",2.54696611582622e-11
"Slco1c1",43.5800567216654,557.491907295795,-15.4211763424536,12.7923630493726,3.67721088332239,5.01717447354458e-14,"endoBYo",3.603732171371e-12
"Lama5",2.16576650911784,27.4924868532699,-15.7886051743569,12.6941139488153,3.66608779304238,1.70970950927066e-11,"endoBYo",5.5217377333715e-10
"Eogt",7.58003022247621,91.0483388205693,-8.37107094836696,12.0116063060796,3.58635718971569,0.0159851379589371,"endoBYo",0.0304966546279377
"Ccdc141",1.9322737055747,22.9367556728981,-13.7118283520224,11.8703450793356,3.56928997064306,2.54711732495083e-05,"endoBYo",0.000111716646669086
"Foxs1",3.43925152703048,40.7095165582652,-13.7501349170475,11.8367372198028,3.56519955376668,2.88999550192295e-11,"endoBYo",8.65160629080398e-10
"Cyp2d22",10.0650045373831,117.16920786111,-9.15499801787358,11.6412473959573,3.54117375068864,0.00709638704929139,"endoBYo",0.0154551457660439
"Fkbp10",3.74629562372103,43.1569110768997,-14.2996687188855,11.5198893551369,3.52605495510839,1.51383004907213e-08,"endoBYo",1.71306711895768e-07
"Ctgf",21.037238867312,231.967715000533,-9.56330699850503,11.0265285508056,3.46290675790915,0.000107706924463962,"endoBYo",0.000399396629218275
"Lamb2",23.2186596629891,251.027344768277,-12.6069586421423,10.8114485681711,3.43448792990324,6.81579729667679e-13,"endoBYo",3.48235296984713e-11
"Hes1",69.3279105886854,745.378831231079,-11.3677014397945,10.7514971229023,3.42646566087881,5.28477605204548e-12,"endoBYo",2.02625824262395e-10
"Gjc1",2.59171335449188,25.2188161890587,-7.11964064389668,9.73055764263057,3.28252248591129,0.0330321874111891,"endoBYo",0.0555888545639538
"Angptl4",24.5372731016854,230.085822753231,-14.6109900440608,9.37699237399884,3.22912525931707,2.97080016124587e-14,"endoBYo",2.31419056222684e-12
"Sod3",4.03257036234953,35.8762380866168,-5.41210946749845,8.89661800363823,3.1532570083645,0.0639660070968581,"endoBYo",0.0961554647688926
"Hspb8",1.80995556886597,14.8070433569612,-14.1167781271549,8.18088775860864,3.0322574074027,2.70746317213216e-13,"endoBYo",1.5517411336031e-11
"Wwtr1",2.88205990876308,21.8482489177672,-10.2276231245711,7.58077542084962,2.92234542604781,0.00137089535416039,"endoBYo",0.0037787587739958
"Gm9889",3.11328937677982,22.6357684862229,-12.2839042924417,7.27069210303729,2.86209270198455,1.44285347921678e-12,"endoBYo",6.50106874148937e-11
"Osmr",1.06960720712346,7.75179895804458,-14.689474324508,7.24733239119792,2.85745006351486,2.02515765473085e-14,"endoBYo",1.65323109946903e-12
"Gm11914",22.9149390656677,162.118344645371,-9.9575268655105,7.0747883806623,2.8226869950491,2.16854789155458e-10,"endoBYo",4.78312911314676e-09
"Maff",46.0567545186148,297.031740081805,-9.30079618068283,6.44925468992292,2.6891324446784,6.2776055767685e-09,"endoBYo",8.08378743741848e-08
"Adamts9",0.544921541079606,3.49619202884929,-11.9813888193108,6.41595489494247,2.68166399948118,8.31009686908919e-09,"endoBYo",1.03051722553173e-07
"Nes",23.9187219252661,149.763154483355,-8.94638903435723,6.26133599242003,2.64647052041586,0.000421112671609355,"endoBYo",0.00133470997621974
"Tead2",4.69402760987817,29.2091838814689,-8.33216227688916,6.22262719972092,2.63752381633222,0.000510730428773255,"endoBYo",0.00158092756061994
"Rbp1",1.70842936658801,10.2498882404888,-8.7080775051507,5.99959731490647,2.58486567217392,0.00212302375357253,"endoBYo",0.00550681844299274
"Epas1",8.90764781376078,51.6310907470837,-10.1259165171946,5.79626539200646,2.53512365268747,3.43275239465499e-09,"endoBYo",4.89006962182565e-08
"Ephb4",2.18425358488205,12.6003958789929,-12.1275413306258,5.76874222215064,2.52825679761046,6.66169608355851e-10,"endoBYo",1.24263661430493e-08
"Gm5596",2.13441890458144,10.9600942826295,-3.11324805805799,5.13493122606072,2.36034495415095,0.161396775489261,"endoBYo",0.205657314413325
