"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Contrast","FC"
"Gm32688",4.99624173265424,0.41653362851849,31.6001586540772,5.40318151493597e-24,1.19534584654928e-19,41.7256087476971,"endoBYo",31.9167474476154
"Madcam1",6.25295669675637,0.633538911060068,30.0706913302018,2.18085788997651e-23,2.41235595499752e-19,40.6827831947776,"endoBYo",76.2653955927829
"Gm13450",4.21832759274894,0.281221839516596,29.6023913120305,3.3882675825152e-23,2.49862145759946e-19,40.3478045158351,"endoBYo",18.6141468990778
"Ackr2",5.04017006679598,0.657846107075637,27.478459779098,2.72280790586e-22,1.24156062216824e-18,38.7280485302998,"endoBYo",32.9035209348744
"Adgrl4",6.22027452330452,0.765273472161183,27.3657810279772,3.05374199887845e-22,1.24156062216824e-18,38.637249195171,"endoBYo",74.5571352928239
"Slc19a3",4.53748160203848,0.536653426885715,27.2701168676644,3.36724844415741e-22,1.24156062216824e-18,38.5597562882521,"endoBYo",23.2229863542832
"Tek",4.93395349810876,0.514656225022842,26.9362763562307,4.74763958846019e-22,1.5004575802215e-18,38.286385095571,"endoBYo",30.5680686583535
"Flt4",4.58467259140679,0.484784582644096,26.084087972769,1.16209794735378e-21,2.94951148469614e-18,37.5672227895516,"endoBYo",23.9951776887647
"Pcdh12",5.89167518052184,0.616679597549824,26.0319180883513,1.22863068894106e-21,2.94951148469614e-18,37.5221735619715,"endoBYo",59.3705338497894
"Fgfbp1",6.34134803002213,0.667820552614333,25.955527159408,1.33323305369802e-21,2.94951148469614e-18,37.4559916504725,"endoBYo",81.0841502975359
"Sema3g",5.29710896576004,0.680437784523886,24.8132352753035,4.64816029289965e-21,8.73896202955036e-18,36.4346309013467,"endoBYo",39.3177529048382
"Egfl7",5.5009775819239,0.562004593858221,24.7956727569427,4.74020450909028e-21,8.73896202955036e-18,36.4184504394001,"endoBYo",45.2855094322662
"Akr1c14",4.30764733117346,0.439382112252219,24.1069553661496,1.03315644979228e-20,1.75819385682728e-17,35.7720504826104,"endoBYo",19.8030031897628
"Rassf9",4.28877392758905,0.483451606808174,23.540002062441,1.99236330280041e-20,3.14836095341811e-17,35.2220312042958,"endoBYo",19.5456265586826
"Abcc6",3.57665198610248,0.349726128944524,22.7255959595233,5.24933733717218e-20,7.74207266068401e-17,34.4022747747275,"endoBYo",11.9310737948639
"Abcb1a",5.48871575712808,0.725358255672418,22.4179019925109,7.63130882149282e-20,1.05517153161178e-16,34.0830855056057,"endoBYo",44.9022476245373
"Nos3",3.89210978458333,0.415418843549405,21.8859877604759,1.4732208121407e-19,1.91718023688168e-16,33.5185563637467,"endoBYo",14.8471053988686
"Fam124b",3.91625737070728,0.373105781312402,21.6878969220295,1.88902097683681e-19,2.32171172614226e-16,33.3040897373887,"endoBYo",15.0977051409839
"Emcn",3.77689908782079,0.426425725362465,21.6069948950907,2.09210923302396e-19,2.43598592432574e-16,33.2158265500961,"endoBYo",13.7075524406959
"Gm4246",-6.22207606346647,2.48883042538659,-21.4848042284699,2.44255813107467e-19,2.70183567668824e-16,33.0817706250523,"endoBYo",0.0133957942849527
"Adgrf5",5.94549923002385,0.740758950397513,20.980011389136,4.6703326156583e-19,4.92008421220041e-16,32.5182635875625,"endoBYo",61.627366195814
"Flvcr2",4.13342745101078,0.566402428442665,20.8126263436107,5.80779552212326e-19,5.84026637890604e-16,32.3278948790811,"endoBYo",17.5503445766662
"Gpihbp1",3.84114793701682,0.312258939493074,20.2462572258586,1.22843017601055e-18,1.18158959929919e-15,31.6703750331745,"endoBYo",14.3318002593771
"Foxl2os",4.05005158116129,0.393857055270831,19.9315148712805,1.87758623221547e-18,1.73074334230429e-15,31.2958128146091,"endoBYo",16.5648310188525
"Grb7",3.87215666750469,0.379638986975834,19.8147518175356,2.20088097593001e-18,1.94760359321998e-15,31.1551507909162,"endoBYo",14.6431767595628
"Cyp8b1",2.95148551372025,0.227122560323523,19.5264096252123,3.26966226268345e-18,2.782105316821e-15,30.8037613736781,"endoBYo",7.73545156912774
"Tnfsf10",3.74682274810408,1.08407917836846,19.4859665429581,3.4577204617462e-18,2.83315369537819e-15,30.754011360208,"endoBYo",13.4247447060664
"Bvht",4.78799973083902,0.675691330458641,19.3387388566799,4.24201620604087e-18,3.35164730450865e-15,30.5719274687356,"endoBYo",27.6268607200878
"AU021092",7.57857725329066,0.920368002037034,18.9104241982466,7.74826644252723e-18,5.79048947698038e-15,30.0333680988058,"endoBYo",191.152101826562
"Asb4",4.49915931460408,0.666964999554123,18.9010415171116,7.8522209605122e-18,5.79048947698038e-15,30.0214208994222,"endoBYo",22.6142354196315
"4930578C19Rik",3.4328994491759,0.351107222955732,18.733604763449,9.97000902378877e-18,7.11504869784771e-15,29.8071251062136,"endoBYo",10.7995511636153
"Mmrn2",5.40784892513636,0.737438213949282,18.5240936590596,1.34764823797167e-17,9.31688186520226e-15,29.5360314744809,"endoBYo",42.4545985432181
"Igfbp7",5.47268889857584,0.983526868987977,18.3591149805511,1.71209042875216e-17,1.14777504712982e-14,29.3202209174331,"endoBYo",44.4061902661816
"Ushbp1",6.1356684665215,0.869151550243542,17.9348150982449,3.19555285476209e-17,2.07927105311475e-14,28.755526442113,"endoBYo",70.3105106077597
"Ces2b",3.80525533503932,0.415897576983784,17.831000211308,3.72974153886602e-17,2.35751634469523e-14,28.615203589747,"endoBYo",13.9796402990532
"Cyyr1",3.00193533253331,0.434966578445841,17.7643891241095,4.120275530601e-17,2.53202376565239e-14,28.5247141921109,"endoBYo",8.01073896370122
