"","other","macrophages","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","macrophages","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.511784550400949,0.903459744368422,0.776316689946972,0.998146088030016,0.588529743736523,0.903459744368422,0.511784550400949,0.860566068924111,0.669959493125355,NA,0,0,0,0,0,0,0,0,0
"macrophages",0.511784550400949,1,0.307306379347298,0.852391770921043,0.476284880749294,0.989371015434506,0.307306379347298,1,0.603466309456594,0.542784926845307,0,NA,2.20268248085631e-13,0,0,0,2.20268248085631e-13,0,0,0
"mouse_FVN_Swiss",0.903459744368422,0.307306379347298,1,0.472911352282663,0.91541650595787,0.371851188978855,1,0.307306379347298,0.654990898270044,0.316263540331255,0,2.20268248085631e-13,NA,0,0,0,0,2.20268248085631e-13,0,3.99680288865056e-14
"mouse_C57BL6",0.776316689946972,0.852391770921043,0.472911352282663,1,0.747974303183092,0.894623202779504,0.472911352282663,0.852391770921043,0.846139930969416,0.860421677221417,0,0,0,NA,0,0,0,0,0,0
"No_data",0.998146088030016,0.476284880749294,0.91541650595787,0.747974303183092,1,0.55022092578816,0.91541650595787,0.476284880749294,0.836031849416859,0.65748789295498,0,0,0,0,NA,0,0,0,0,0
"5_months",0.588529743736523,0.989371015434506,0.371851188978855,0.894623202779504,0.55022092578816,1,0.371851188978855,0.989371015434506,0.695180035597469,0.585170073992295,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.903459744368422,0.307306379347298,1,0.472911352282663,0.91541650595787,0.371851188978855,1,0.307306379347298,0.654990898270044,0.316263540331255,0,2.20268248085631e-13,0,0,0,0,NA,2.20268248085631e-13,0,3.99680288865056e-14
"peritoneum",0.511784550400949,1,0.307306379347298,0.852391770921043,0.476284880749294,0.989371015434506,0.307306379347298,1,0.603466309456594,0.542784926845307,0,0,2.20268248085631e-13,0,0,0,2.20268248085631e-13,NA,0,0
"brain",0.860566068924111,0.603466309456594,0.654990898270044,0.846139930969416,0.836031849416859,0.695180035597469,0.654990898270044,0.603466309456594,1,0.638169756763112,0,0,0,0,0,0,0,0,NA,0
"blood",0.669959493125355,0.542784926845307,0.316263540331255,0.860421677221417,0.65748789295498,0.585170073992295,0.316263540331255,0.542784926845307,0.638169756763112,1,0,0,3.99680288865056e-14,0,0,0,3.99680288865056e-14,0,0,NA
