"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Contrast","FC"
"Cd5l",10.9248187420141,2.64364309118338,49.7072729998567,1.47431982340927e-29,8.1540943633208e-26,48.4945098526132,"macrophagesBYo",1944.00840613683
"Saa3",13.4476115312484,3.25996659461148,37.9840109911471,3.1378031461371e-26,1.15696031669985e-22,44.3389372031265,"macrophagesBYo",11172.0903939696
"Gata6",5.88924293609588,1.27512892105733,32.8658069919224,1.88027148033824e-24,5.94246370850326e-21,41.7012285052603,"macrophagesBYo",59.2705251930671
"Cfb",6.76933627795528,1.4388163540424,32.7093066174279,2.15100988030351e-24,5.94834894774433e-21,41.6098460027499,"macrophagesBYo",109.087068323882
"Vsig4",6.25459996612478,1.38834133476577,31.0698163654804,9.14348153261053e-24,2.24756935495492e-20,40.6086462470277,"macrophagesBYo",76.3523134694502
"Gbp2b",6.48120073626045,1.48486425174671,29.5286184660613,3.81172783584944e-23,8.43268549124971e-20,39.5891522136295,"macrophagesBYo",89.33791849677
"Timd4",6.27686196739645,1.51366749649995,26.8105658580261,5.65399986681894e-22,1.13712217321487e-18,37.5814479517395,"macrophagesBYo",77.5396311603124
"Alox15",11.3322600535081,2.72624359786338,26.2051648073148,1.06708851282041e-21,1.96726659742715e-18,37.0937752009381,"macrophagesBYo",2578.39941975697
"Gm29459",5.16092212980492,1.0638575469678,25.6011859316454,2.03851756277542e-21,3.4690864647139e-18,36.5912250770932,"macrophagesBYo",35.7760481484849
"Gm48832",5.06256987165613,1.13586101317487,24.4444386736071,7.33024894716339e-21,1.15833641041497e-17,35.5815844280633,"macrophagesBYo",33.4183794954328
"Marco",5.58217822761793,1.14190422359166,24.3148300723679,8.48951411185389e-21,1.25209013797696e-17,35.4644280836431,"macrophagesBYo",47.9074536014156
"Cxcl13",8.59652965514313,2.42202635042278,22.575979340871,6.53916154854564e-20,9.0416169336547e-17,33.8083285715373,"macrophagesBYo",387.091187954152
"Calml4",5.24507768840935,1.72894657104155,21.872123433962,1.55589113223625e-19,2.02476350108604e-16,33.0905311954831,"macrophagesBYo",37.9250108580892
"Gm26863",6.96138630365074,1.56047222502362,20.602305729215,7.92895276005589e-19,9.23222220582718e-16,31.7199303621411,"macrophagesBYo",124.619524207737
"Arg1",7.58325880073698,2.1464116267692,20.517126465569,8.87196413398591e-19,9.60604705861933e-16,31.6243269833835,"macrophagesBYo",191.773398175676
"Serpinb2",7.95239915688813,1.94563513063588,19.8980786748795,2.03293599838078e-18,1.9554192648773e-15,30.9149872349201,"macrophagesBYo",247.691260750501
"Wnt2",4.14945635484436,0.965328111729267,19.3861957930147,4.10504795375616e-18,3.78399899503948e-15,30.3085402600883,"macrophagesBYo",17.7464229774684
"Hal",4.25477269945115,1.08884898685907,17.8169834609557,3.92645828798823e-17,3.3409629501986e-14,28.3290910659398,"macrophagesBYo",19.0903639125178
"Cdkn2a",3.80560751698334,0.914450747223003,17.5394344966755,5.95667067259966e-17,4.74754051474004e-14,27.9589083708649,"macrophagesBYo",13.9830533404369
"F7",6.23963778285846,1.61427982185444,16.1424641274961,5.29340391731636e-16,4.03813706423413e-13,25.9959618320204,"macrophagesBYo",75.564555972415
"Gm26641",3.46167537193798,1.18098301741991,15.9102722183137,7.72429322237324e-16,5.69615129861877e-13,25.652739040577,"macrophagesBYo",11.0171210743519
"Fabp4",11.1042109761639,2.87225373996062,15.447538273807,1.66242625958492e-15,1.14930800439991e-12,24.9534995630362,"macrophagesBYo",2201.40821097652
"Platr26",2.94192082935243,0.665330649712542,15.1354064149126,2.81693452125245e-15,1.88845583071721e-12,24.470068794772,"macrophagesBYo",7.68433720736685
"Cyp26a1",4.26973752252978,1.01258115137185,14.9068742451677,4.16705248979604e-15,2.63393434947879e-12,24.1099448533341,"macrophagesBYo",19.2894154939794
"Gm35657",3.09737998022504,1.00679292357494,13.7578415305536,3.21054709992047e-14,1.96388355660173e-11,22.2166033111353,"macrophagesBYo",8.55863059739216
"Tpsb2",5.13334869735755,1.32411395574756,13.745410845173,3.28453155513555e-14,1.96388355660173e-11,22.1953385209539,"macrophagesBYo",35.0987731336775
"Naip1",3.30960858261512,0.850373394629684,13.5011457300485,5.15537542003286e-14,3.00137816887861e-11,21.7739619426173,"macrophagesBYo",9.91497120514575
"C1ra",4.50250292072464,1.81764771230338,13.1328126822322,1.02913620352895e-13,5.69189505766773e-11,21.125690295414,"macrophagesBYo",22.6667072050209
"Rpsa-ps3",2.48213453331608,1.5807004208218,13.0282705055894,1.25543351684103e-13,6.77413553489613e-11,20.9388243303455,"macrophagesBYo",5.58723512301194
"Gm13647",3.18420152397379,0.843766018728203,12.4034196078258,4.21993640449391e-13,2.17110821108416e-10,19.794740913937,"macrophagesBYo",9.08950370398229
"Cyp2e1",2.89211235993915,1.26282622518026,12.2431216042709,5.79915749165745e-13,2.90589181540812e-10,19.493573231113,"macrophagesBYo",7.4235659512347
"Gm43175",6.75721448333701,2.12197702062262,12.2101954792066,6.19266118350192e-13,2.9782661600568e-10,19.4313166897584,"macrophagesBYo",108.174338128195
"Car6",2.75161873297711,0.658892318124274,12.0722775943614,8.16363914240384e-13,3.84264231377447e-10,19.169068452978,"macrophagesBYo",6.7347235802371
"Gm26554",2.7560119829137,1.06199980287947,11.7275424746222,1.64426108040911e-12,7.57833080872723e-10,18.5030339819686,"macrophagesBYo",6.75526320785224
