"","macrophagesBYo","AveExpr","F","P.Value","adj.P.Val"
"mt-Th",-9.96316316090741,0.664210877393827,3023.92668589573,8.18564890082329e-31,1.81091110632914e-26
"mt-Tl1",-11.4887132315769,0.765914215438457,2595.1767224895,7.30494696063737e-30,7.31329733406041e-26
"mt-Tr",-9.24059882535594,0.616039921690395,2540.29069409284,9.9172318411523e-30,7.31329733406041e-26
"Cd5l",10.9248187420141,2.64364309118338,2470.81298908228,1.47431982340927e-29,8.1540943633208e-26
"mt-Tl2",-9.00124521562626,0.600083014375083,1517.0794893304,1.53885179090422e-26,6.80880363403483e-23
"Saa3",13.4476115312484,3.25996659461148,1442.78509097559,3.1378031461371e-26,1.15696031669985e-22
"Gata6",5.88924293609588,1.27512892105733,1080.16126923029,1.88027148033824e-24,5.94246370850326e-21
"Cfb",6.76933627795528,1.4388163540424,1069.89873939291,2.15100988030351e-24,5.94834894774433e-21
"Vsig4",6.25459996612478,1.38834133476577,965.333488984672,9.14348153261053e-24,2.24756935495492e-20
"Gbp2b",6.48120073626045,1.48486425174671,871.939308514216,3.81172783584944e-23,8.43268549124971e-20
"Timd4",6.27686196739645,1.51366749649995,718.806441627553,5.65399986681894e-22,1.13712217321487e-18
"Alox15",11.3322600535081,2.72624359786338,686.710662578529,1.06708851282041e-21,1.96726659742715e-18
"Gm29459",5.16092212980492,1.0638575469678,655.420721106676,2.03851756277542e-21,3.4690864647139e-18
"Gm48832",5.06256987165613,1.13586101317487,597.530582067741,7.33024894716339e-21,1.15833641041497e-17
"Marco",5.58217822761793,1.14190422359166,591.210961448128,8.48951411185389e-21,1.25209013797696e-17
"Cxcl13",8.59652965514313,2.42202635042278,509.674843199433,6.53916154854564e-20,9.0416169336547e-17
"Calml4",5.24507768840935,1.72894657104155,478.389783510471,1.55589113223625e-19,2.02476350108604e-16
"Gm47669",-3.15595030235278,0.210396686823519,448.613528492575,3.73719278678141e-19,4.59321755677584e-16
