"","astro_SRR1033783","astro_SRR1033784","endo_SRR1033795","endo_SRR1033796","macrophages_SRR1106141","macrophages_SRR1106142","macrophages_SRR1106143","macrophages_SRR1106169","macrophages_SRR1106186","macrophages_SRR1106188","microglia_SRR1033793","microglia_SRR1033794","microglia_SRR1106118","microglia_SRR1106122","microglia_SRR5483445","microglia_SRR5483446","microglia_SRR5483447","monocytes_SRR5483448","monocytes_SRR5483449","monocytes_SRR5483450","monocytes_SRR5483451","monocytes_SRR5483452","myeoligo_SRR1033791","myeoligo_SRR1033792","neuron_SRR1033785","neuron_SRR1033786","newoligo_SRR1033789","newoligo_SRR1033790","preoligo_SRR1033787","preoligo_SRR1033788"
"1010001N08Rik",0,0,0,0.0467113525285908,0.833324374848549,1.0967186710552,0.81674383169809,1.63449859439756,1.88450255207949,1.74932570410672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1300014J16Rik",1.85581665485747,2.77876631655473,0.676647570133174,0.118596522707036,0,0,0,1.49910631138316,1.58627145118807,1.15700698371493,1.23062504905086,0.426747034502642,0,0,3.34178116571042,4.01124675844127,3.40128889657716,3.86798458637669,1.55945727573293,2.44813543735672,2.98558625229162,2.32231087318846,0,0,2.19336148433579,0.590270198080654,0,0,0.354849373957388,0.656840738315075
"1500015A07Rik",3.35701733018871,3.24267928435369,2.49939190662653,2.69383305365192,0,0.699563791939212,0.638180616825366,0.597078341697105,0.88212331032806,0.757329308456844,2.72486798195377,2.37460205204836,0,0,2.53824588798182,2.05726741453409,2.62697541616917,1.82566160537663,2.27076065323131,1.70113518667207,1.55689831751511,1.74769360141279,3.39466104087057,3.37564994869652,4.44837430450111,4.07405094358611,3.35120334270138,3.68712218075147,3.44363061896347,3.79130462835732
"1700008J07Rik",2.60781350964349,2.58266944284687,1.29685622801523,1.74635282232068,2.12333117634206,0.859900083934132,2.42207528509018,2.00455989722505,1.90785555482566,3.29133087433598,1.37550647432169,0.70553470128923,1.18948526902458,0,3.94242934039646,3.34534269865457,4.06832620439166,2.45582851991613,2.66744453670534,2.29880251934721,3.02388244047314,2.83981433820777,2.52064402900694,2.30804398259031,2.91625553319418,2.90394604029745,3.60329996338989,1.97737615909675,3.1279042346409,2.26424408202957
"1700011D18Rik",0,0,0.498383375047865,0,0,0,0,0,0,2.79422561621767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28536408133996,2.74274638684161,0,0,0,0
"1700025O08Rik",0,0,0,0,4.26946422220794,4.07258643348569,3.87575938358057,4.16074708147409,3.88944873455537,4.16787093522355,0,0,1.21060421889549,1.80398644845822,0.515669145570363,0.264170979198993,0.439176511289556,0.55798794271222,0.465009245559932,1.39223650358552,0.644450056746631,1.02993125276755,0,0,0,0,0,0,0,0
"1700037H04Rik",3.40535129549956,3.89488756101198,4.31591506568572,4.27866930847597,3.12339918079383,2.52449404575939,2.9883243819365,3.04930949706525,2.45321686354611,2.56084999207345,2.8217896154971,2.98825554643532,0.747752374784324,0.695967919946258,2.53251276640307,2.65752933287406,2.88249001790622,4.11281391595393,4.02100821814729,4.09700629317704,3.18116011611664,3.05490866143868,2.36752587762215,2.95111282451781,4.91861686116664,4.75950404741529,3.19883230949634,3.65758460647997,3.54893264315204,4.16936790679102
"1700047M11Rik",0.868420942536742,0.240450173172172,0.0423807051642101,0.0528990258004364,1.5616771055516,2.2472174716076,2.66851306968805,2.7512531091647,2.49232934277101,2.37346867647634,0.136640934905955,0.014358845847118,0.18319809409832,0.152164963964595,0.235169976995424,0,0,2.94844206187193,3.72508731875418,4.17769372444672,1.28268230737559,1.49259960714489,5.10670739388276,5.19181052254099,0.272267578602264,0.782279863568019,6.89110979000716,5.919923527095,4.28091794773505,3.02251913942245
"1700067K01Rik",1.53382662839439,1.11117799918783,0.394710683091371,0.27530623753344,0,0.68370640638283,0,1.31857550661799,0,1.00437753016668,0.593036194314201,0.508252051070425,0,0,1.88728636211423,2.09842947054722,0,2.94020676184774,2.80191312640585,2.5209525958135,1.7976873430625,1.20740160237859,0.0810525516283855,0.585405597088868,1.92654539698287,1.93572090600126,1.41118108910056,1.32341709661536,1.27834685498878,1.46924697017313
"1700109G15Rik",0,0,0,0,5.02185967068588,5.04894688719462,4.83802576058204,4.87079781465093,5.03372272280368,5.03873122531036,0,0,2.5373552844581,2.79110392816848,0,0.441637473002257,1.04053597636923,0,0,0.75661055721067,1.58850575538733,0.389020292591109,0,0,0,0,0,0,0,0
"1700113B19Rik",0,0,0,0,0,0,0,0,2.06614694342866,0,0,0,0,0,2.54807034181681,0,0,0,0,0,1.90834056892444,1.82680731478459,0,0,0,0,0,0,0,0
"2010110G14Rik",0.0156377557366403,0.0110249733886747,0.0297088881554725,0.0346771951859434,2.70138925941745,2.75107145791698,2.12120797434744,2.52158316338964,1.99718983541314,2.2199032219783,0.144111047266568,0.0994436621533475,0.638285851637931,0.681506656258682,0.365483296471432,0.268444604039518,0.414218585620275,0.0690689794529047,0.0558854245828503,0.458004705873777,0.610078183193303,0.507917468677276,0.0109830395526632,0,0.0144505450973005,0,0.00658090320943942,0.0194137359854574,0.0242723707216366,0.0167742376384132
"2200002J24Rik",0.223092505665735,0,0,0,1.42720940996105,1.1571792263051,1.40341288136303,1.33112809429565,2.11243230389733,1.60478644981409,0,0,0,0,0.275810612343312,0,0,1.32482156015749,0.854478175356391,0,0.780670476650711,0.734790392534675,0,0,0,0,0,0,0,0
"2210417A02Rik",0,0,0.434761651620819,0.693156407272491,1.6291856339652,2.01757522039829,1.60353231445256,2.25015245144784,0,2.59926952080324,0.146055117111747,0,0,0,1.03160376949867,2.35812158497419,2.38299290786008,0.950493006419368,2.80911987195837,2.22254731154491,2.18862854877345,1.40385901354175,0,0,0,0,0,0,0,0
"2310074N15Rik",0.548838728787531,1.8506820307558,1.12322545008141,0.837779487360462,3.37182150729154,2.13923063160589,0,2.37749361948995,0,2.73356612848782,1.13084888902856,1.50842605231797,0,0,1.4591504782188,1.93976911342032,0,0,0,0,1.57882150004783,1.50508313915151,1.84669550234117,2.47712989609989,2.83940792426581,3.51751959451872,2.77101574179011,0.468453366654497,0.40086201957588,0
