"","No_data","5_months"
"1010001N08Rik",0.00212324329675413,1.0018892160232
"1600002K03Rik",4.18682347978541,6.84571541879558
"1700007G11Rik",0.125114397977971,1.52964745364876
"1700019N19Rik",0.116932831160831,0.801104974600276
"1700020L24Rik",1.20936363258931,3.0899709325664
"1700025O08Rik",0.241301438065035,3.43130843223511
"1700109G15Rik",0.191650457025482,4.39756791173176
"1810064F22Rik",0.0852724727322024,1.62414833017541
"2010008C14Rik",2.71598239974719,9.66708918774036
"2010107E04Rik",5.73920405108454,9.2240538152038
"2010109P13Rik",0.250192155121372,0
"2010110G14Rik",0.144371800091041,1.95401717754495
"2200002J24Rik",0.190621078304923,1.12951854570453
"2900092C05Rik",0.13268320811436,2.47077683139854
"4631405K08Rik",0.0906920854926079,0.398925670921598
"4833403J16Rik",0.666203250286853,2.04677739637556
"4921517D22Rik",0.00754040645035363,0.60881116789225
"4930435E12Rik",0.0848567914906795,0.627144082169691
"4930455G09Rik",1.30515292947765,4.89422568573384
"4930555A03Rik",0.436299379548155,2.90689758980041
"4930563E18Rik",0.175654377300755,0.841272324870106
"4933417E11Rik",0.149390047643583,1.10093800157892
"4933422A05Rik",0.225751244792454,1.78865015686276
"6030443J06Rik",0.21173724479665,1.35674089736407
"9530051G07Rik",0.184537936071097,2.12118905162833
"A4galt",0.260867330782404,1.13820100615591
"AC107452.2",0,0.625258020294799
"AC107452.3",0.108369990285089,2.47476536223832
"AC117194.1",0.0326060114466475,1.17152807357675
"AC121567.1",1.26362979703818,4.7919795281364
"AC124408.1",0.0639994176040706,0.406246476809635
"AC130673.2",0.0559861703405008,0.402998014287274
"AC149294.3",0,3.27736180054409
"AC154276.3",0.220120130424238,4.12783283671316
"AC155167.2",0.152815885306889,1.78959202936692
"AC158986.1",0.116078471321579,1.73929333810888
"AL591952.1",0.0797597813134234,0.520760433477231
"Adamtsl5",0.455206111973835,3.01189381916909
"Aipl1",0.123859808225479,0.641317887370563
"Akr1c12",0.108800413496875,0.956552896931711
"Akr1c13",1.11955370687088,3.44982126785321
"Aldh1a2",0.260101353444587,2.13528051046636
"Alkal1",0.171701065838318,1.14884329103864
"Alox15",0.532622889417618,8.75870054608921
"Alox5ap",2.99740331069336,7.85015803877058
"Ambp",0.149450379728406,0.770485839851173
"Anpep",0.425096375238792,1.18684606307617
"Apoc1",1.4125541186182,5.06306397060074
"Apon",0.140518073930927,0.299871493882719
"Arfip1",0.460393027689294,2.2984799579258
"Arg1",0.837447324743978,5.74606345733856
"Arhgdib",1.76855590807842,8.15104060769924
"Ascl2",1.65992566397735,4.29905500133491
"Asf1b",1.49185822998947,3.64113348319779
"Asz1",0.120273178072885,0.931511392757059
"Atox1",5.12884708213884,7.699139517678
"Atp5e",7.10797783580944,10.0464707541327
"Atp5g1",4.37707924477873,7.04337852526956
"Atp5g2",3.35518288684473,6.31967628515569
"Atp5k",7.61130134528779,10.9682725077001
"Atp5l",3.76305088505023,8.65552213088072
"Atpif1",5.84218060475482,9.36786454318917
"B230377A18Rik",0.429332383509953,1.90542181224572
"B3gnt3",0.507742930652458,1.58293083831344
"Bcam",1.86416584726973,6.63252910694888
"Best3",0.116258357245184,0.725853417375843
"Birc5",2.4413376549643,4.77351941566187
"Bri3",1.17726098641569,3.42789420590579
"Bst1",0.828040005787427,4.79381386934586
"C1ra",0.938255543396577,4.2359761767971
"C1rb",0.0483523769135223,0.768592628265287
"C4a",0.916365884512811,2.42526835940372
"CT009550.1",0.139423331753128,1.03315851178643
"CT025525.1",0,0.458086158957142
"Calml4",0.55155629822377,4.96676982129045
"Car6",0.118521430591737,2.14491225883875
"Card9",1.03510587486742,4.23403165223692
"Ccdc68",0.00685507540339883,1.20700691700554
"Ccl24",1.70318381634912,9.32048697787268
"Ccl26",0.0730796768509007,1.09540730651124
"Ccm2l",0.878355030676555,2.49962742035842
"Ccnb1",1.78593894180777,3.44722789726224
"Ccnb2",1.87086428653688,3.81194369730293
"Cd209b",0.613718954833645,3.20275260932027
"Cd24a",4.29628464674732,7.29456635534921
"Cd36",0.885987668832174,3.85643836643879
"Cd38",1.29662334671806,3.21797515245815
"Cd5l",0.403051012894277,8.8052713064784
"Cdkn2a",0.154958506081837,3.00305441036121
"Cebpb",6.45618907814434,11.3137389193639
"Cfb",0,5.395561327659
"Cfp",4.66125620601689,10.3128353816854
"Cks1b",3.81537487334308,6.30258724067137
"Clec18a",0.161295902332358,1.00158123329664
"Clec4d",1.16034693244583,6.35010303714487
"Cma1",0.376884566830373,3.35984145773336
"Colca2",0.699730001505624,2.54144397537376
"Cops9",6.01351882345864,8.38306635411482
"Cotl1",4.65314240924405,8.49137973914961
"Cox7a1",1.75297908244455,4.17596692972741
"Cox7b",5.86243723040242,8.36721496056486
"Cpa3",0.229148492600091,1.39150956064469
"Crip1",4.18518569146415,10.315669899252
"Crlf2",4.93825885963066,8.47349404833104
"Cryl1",1.74646582621302,4.10111842969514
"Ctsr",0.0639166576463196,0.71068472135901
"Cxcl13",0.197682618289733,8.53897161378865
"Cyp21a2-ps",0.0123513582593779,0.564414578133102
"Cyp26a1",0.216318609362589,3.20230314189733
"Cyp26c1",0.0442033351418249,0.8757357708887
"Cyp2e1",0.116669317793817,4.41475772049297
"Cyp2j14-ps",0.0794451701526614,0.858235965305839
"D130058E05Rik",0.376078385594398,1.85089608757912
"Ddt",2.66515996479978,6.34472467268794
"Dhrs3",3.35747244516712,5.95118739542855
"Dnah12",0.464983838741718,1.69670607190637
"E230032D23Rik",0.141324709819384,0.823783832275436
