"","cerebral_cortex","peritoneum","brain","blood"
"1010001N08Rik",0.00333652518061363,1.33585228803093,0,0
"1600002K03Rik",3.89188899092193,7.29950995486443,5.22455351978671,4.49391334092331
"1700007G11Rik",0.0131928366695269,1.60046698116794,0.598211735616469,0.442227221248416
"1700019N19Rik",0.0220280896209126,0.997671951640117,0.0845616173923016,0.452825806169103
"1700020L24Rik",1.50169791344946,3.51675584839795,0.7238464740287,1.11644582573448
"1700025O08Rik",0,4.07264613175454,0.846721460682524,0.817923000274371
"1700109G15Rik",0,4.97534734687125,1.36212653239961,0.546827321037822
"1810064F22Rik",0.000841185852865264,1.54054807949679,0.804726945307393,0.318096247210787
"2010008C14Rik",0.98700796103921,10.2360862835387,6.91553943762354,5.45519999049249
"2010107E04Rik",5.79031486132888,9.62073912699242,6.68923530360734,5.56398006137894
"2010109P13Rik",0.393159100905014,0,0,0
"2010110G14Rik",0.0305055967208255,2.38539081874383,0.473587798805568,0.340190952356022
"2200002J24Rik",0.0159351789761239,1.50602472760604,0.0551621224686624,0.738952120939853
"2900092C05Rik",0.0483371369708991,2.86210275122141,0.558533966528699,0.40864779442794
"4631405K08Rik",0.00654987992735333,0.53190089456213,0,0.380705512370885
"4833403J16Rik",0.58453357459054,2.37779775247107,0.761054614499845,0.955032209144404
"4921517D22Rik",0.01184921013627,0.74689449899464,0.0778244698340324,0
"4930435E12Rik",0,0.784168035770675,0.119333209759077,0.316465561346609
"4930455G09Rik",0.499650927144015,6.45001896983418,0.235369834368204,4.19901879270335
"4930555A03Rik",0.4080169962873,3.87586345306721,0.191845067191305,0.585424613216135
"4930563E18Rik",0.184764848162886,1.0051896173613,0.230092273233021,0.165253590992834
"4933417E11Rik",0.00132370264860348,1.46791733543857,0,0.653609842215678
"4933422A05Rik",0.0465243993125664,1.765193883644,0.88751687182338,0.719127877795843
"6030443J06Rik",0.2009128340907,1.47351268040202,0.473265858906951,0.29839230204444
"9530051G07Rik",0.177249258056089,2.38568667284641,0.550622071620781,0.296125399724632
"A4galt",0.163355024700891,1.32871544952345,0.360152408815797,0.556932847885603
"AC107452.2",0,0.508901664261538,0.389730835357832,0
"AC107452.3",0.00279222208698555,2.77023677464976,0.674295994349408,0.430054191063029
"AC117194.1",0.00661692361046114,1.25136694290792,0.403709989103622,0.0940336613856248
"AC121567.1",0.00245597284280264,5.43363862493909,2.63143652880905,4.06845874929043
"AC124408.1",0.0108001150022733,0.541661969079513,0,0.251357115451545
"AC130673.2",0.0879782676779299,0.537330685716365,0,0
"AC149294.3",0,3.29656525452138,1.28790057544488,0
"AC154276.3",0.112580725633584,4.36877447537032,1.36200316829667,0.653302542092614
"AC155167.2",0,2.38612270582256,0,0.67238989535031
"AC158986.1",0.00577317245969906,1.8363466928408,0.631009333577285,0.442824366915757
"AL591952.1",0,0.592895436080168,0.176471391400492,0.296213816645939
"Adamtsl5",0.561821128721456,3.92693032808089,0.352137214931612,0.184384234306656
