"","cerebral_cortex","peritoneum","brain","blood"
"0610039K10Rik",0.634782848630337,0.305677638379382,2.64621603157795,0.229448168021442
"0610040J01Rik",1.89829238869455,0.811441616407056,4.75725093968683,2.87733049793135
"1600017P15Rik",0.575805357763024,0,2.68880077242995,0
"1700009J07Rik",0.238157384542086,0,1.97640211006696,0
"1700011L22Rik",0.175812064928436,0.0403649197509759,1.64866586268504,0.479875909564385
"1700016G22Rik",0.207388788218699,0,1.40068995777832,0
"1700016J18Rik",0.236646777749569,0,1.45985941563894,0
"1700017B05Rik",4.35438357708117,4.91894054059671,7.72949128870519,3.95530917320214
"1700017J07Rik",0.0693592430112705,0,2.00827931508909,0
"1700018M17Rik",0.294333415326087,0,0.513008211717102,0.357351828010706
"1700020N01Rik",0.0904564857791726,0.0300615573968043,2.28678864910892,0.330647786135763
"1700040L08Rik",0.162543050954876,0,1.29278671012778,0
"1700064M15Rik",0.492687530002871,0,3.02810387197681,0.898229768779425
"1810011H11Rik",0.639699061183556,3.2259627801816,4.58541366951836,1.4094199026131
"2010008C14Rik",0.98700796103921,10.2360862835387,6.91553943762354,5.45519999049249
"2610042L04Rik",0.250428344476246,0,1.27021384447568,0.0294334176498246
"2610528A11Rik",0.694935611383885,0.425216215210356,2.89857537534681,0.79831100855619
"3830403N18Rik",0.106388805254488,0.763396414375504,2.49471442080357,0.461182504390193
"4833411C07Rik",0.294560774511847,0.357609386613382,2.30206037279458,0.993399054539417
"4930406D18Rik",0.0494221651476171,0,1.69861129748861,0.0828037205654652
"4930430E12Rik",0.83437194461733,2.75000582203145,3.55268763080107,1.75224730080748
"4930478M09Rik",0.276142365521851,0,1.26957566018406,0.738547033117896
"4930507D05Rik",1.14095432225765,0,2.88350578005523,0.780368049991535
"4930537H20Rik",0.107078448687362,0,1.28463640287161,0.150928856378299
"4930567H12Rik",0.0465307204938255,0.015071773667352,1.32581014922575,0.12459203367219
"4930589L23Rik",0.0381991025846263,0.203197186041856,1.49654117253033,0.254411049710116
"4933406I18Rik",0.288319198413191,0.103252217821255,2.29436840099217,0.744400741332803
"4933424M12Rik",0.153827883358821,0.142109818804897,3.18254554381327,1.63717485929164
"4933433G15Rik",0.602857767083185,0.0742170810328027,2.57265101925806,0.799356274931091
"5033421B08Rik",0.106522706523194,0.00617321975282732,1.23211658659105,0.161855857242883
"6030468B19Rik",0.508361695680872,0,2.46168434321397,0.733717138624843
"8030423J24Rik",0.277619852668497,0,2.88393465253211,0.413836226528012
"A830008E24Rik",0.286777278062775,0.0893265180785336,2.33340756674618,0.45973483319389
