"","other","microglia","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"1700017B05Rik",4.07369608990256,7.88628650921351,4.35438357708117,5.49610284706981,4.88783142962874,5.17084052255263,4.35438357708117,4.91894054059671,7.72949128870519,3.95530917320214
"1810011H11Rik",1.2112693572833,4.34664802582868,0.639699061183556,3.08312153385918,1.46674302233546,3.25217311336707,0.639699061183556,3.2259627801816,4.58541366951836,1.4094199026131
"2010008C14Rik",4.00050673680032,6.43952447856482,0.98700796103921,7.70438842761326,2.71598239974719,9.66708918774036,0.98700796103921,10.2360862835387,6.91553943762354,5.45519999049249
"2610528A11Rik",0.44258928089783,2.94075347278592,0.694935611383885,1.31473307567357,1.04896744266758,0.960943003933108,0.694935611383885,0.425216215210356,2.89857537534681,0.79831100855619
"AC101945.2",0.270966548369755,2.95422856202594,0.687715037244552,1.08023875157889,0.985270003874074,0.65448630768204,0.687715037244552,0.140891700099364,3.04468152297333,0.243012441959876
"AC160562.1",0.161078254141725,2.70365359448878,0.375131692238321,1.08615820720904,0.950299340231641,0.215473690198132,0.375131692238321,0.0430313736303775,2.9808992533339,0.443169361378577
"Abcc3",1.16590712694075,5.09019553131883,1.08338755915567,2.95498792566811,1.88574575752529,2.62010324666411,1.08338755915567,2.54310696415277,4.93686799108906,1.46736501406558
"Abhd15",1.16337448037088,4.2814173426909,0.922038527756649,2.73868719117334,2.24742759403446,0.910515922326055,0.922038527756649,0.334476544039956,4.80877721199139,3.55364994691536
"Adamts1",3.47426752947218,6.63080275511085,6.62460533259202,2.09870611295923,5.46802235322961,0.753410086573066,6.62460533259202,0.101618505698916,5.81406961011721,0.779847744513633
"Adap2",1.01450776822177,3.94683148644559,1.02474174358101,2.28844466650535,2.29608938657592,0.055941571193696,1.02474174358101,0.0243651442061912,3.88636804201166,3.40741671775803
"Adgrg1",3.72409328250083,7.33211938753029,5.98304795121279,3.32601936832826,5.69546769585035,1.45983648769044,5.98304795121279,0.022458409399588,6.97537101783076,3.64094086954016
"Adrb1",2.3119634145942,5.40503299517853,3.99867330130317,2.18931020522949,3.90555431120212,0.636024331933708,3.99867330130317,0,5.26646243965585,1.73933021707853
"Adrb2",4.97660545570492,9.75958487681948,3.61405729194628,8.26138859573135,6.0278835007282,6.27069782536614,3.61405729194628,6.09201501766689,9.92005952252589,9.20596596261415
"Aif1",3.47667509373484,8.58001665145628,3.24552710605161,5.91164151446079,4.83249668580451,4.2135895785495,3.24552710605161,2.9804984845659,8.78922162448739,6.55143304030808
"Ak1",2.28285781865649,4.91855499670211,4.23751200662812,1.72565291957628,3.54403514714923,1.12085519609137,4.23751200662812,0.290980520527593,4.83857841782571,0.334334300185254
"Alox5ap",3.9537812362014,5.40102410182663,1.19862112024111,6.9977150913777,2.99740331069336,7.85015803877058,1.19862112024111,8.35953557810915,5.44425920445856,6.91698639421909
"Arap3",2.00180628028024,5.04035884666793,2.78727440587089,2.64388841818303,3.43213788335779,0.727127867406202,2.78727440587089,0.199280407620993,4.39879674690807,3.82250970213244
"Arhgap27",1.91398299065536,5.22263545139567,1.96833838267837,3.31395747420911,3.23697919577066,1.17081432973606,1.96833838267837,0.424763538990094,5.17915264917488,4.91579502150617
"Arhgef40",2.7603220998881,4.95027941863986,5.07255312541561,1.69522627950543,4.21151167860886,0.685763412313813,5.07255312541561,0.0321988988906722,4.4867320464037,0.899353369344854
"Arl4c",2.89317953438082,5.04249261574736,4.14674515339871,2.73663409083803,3.89833230849749,2.0096583517557,4.14674515339871,1.47438974480229,3.9660035280367,3.02195786888224
"Arl4d",4.37646203296777,6.49419636066513,5.31596464094281,4.4809060193572,4.78204982908831,5.11411313037148,5.31596464094281,5.37592705669736,6.37754486601364,1.51024192789257
"Asb10",0.116583811480537,3.63727457466806,0.641784727142109,1.1973352191712,0.930016316707548,0.960248839895341,0.641784727142109,0.141717460922709,3.6614117482406,0
"Asb2",0.281642147708441,3.8089942824793,0.81825076086521,1.35532617015852,1.24599676036492,0.716100080827622,0.81825076086521,0.0419992676725355,3.66647746588666,0.620167157413559
"Atf3",3.965301063649,7.04015920566668,5.30748188018684,4.13614328631112,5.58094582775012,2.21277883663639,5.30748188018684,2.04733783837467,6.32406459473941,4.45478851540658
"B3galnt1",1.55020549283468,4.03609932720187,2.08298238459841,2.17160426507706,2.23904599592217,1.83105121441538,2.08298238459841,1.45927755871438,4.79060128538013,0.407399292409225
"Basp1",2.12224965363037,5.08711017954516,3.77984408283968,1.96898100815995,3.29779635808648,1.48374917655151,3.77984408283968,0.397911227636093,4.94987643467929,0.873369318269226
"Bcl2a1a",0.696114351919329,3.83611834956561,0.90343785363105,1.88845803689182,1.87481033152599,0.20220390594151,0.90343785363105,0.1928285937747,3.16474338156223,2.64692802396195
"Bhlhe41",3.45365387409564,6.23156569393333,4.71621003183095,3.56425365725624,4.08251606861554,4.1549556815239,4.71621003183095,3.51090506178037,5.95895380842914,1.23357182065438
"Blnk",0.992284444704928,4.91673568280247,1.10382658727347,2.61163248662513,2.05626726148879,1.50022653188467,1.10382658727347,1.14544752494932,4.86183392944265,2.12085299781859
"Btg2",7.36357409682728,10.3406539951876,7.69314107850806,8.37767544338925,8.74639034442227,6.16577432700635,7.69314107850806,6.20482800234662,10.1611858641107,9.201581951919
"C1qa",6.77372237389444,13.3571627210729,5.9273329085226,10.3945683079854,6.25113999508959,13.971334219389,5.9273329085226,13.9662488737156,13.2776098658763,3.22551007121828
"C1qb",5.82240210231874,12.4654905160552,4.43391175514512,9.94368233710537,5.68357714388361,12.0168731000348,4.43391175514512,12.0287157433982,12.8409456973195,4.5443788893399
"C1qc",6.63698814479827,13.2482638117862,4.93296649493025,11.02044019274,6.05357879119442,14.0262300758233,4.93296649493025,14.1154431100483,13.693095695477,4.63378118923307
"C3ar1",3.4663234722976,8.33408993100399,2.22200376016766,6.68475104609534,3.53287033984123,7.54261523792069,2.22200376016766,7.87782817089057,8.44032417653026,3.49748536590612
"C5ar2",1.51099979763171,5.20125112926131,0.764456903768163,3.77870978735027,2.27257742500881,2.64563123752059,0.764456903768163,1.79682088223352,5.67018287654489,4.26550338429574
"Cables1",0.894262258726097,3.54216513199613,1.66093313766466,1.38188274671049,1.84265935454968,0.603085259322529,1.66093313766466,0.332569118129776,3.47810138297807,0.544840464739764
"Camk2n1",4.19198809937901,5.87689269419447,7.44480275832955,2.08292103302904,5.47723255597565,2.13185736420178,7.44480275832955,0.769261393726736,5.25849336281441,0.483740270406449
"Capn3",0.592433684688061,4.73057227663993,1.19652518998799,1.87428925152957,1.83179402742575,0.805064010117302,1.19652518998799,0.0453908017842339,4.56446305034246,1.37879359241109
