"","mouse_FVN_Swiss","mouse_C57BL6"
"1700017B05Rik",4.35438357708117,5.49610284706981
"1810011H11Rik",0.639699061183556,3.08312153385918
"2010008C14Rik",0.98700796103921,7.70438842761326
"2610528A11Rik",0.694935611383885,1.31473307567357
"AC101945.2",0.687715037244552,1.08023875157889
"AC160562.1",0.375131692238321,1.08615820720904
"Abcc3",1.08338755915567,2.95498792566811
"Abhd15",0.922038527756649,2.73868719117334
"Adamts1",6.62460533259202,2.09870611295923
"Adap2",1.02474174358101,2.28844466650535
"Adgrg1",5.98304795121279,3.32601936832826
"Adrb1",3.99867330130317,2.18931020522949
"Adrb2",3.61405729194628,8.26138859573135
"Aif1",3.24552710605161,5.91164151446079
"Ak1",4.23751200662812,1.72565291957628
"Alox5ap",1.19862112024111,6.9977150913777
"Arap3",2.78727440587089,2.64388841818303
"Arhgap27",1.96833838267837,3.31395747420911
"Arhgef40",5.07255312541561,1.69522627950543
"Arl4c",4.14674515339871,2.73663409083803
"Arl4d",5.31596464094281,4.4809060193572
"Asb10",0.641784727142109,1.1973352191712
"Asb2",0.81825076086521,1.35532617015852
"Atf3",5.30748188018684,4.13614328631112
"B3galnt1",2.08298238459841,2.17160426507706
"Basp1",3.77984408283968,1.96898100815995
"Bcl2a1a",0.90343785363105,1.88845803689182
"Bhlhe41",4.71621003183095,3.56425365725624
"Blnk",1.10382658727347,2.61163248662513
"Btg2",7.69314107850806,8.37767544338925
"C1qa",5.9273329085226,10.3945683079854
"C1qb",4.43391175514512,9.94368233710537
"C1qc",4.93296649493025,11.02044019274
"C3ar1",2.22200376016766,6.68475104609534
"C5ar2",0.764456903768163,3.77870978735027
"Cables1",1.66093313766466,1.38188274671049
"Camk2n1",7.44480275832955,2.08292103302904
"Capn3",1.19652518998799,1.87428925152957
"Ccl12",1.93907226827237,3.62959735506755
"Ccl24",1.35037207714028,5.82054566891863
"Ccl3",5.17015841630522,6.67399926455151
"Ccl4",4.71752420531427,5.9076414706223
"Ccl7",2.48984002291592,2.45592361777843
"Ccl8",0.427477146870231,1.31675504391652
"Ccr5",1.4348026036759,4.78446453227658
"Ccrl2",5.47651267688029,5.45668105879551
"Cd14",5.31878968521943,9.12002036654833
"Cd209f",1.44396248931545,0.909318302025135
"Cd300c2",2.6306235946124,6.57481873994487
"Cd33",1.81763687107975,6.19513041951728
"Cd37",2.88170928781866,5.66213552383069
"Cd68",5.78364175285942,11.1748606336061
"Cd81",8.44493770972165,7.22270119199181
"Cd83",3.84451717277042,4.37328374096327
"Cd86",0.905280716936608,3.99550885019712
"Cdk5r1",6.18844433651248,1.78062658795878
"Cebpa",5.70603454037197,8.20213067759163
"Ch25h",2.40124783983763,0.892271890883423
"Chst7",2.26301295738683,1.82983899361849
"Clcf1",1.20084827372578,2.49236636586217
"Cldn5",6.35331866361431,2.02692734723852
"Cryba4",1.43579884322007,2.83943279453536
"Crybb1",2.66362830228145,3.03369780888351
"Csf1r",4.60699193086438,8.69002339768249
"Cst3",11.5685061084709,13.1269323070592
"Cst7",0.72571177920018,1.97733497601178
"Ctc1",4.41892919087797,3.7971007361649
"Ctsd",6.58948620910427,3.86187571725852
"Ctsf",7.11808896231818,5.4489212655172
