"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Contrast","FC"
"Asb10",3.52772296569326,0.93807832289096,31.1454097905718,7.58818851671961e-24,1.67873494555388e-19,41.9314355568104,"microgliaBYo",11.5332160868848
"Asb2",3.46032871883532,1.10469097915497,22.9334270680325,3.87421551657016e-20,4.28546349365408e-16,34.9135977366533,"microgliaBYo",11.0068421742908
"Tnfrsf17",4.30394126284692,1.51373904455106,20.2325555946577,1.19284546973877e-18,8.79644010901027e-15,31.8869454625042,"microgliaBYo",19.7521975129894
"Slc2a5",7.05446370108854,2.35946784922951,19.5446301224255,3.04458693193408e-18,1.68388491737944e-14,31.0425305268965,"microgliaBYo",132.924543454133
"Mymk",3.26179087708725,1.07290588157971,19.1895928021763,4.99369832100071e-18,2.20951175910997e-14,30.5939406563243,"microgliaBYo",9.59172886009191
"Rab3il1",5.43644791352435,2.47773433680157,18.3812780189446,1.58735397299943e-17,5.8528386574444e-14,29.5386028754676,"microgliaBYo",43.3045860814158
"Ccl12",7.40916298572214,2.84068564789646,18.1482487392318,2.23333124619784e-17,7.05828387994782e-14,29.2252591746723,"microgliaBYo",169.973141579979
"Olfml3",7.86065341503309,3.4279250802052,16.7714607540504,1.81577022843834e-16,5.02128559546767e-13,27.2854672051192,"microgliaBYo",232.43015051306
"Gm13889",5.24992045888049,5.17938693822257,16.5864934989325,2.43218211950568e-16,5.38071650298241e-13,27.0127768411155,"microgliaBYo",38.0525296453938
"Ntpcr",2.74288886973037,3.89925189492405,16.4775889869095,2.89250525997599e-16,5.81735398785899e-13,26.8508246327599,"microgliaBYo",6.69409427798074
"Crybb1",6.52121578710954,2.86099870580255,16.3205824632575,3.71978007701553e-16,6.85772455365122e-13,26.6154938752065,"microgliaBYo",91.8505074723622
"Slamf9",3.67253412176585,3.4235485474852,16.0040437466973,6.21401830350024e-16,1.05748251483335e-12,26.1343166753794,"microgliaBYo",12.7509613914431
"Duoxa1",2.35058676506323,0.785274199023111,15.8396627403835,8.13777376274229e-16,1.28594263537963e-12,25.8808280165249,"microgliaBYo",5.10031646040551
"Capn3",3.98489792005906,1.5579993561435,15.2979314781059,2.01147783983337e-15,2.96666161670891e-12,25.0274906917572,"microgliaBYo",15.8333861492358
"Abhd15",2.47662203032317,1.89091781491222,15.0622392538433,3.00566935464448e-15,4.1559014458e-12,24.6474155325021,"microgliaBYo",5.56592716673634
"Liph",2.89177330592761,0.878296703344215,14.7929589587828,4.7846816964526e-15,5.98996947827419e-12,24.206454864957,"microgliaBYo",7.42182151183262
"Tmem52",5.34689230602295,2.07896017172981,14.7461779574345,5.19063817970194e-15,6.04381518155505e-12,24.1291069780364,"microgliaBYo",40.6981780738975
"Havcr2",3.68176346222848,2.41862173364949,14.479297162571,8.2920368757424e-15,9.17223659010246e-12,23.6835824343475,"microgliaBYo",12.8327944820486
"Lag3",6.05078647362554,2.98418790689394,14.3795524562178,9.89542223236258e-15,1.04245917165027e-11,23.5151885337075,"microgliaBYo",66.2930844202005
"Fam167b",5.83712178461954,2.48447051433438,14.2340476255315,1.28280378233283e-14,1.23388991637171e-11,23.2676785997102,"microgliaBYo",57.1674401172441
"Hspb3",5.86775752615018,2.53508630477394,14.0493394725121,1.78864125748239e-14,1.64875460580346e-11,22.950264699184,"microgliaBYo",58.3943760953787
"2610528A11Rik",2.41054409702112,1.02549425900505,13.8826652770013,2.4211604062422e-14,2.14253326669185e-11,22.6607121655346,"microgliaBYo",5.3167480330395
"Siglech",7.52338058671081,3.51697394744345,13.5309379292995,4.62846577516974e-14,3.93829032092616e-11,22.0397587376933,"microgliaBYo",183.976869774169
"Rnase4",6.00735266524839,4.31997217612975,13.3200776148962,6.86660151257166e-14,5.42535090223653e-11,21.6609232078929,"microgliaBYo",64.327007252957
"Cryba4",4.21810224453238,2.18440361725489,13.241281490805,7.96645654869389e-14,5.8876387901347e-11,21.5180712178929,"microgliaBYo",18.6112396060585
"Myadml2",4.1951375470602,2.06661373420111,13.2394161008484,7.99458774651267e-14,5.8876387901347e-11,21.5146808575493,"microgliaBYo",18.3173328673857
"Rhob",3.84728546279574,9.72700733708601,13.2227763879001,8.25009277648491e-14,5.8876387901347e-11,21.4844205432532,"microgliaBYo",14.3929006032294
"Tmem119",8.20133448153896,5.05803393259215,13.197906618804,8.64773788226132e-14,5.9785595365396e-11,21.4391346111057,"microgliaBYo",294.338914173449
"Rnase10",3.65136534190167,1.20389864441653,13.1701791494587,9.11440385774747e-14,6.11024110742265e-11,21.3885618625409,"microgliaBYo",12.5652314612164
"Fcrls",7.79203886500684,4.15465672292176,13.089546363067,1.06244085015789e-13,6.91305262589497e-11,21.2409940382567,"microgliaBYo",221.63453134291
"Rtn4rl1",3.25511879970053,1.31120452644714,12.8918124900855,1.55176978652914e-13,9.80851513925262e-11,20.8759440652185,"microgliaBYo",9.54747210494348
"Zfp691",3.10104294804227,3.57047593634759,12.7828255775512,1.91549557822718e-13,1.14531104532757e-10,20.6727906755983,"microgliaBYo",8.58038836302047
"Lefty1",3.78864192631443,2.61118052921984,12.6116010724783,2.67351754759303e-13,1.51656996680514e-10,20.3508011643224,"microgliaBYo",13.8195805836892
"Slco4a1",3.50794968010138,1.46756376819043,12.5329200419899,3.11951354155605e-13,1.70956081655626e-10,20.2016732980606,"microgliaBYo",11.3762224854237
"Gm10790",3.73645010660818,1.18545787339523,12.5250274177082,3.16828610400067e-13,1.70956081655626e-10,20.1866732221827,"microgliaBYo",13.3285700677294
"Cx3cr1",4.73044304215976,2.78739473695881,12.4968051749572,3.34919588046161e-13,1.76414905865363e-10,20.1329752940011,"microgliaBYo",26.5463764320749
"Cst7",2.44766174924966,1.39324415083304,12.4828835758322,3.44231565869125e-13,1.77103137947038e-10,20.1064517509298,"microgliaBYo",5.45531215042285
"Gm5086",2.35545206591814,1.54205576753696,12.2948162063904,4.9964100391207e-13,2.51217225671517e-10,19.7458543320424,"microgliaBYo",5.11754564769945
"Cd83",6.15973425004759,4.12652600913994,12.2021089055761,6.01244098697568e-13,2.95584959899695e-10,19.566519029335,"microgliaBYo",71.4932063011905
"Serpinf1",4.66515280987409,2.67726578236181,12.1900152440976,6.15983350388104e-13,2.96247818709479e-10,19.5430473151775,"microgliaBYo",25.3717796013423
"Npl",3.27011251695348,1.92238300414113,12.0886171845559,7.55160868729015e-13,3.55455827636e-10,19.3455447904996,"microgliaBYo",9.64721498628896
"Tmem206",2.39990816276387,3.61895065687528,12.0353982493503,8.40767628478622e-13,3.87506296767345e-10,19.2413783219704,"microgliaBYo",5.27769567159584
"Galnt12",2.88362519741902,1.43391709472195,12.0132053721933,8.79357164231768e-13,3.97020786618355e-10,19.1978362546091,"microgliaBYo",7.3800224113983
"Ccl4",7.93929043886883,5.35225341347856,11.7319300660374,1.56064885378888e-12,6.76984992007282e-10,18.6406580858676,"microgliaBYo",245.450864683681
"Lbx2",3.24058359427227,1.88662987389321,11.5544540483114,2.25195634793944e-12,9.58077505489697e-10,18.2839687728093,"microgliaBYo",9.45176391480537
"Gcnt1",2.96996958408141,2.16934920778738,11.5182712160907,2.42786984631411e-12,1.01342952094353e-09,18.2107570650941,"microgliaBYo",7.83519719177789
"Gm6277",2.9316488039148,1.33354478786099,11.2325255443804,4.42150211197967e-12,1.7784889313332e-09,17.6266729873658,"microgliaBYo",7.62981884709763
"Slco2b1",6.52876530275284,2.47073962914897,11.0936864640703,5.93752730960276e-12,2.34564136911325e-09,17.3390544566648,"microgliaBYo",92.3324141246275
"Rilpl1",2.45977284303719,2.7303374416072,11.0509856724318,6.50411490018044e-12,2.52439533222266e-09,17.2500887089368,"microgliaBYo",5.50130100686916
"Il21r",3.6443919536422,1.88136165318549,10.9927086849776,7.36826950294566e-12,2.81048665885632e-09,17.1282839636274,"microgliaBYo",12.5046429022256
"Siglec5",3.24404435190757,1.77960216534284,10.9708072660169,7.72276556534926e-12,2.89577529834274e-09,17.0823922248848,"microgliaBYo",9.47446415811593
"Slc37a2",3.72854504776624,2.33857066722723,10.8128390492161,1.0857340403495e-11,3.87414422171808e-09,16.7495114402171,"microgliaBYo",13.2557376309054
"Lair1",3.12119291370512,3.02980323781266,10.7265177781148,1.3095939669345e-11,4.54418418834166e-09,16.5662099673166,"microgliaBYo",8.70107053524258
"Pald1",4.60644890545048,2.32222597435894,10.7247671861353,1.31459471162983e-11,4.54418418834166e-09,16.5624823459887,"microgliaBYo",24.3601127472262
"Rhoh",3.41607476660405,2.1787188957244,10.7124890873101,1.35022359075253e-11,4.5955379228028e-09,16.5363264913875,"microgliaBYo",10.674338532792
"AC101945.2",2.64815622751742,0.897061018222865,10.6997620287198,1.38820235312336e-11,4.65321222093154e-09,16.5091929739629,"microgliaBYo",6.26865628325071
