"","No_data","5_months"
"1700047M11Rik",2.12201642667587,1.80372772916528
"1810058I24Rik",5.38541813484523,5.73838156080771
"2010016I18Rik",0.562030717576758,0
"2310001H17Rik",1.08426125729375,1.50993623715576
"4632432E15Rik",0.797117172905537,0.204028719008957
"4732465J04Rik",0.629777843250315,0.0458199155006471
"4930455G09Rik",1.30515292947765,4.89422568573384
"4930523C07Rik",1.84471554970698,0.408910062984269
"4933406M09Rik",0.695937775835716,0.0509051129278329
"5430425K12Rik",1.03789154960041,0.491893190551403
"5430437J10Rik",0.957349565252901,0.0710783857829546
"5830416I19Rik",0.672467067351719,0.192952701629096
"5830428M24Rik",0.944298921121178,0.0673529375748251
"9130008F23Rik",0.887647075083373,2.30777093303212
"9330175E14Rik",0.667026700150802,0.195895475118507
"9830107B12Rik",0.679261632208583,0.0850300545577843
"A430078G23Rik",1.15915347810371,0.144011843283583
"A530030E21Rik",0.622274506580162,1.59572257874814
"A530064D06Rik",1.31149550205446,1.83132886780337
"A730089K16Rik",1.22715873987922,0
"AB124611",2.19518688395025,5.58479283189327
"AC087902.3",0.991050968550563,0
"AC093043.3",1.00269194700732,0.160077854558899
"AC110211.1",0.932716235167542,0
"AC151902.2",1.07272058256907,0
"AC154646.1",1.07271536278202,0.0322349168419345
"AC168059.1",0.635597424054721,0.150961817141747
"AI662270",0.854638742990946,0
"AI839979",2.27362153166103,2.13411557947941
"AW011738",4.47214426712635,1.15557841343307
"AW121686",1.09444332956248,0.0276525638910937
"Abca7",4.71385995966869,3.0826779292186
"Acap1",1.44753271176235,0.699486837825862
"Ace",1.56160022410183,0.438167352820791
"Adam19",1.28042832673922,0.226840750342904
"Adam8",2.63727161836952,0.0909578003578769
"Adap1",3.19418773050433,3.21807300059868
"Add3",3.90729380817751,3.7104378230703
"Adgre4",1.4568639598175,1.65295727968881
"Adgre5",3.24303793493257,0.750568827777467
"Adgrg5",0.898554634645417,0.0852607837265328
"Adora2a",1.97048207448061,1.18032972192507
"Adora2b",2.20712595497736,2.07981938638607
"Adssl1",3.42957550573391,4.08162300701691
"Agpat4",2.56482777641797,1.08989383723201
"Ahnak",2.80849909551525,5.00628281982792
"Ahr",1.81092708125703,0.266305737456964
"Aifm2",1.7300815027979,2.70934691996145
"Alcam",2.32048035848097,1.46518354052741
"Aldh1b1",2.84604327633413,2.76749413692661
"Aldh2",4.79300252685826,6.74987447179938
"Alox12",1.9359945407155,0.180636585834462
"Antxr2",1.18196378311955,0.757906002028812
"Anxa1",2.63748242307086,4.58553374571547
"Anxa2",3.47776582202622,5.0471781226736
"Anxa5",4.5560701737595,3.40805313649448
"Aoah",0.643326744497988,0.412587908639112
"Aplnr",2.48410486011298,0.113005599096041
"Apobr",3.66676587021975,0.121769819783632
"Arg2",1.7945547052439,0.165592854524015
"Arhgap15",1.16971538585956,0.601135310092741
"Arhgap26",1.05255768662052,0.0598181123501836
"Arhgef37",1.70494832933078,0.0758113781950995
"Arsi",1.31144588852913,0.31690310838074
"Art2a-ps",1.59377274357699,1.4242299685084
"Art2b",0.749626160526166,0.026004974344824
"Asprv1",2.48373313765711,1.04681215431078
"Atp1a3",4.68951176577805,2.91846228323756
"Atp2a3",2.37645305690943,4.03908859562768
"Atp8b4",1.10098883744296,0.411317628064059
"Atrnl1",1.26148580633575,0.229068151785085
"Aurkb",2.74445391434847,4.58431465467644
"B230208H11Rik",1.0980754121665,0.702641790835523
"B3gnt5",2.36102179788783,1.03738089670295
"B3gnt8",1.63755368755115,1.28259212177903
"B430306N03Rik",2.30987155907504,3.63973499695907
"B4galnt1",4.74032793108121,1.83972734649216
"B4galt5",2.84598353567211,2.98279248922402
"BC051226",3.38826557325475,3.88264995097703
"BC064078",1.17403001739339,2.72170992160853
"BC147527",1.91635635300363,0.0938299358875438
"BE692007",1.14552667114091,1.36870474574416
"Bambi-ps1",4.39637121459992,0
"Bcl3",2.16865358912124,2.03745958160064
"Bex6",1.18984004610844,0.211601887003653
"Bhlhe40",6.11282194116938,6.88402263930396
"Bmx",0.751884615155367,0.667026433626972
"Bri3bp",4.3014528704489,2.18267280880562
"Bst1",0.828040005787427,4.79381386934586
"Btla",1.10305405231704,0.445628830789068
"C3",1.93109782350512,4.34775588074075
"C430042M11Rik",1.02739490736131,0.462106700931862
"CT010467.1",13.6306642548974,0.963815060244399
"Camkk2",3.44106347109384,2.2456548039294
"Camp",2.37642514976984,2.58416798866316
"Capg",3.24178435922146,6.10036469776875
"Capn1",1.61555480831801,3.17981532509616
"Capn2",3.84743409598481,2.88786282845308
"Card10",1.58885092956414,1.0235459991543
"Ccdc125",1.55103855353329,0.784573002251956
"Ccdc69",1.07288859329044,1.70995263385118
"Ccdc88c",2.14449175082983,0.622727505759818
"Ccdc92",2.40999867189728,0.0474305359694473
"Ccl5",2.14170327304297,0.703010894860004
"Ccr2",2.80350888359801,4.1335345949828
"Ccr7",1.59259014143542,0.424334137604779
"Cd177",1.92448889158445,0.0991319108078878
"Cd19",1.54926423418561,2.6123605461646
"Cd2",1.1041073380313,2.4614912652847
"Cd209a",1.97825471138613,4.03109997513883
"Cd226",0.843609257515813,0.163051614071118
"Cd244",1.53706651244083,1.77005142421392
"Cd24a",4.29628464674732,7.29456635534921
"Cd300e",1.28542101754612,0.115705461008495
"Cd300lb",2.50540603129027,3.37684534543392
"Cd300ld",2.35795146951274,4.68765102026142
"Cd300lg",1.45236453057934,3.3151726005467
"Cd36",0.885987668832174,3.85643836643879
"Cd40",1.85058141116182,2.94107498149551
"Cd44",2.28251806970916,3.0626402139232
"Cd52",3.2992202345397,8.60631015472858
"Cd55",1.48073999895879,1.71861656221671
"Cd69",1.51506013441339,0.909505805105379
"Cd74",5.13870030366129,9.7987238259489
"Cd79a",2.05912437811298,4.3643928117097
"Cd93",3.77268142132572,5.76801777371347
"Cdc42ep2",3.97146837935185,4.1447964962425
"Cdc42ep3",2.83420089655314,2.64411090820781
"Cdkn2d",6.30125447923618,6.07223371118473
"Ceacam10",0.813586798636564,0.435662964813193
"Ceacam19",0.873181323614969,0.0628156535469695
"Cebpb",6.45618907814434,11.3137389193639
"Cebpe",1.20851802368988,2.67080549787426
"Celsr3",2.15844871559034,0.837926395991803
"Cers6",1.7445432573822,1.4079226857761
"Cfp",4.66125620601689,10.3128353816854
"Chac1",2.89733052043686,0.155064109637939
"Chil1",3.22596404570944,0.554967887930987
"Chil3",2.07995669357768,4.76066977655285
"Cited4",2.92530417533382,0.86724249105299
"Cldn15",1.20267244992983,0.52276276155884
