"","mouse_FVN_Swiss","mouse_C57BL6"
"0610025J13Rik",0.105342362169774,0.377838723943536
"0610039K10Rik",0.634782848630337,1.01327417676708
"0610040J01Rik",1.89829238869455,2.69009730540833
"1600017P15Rik",0.575805357763024,0.840250241384358
"1700001C19Rik",0.178819913289196,0.712412155846675
"1700008N11Rik",0,0.454269903368568
"1700009J07Rik",0.238157384542086,0.617625659395925
"1700011L22Rik",0.175812064928436,0.680306148734563
"1700013A02Rik",0.0900961245543636,0.216632731265657
"1700016G22Rik",0.207388788218699,0.437715611805725
"1700016J18Rik",0.236646777749569,0.456206067387169
"1700017B05Rik",4.35438357708117,5.49610284706981
"1700017J07Rik",0.0693592430112705,0.627587285965341
"1700020N01Rik",0.0904564857791726,0.829221970037767
"1700030C10Rik",0.016849864651938,0.698711332398919
"1700031P21Rik",0.0262050655996653,0.327655159967403
"1700037F03Rik",0.102227507008849,0.594446573623505
"1700040L08Rik",0.162543050954876,0.403995846914931
"1700041I07Rik",0,0.396707240285713
"1700064M15Rik",0.492687530002871,1.22697926273632
"1700066B19Rik",0.0779376841252096,0.628387916298062
"1700095K22Rik",0,1.05093277026944
"1700112J05Rik",0.0171601549722623,0.369477704327218
"1700116B05Rik",0.0975821362448864,0.429811446980922
"1700122E12Rik",0.209148105289584,1.47511985448935
"1700124M09Rik",0,0.438139470491115
"1700125G22Rik",0.0203432635836168,0.483229721564836
"1810011H11Rik",0.639699061183556,3.08312153385918
"1810021B22Rik",0.430339473626566,0.587053101553952
"2010013B24Rik",0.389958128772053,2.33792634673463
"2310047D07Rik",0.327680292140673,0.603621903343709
"2610042L04Rik",0.250428344476246,0.406139769414221
"2610203C22Rik",0.132036663783213,0.38011973792652
"2610528A11Rik",0.694935611383885,1.31473307567357
"3830403N18Rik",0.106388805254488,1.20999144451387
"4632427E13Rik",1.54838618858327,3.59938546732019
"4833411C07Rik",0.294560774511847,1.16393459102189
"4833413E03Rik",0.109273143597253,0.542247628104794
"4833427F10Rik",0.153399144654693,0.439692708233866
"4833445I07Rik",2.00899284155295,2.25633700476902
"4921536K21Rik",0.867917615832079,0.950052461230801
"4930404I05Rik",0.187782949058516,1.37955904016685
"4930406D18Rik",0.0494221651476171,0.5566921931419
"4930430E12Rik",0.83437194461733,2.68904434938947
"4930447M23Rik",0.772699058668469,0.751260985573388
"4930481A15Rik",0.165837951696939,2.76921388694579
"4930483J18Rik",0.127169975209522,0.352055763108455
"4930507D05Rik",1.14095432225765,1.14496057188961
"4930519P11Rik",0.559293359823243,0.344956547982789
"4930532G15Rik",0.102716642101361,1.4153354033775
"4930537H20Rik",0.107078448687362,0.448614143515595
"4930567H12Rik",0.0465307204938255,0.458902597280864
"4930578M01Rik",0.654734941044533,1.55333447092866
"4930589L23Rik",0.0381991025846263,0.623371514215834
"4930595D18Rik",0.0677093316105516,0.766010519282329
"4933406I18Rik",0.288319198413191,0.988334938659526
"4933406P04Rik",0.991295130568181,2.02951102435201
"4933424M12Rik",0.153827883358821,1.55945380802212
"4933429H19Rik",0.258503774352901,0.59602709781814
"4933433G15Rik",0.602857767083185,1.08158368482141
"5033421B08Rik",0.106522706523194,0.437931346105414
"5330439K02Rik",0.750317673258509,0.99056214095662
"5830444B04Rik",0.10694097033329,1.07938349985612
"6030468B19Rik",0.508361695680872,0.998562963074629
"6820431F20Rik",1.36294504004086,4.32881337741055
"8030423J24Rik",0.277619852668497,1.03055339970629
"8030442B05Rik",0.686269124315302,0.823811266055231
"9430060I03Rik",0.48812060259335,0.73563503176941
"9530062K07Rik",0.736689702480206,1.66876163607624
"9930022D16Rik",0.109481221718132,0.452670043458702
"A430078I02Rik",0.0606945724930227,0.842617065515768
"A730061H03Rik",0.0997826220603128,0.302417805759324
"A730071L15Rik",0.135452440203654,0.826537447596311
"A730091E23Rik",0.144311770699473,0.689622927229524
"A830008E24Rik",0.286777278062775,0.906354444260723
"A930007I19Rik",0.719125227739453,1.15066490465949
"AC101945.2",0.687715037244552,1.08023875157889
"AC107369.1",0,0.179568622812061
"AC113595.1",0.141598400291149,2.09842406877504
"AC118250.2",0,0.271828883380814
"AC118646.2",0.132098442745692,1.20795179342466
"AC123665.2",0,0.261608573532446
"AC123724.1",2.17720963385861,1.79444165809861
"AC126028.2",0.192224471731225,0.599711234325139
