"","other","monocytes","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","monocytes","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.799989375461485,0.936200419028612,0.947556790271049,0.949010476070555,0.837709536051387,0.936200419028612,0.820854133558882,0.928438065708505,0.799989375461485,NA,0,0,0,0,0,0,0,0,0
"monocytes",0.799989375461485,1,0.734503202657265,0.885986436127031,0.88549312589765,0.606078552621359,0.734503202657265,0.624513124799834,0.794847534070995,1,0,NA,0,0,0,0,0,0,0,0
"mouse_FVN_Swiss",0.936200419028612,0.734503202657265,1,0.79850274168675,0.955196905417571,0.622975682884688,1,0.61362345408952,0.803608033345937,0.734503202657265,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.947556790271049,0.885986436127031,0.79850274168675,1,0.895383693962771,0.882241729877815,0.79850274168675,0.872381132130135,0.941378097511359,0.885986436127031,0,0,0,NA,0,0,0,0,0,0
"No_data",0.949010476070555,0.88549312589765,0.955196905417571,0.895383693962771,1,0.646827827461379,0.955196905417571,0.647358224488036,0.888071245460682,0.88549312589765,0,0,0,0,NA,0,0,0,0,0
"5_months",0.837709536051387,0.606078552621359,0.622975682884688,0.882241729877815,0.646827827461379,1,0.622975682884688,0.968036845069324,0.794287389560162,0.606078552621359,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.936200419028612,0.734503202657265,1,0.79850274168675,0.955196905417571,0.622975682884688,1,0.61362345408952,0.803608033345937,0.734503202657265,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.820854133558882,0.624513124799834,0.61362345408952,0.872381132130135,0.647358224488036,0.968036845069324,0.61362345408952,1,0.727621768814363,0.624513124799834,0,0,0,0,0,0,0,NA,0,0
"brain",0.928438065708505,0.794847534070995,0.803608033345937,0.941378097511359,0.888071245460682,0.794287389560162,0.803608033345937,0.727621768814363,1,0.794847534070995,0,0,0,0,0,0,0,0,NA,0
"blood",0.799989375461485,1,0.734503202657265,0.885986436127031,0.88549312589765,0.606078552621359,0.734503202657265,0.624513124799834,0.794847534070995,1,0,0,0,0,0,0,0,0,0,NA
