"","No_data","5_months"
"1110019B22Rik",0.386218957273443,0
"1110032F04Rik",1.6362890320417,0.0915845724796062
"1110035H17Rik",1.82874089259108,1.48404586924123
"1190001M18Rik",0.430080612604002,1.36585082182722
"1700003I16Rik",0.240719370398199,0.108188553938287
"1700003N22Rik",3.51486138134522,0
"1700010B13Rik",0.355767245955501,0.0968945678699891
"1700011L03Rik",0.179396525646405,0
"1700012A03Rik",0.152141180519539,0.0969086802123555
"1700016C15Rik",0.590051554498601,0.0350194309407624
"1700016G14Rik",0.357512657321554,0.0498222260452035
"1700018G05Rik",0.803891018116169,0
"1700020L24Rik",1.20936363258931,3.0899709325664
"1700025F24Rik",0.503383063200767,0.032501818508185
"1700027J19Rik",0.996740529773598,0.0638625068004633
"1700029E06Rik",0.122137054972813,0.241825798975164
"1700029H14Rik",1.16376570558992,0
"1700030C14Rik",0.23243953267847,0
"1700036O09Rik",0.134867443504738,0.174477658686358
"1700039I01Rik",0.203351456666127,0
"1700040K01Rik",0.842939450802321,0
"1700047M11Rik",2.12201642667587,1.80372772916528
"1700063I16Rik",0.176079512599977,0
"1700127F24Rik",0.14235498884911,0
"1810006J02Rik",0.346362103869972,0.128983873642248
"1810058I24Rik",5.38541813484523,5.73838156080771
"2010016I18Rik",0.562030717576758,0
"2310001H17Rik",1.08426125729375,1.50993623715576
"2310026L22Rik",2.19036990219317,0.483264003055365
"2410004P03Rik",1.28354184177341,0.484737512622431
"2410024N13Rik",0.165078894734875,0
"2810030D12Rik",0.356496268172306,0.0630336508780308
"2810433D01Rik",0.30126953333004,0.343751811213397
"2900042G08Rik",0.171589271584565,0
"2900045O20Rik",0.61934266148316,0.0390034882537858
"2900076G11Rik",0.767176732231228,0
"4632432E15Rik",0.797117172905537,0.204028719008957
"4732465J04Rik",0.629777843250315,0.0458199155006471
"4732490B19Rik",0.281374673841691,0.146289526584515
"4921522P10Rik",0.407272645244055,0.148286582278767
"4921527H02Rik",0.447661589945138,0.550902045429695
"4922502N22Rik",0.212377565140689,0
"4930438A08Rik",0.509959450445368,0.117334645775292
"4930455G09Rik",1.30515292947765,4.89422568573384
"4930459C07Rik",0.236936771002471,0.310913444844106
"4930463O16Rik",0.246549452286672,0
"4930480E11Rik",0.195697658922276,0
"4930507D10Rik",0.266452604199802,0.0340223976080827
"4930518I17Rik",0.13008667625385,0
"4930519G04Rik",0.499300880771927,0.0513010353281614
"4930523C07Rik",1.84471554970698,0.408910062984269
"4930529C04Rik",0.259646143295268,0.181994765347298
"4930529I22Rik",0.146077293464846,0
"4930534H03Rik",0.269189428148878,0.134206519847254
"4930555O08Rik",0.322108004112946,0
"4930590H14Rik",0.14627394740423,0
"4930595O18Rik",0.20856483527497,0
"4930598A11Rik",0.335817887588423,0.0907138157222316
"4930599A14Rik",0.219997223485637,0.209560359354464
"4931406G06Rik",0.597851444379969,0.0722193719508384
"4933406G16Rik",0.225192079608966,0.0660016820394529
"4933406M09Rik",0.695937775835716,0.0509051129278329
"4933414I15Rik",0.249882554917154,0
"4933417E11Rik",0.149390047643583,1.10093800157892
"4933421A08Rik",1.15317998793572,0.0705911924834544
"4933428M09Rik",0.15467526379408,0.117901325476516
"4933432G23Rik",0.279036827542018,0
"4933435G04Rik",0.23069845957059,0
"5031425F14Rik",0.935069072329208,2.55459966794231
"5033406O09Rik",0.724112403118122,0.0774931168183376
"5330411O13Rik",0.540873643444664,0
"5430425K12Rik",1.03789154960041,0.491893190551403
"5430437J10Rik",0.957349565252901,0.0710783857829546
"5730416F02Rik",0.218939029979149,0
"5830408C22Rik",0.80551219460115,0
"5830416I19Rik",0.672467067351719,0.192952701629096
"5830428M24Rik",0.944298921121178,0.0673529375748251
"5930422O12Rik",1.18093188554218,0
"6330420H09Rik",0.460582012321506,0
"6720483E21Rik",0.95196648920694,0
"9130008F23Rik",0.887647075083373,2.30777093303212
"9130204L05Rik",0.135846464343699,0.124442093646521
"9330175E14Rik",0.667026700150802,0.195895475118507
"9430083B18Rik",0.114430394657039,0
"9830107B12Rik",0.679261632208583,0.0850300545577843
"A030005K14Rik",0.218375927377751,0
"A030005L19Rik",1.34275696370078,0.705278496840781
"A330040F15Rik",0.571684441796481,0.193306081609612
"A430078G23Rik",1.15915347810371,0.144011843283583
"A530030E21Rik",0.622274506580162,1.59572257874814
"A530064D06Rik",1.31149550205446,1.83132886780337
"A530099J19Rik",0.572655859992054,0.199439031890886
"A630035G10Rik",0.357417828677947,0.0747673231329822
"A730089K16Rik",1.22715873987922,0
"A830073O21Rik",0.403661580284673,0.052151725964442
"A930014E01Rik",0.229579651411639,0
"A930014E10Rik",0.233441059659154,0.140669248295621
"AA467197",0.694229375758309,1.36572557750688
"AB124611",2.19518688395025,5.58479283189327
"AC022775.1",0.197405079706498,1.66815915119658
"AC022775.2",1.02907507266385,0
"AC027184.1",0.332360598166502,0
"AC073947.1",0.437008391603069,0
