"","monocytesBYo","AveExpr","F","P.Value","adj.P.Val"
"Gpr141",6.43960816917396,1.13938109726437,2786.81413514768,5.05503876635128e-30,1.11832622627989e-25
"Gm9733",5.5321331338681,0.966656612539285,1955.11828875286,7.51349357215741e-28,8.31105091484192e-24
"Sirpb1c",5.85179699676051,1.10651162755503,1748.5593996654,3.61448787546329e-27,2.66544384229581e-23
"Plbd1",7.37623345125829,1.73558981097954,1610.07756365758,1.15188253347437e-26,5.19370269992894e-23
"Sirpb1a",4.68925460182428,0.809652603616213,1607.91473375668,1.17382423268294e-26,5.19370269992894e-23
"Gm5150",5.5834981891139,0.990237958677578,1465.94371828324,4.29230631665291e-26,1.58264487738854e-22
"Gm27926",5.4337283100887,0.905621385014784,1366.67921364275,1.14593176624147e-25,3.62163549493715e-22
"Gm24225",-5.20095746425629,0.520095746425629,1318.84324386353,1.88643893645281e-25,5.21671107389319e-22
"Dpep2",5.18352198073783,0.965007044422884,1249.66332584005,4.00613558688948e-25,9.47190698653324e-22
"Ms4a4c",6.28388632318691,1.59254297360605,1243.73106119323,4.28147492950018e-25,9.47190698653324e-22
"Mndal",4.61758455635519,0.866145716032498,1190.39526973516,7.89509473976424e-25,1.58784709934367e-21
"Sirpb1b",5.22494379532355,0.923742413649879,1145.84435478002,1.34408167595442e-24,2.47792657642829e-21
"Atp8b4",4.65154672832667,0.917076514941923,1094.92149551316,2.53243973536783e-24,4.30962802042635e-21
"Gm1966",6.10491225523709,1.76843678859549,1065.43042917295,3.70366564904204e-24,5.85258536812551e-21
"Ifi213",4.78957358623623,1.05299045141158,1054.45983669565,4.27745127032288e-24,6.30867029689021e-21
"Cd177",8.30562798257446,1.43772703004403,1018.15807726482,6.96292495662843e-24,9.51234600284239e-21
"Gm15448",4.97033370770974,0.861636705863446,1014.60562826964,7.30958197569591e-24,9.51234600284239e-21
"Arhgef37",6.36396330077834,1.27051180902793,965.934397483773,1.44698003199164e-23,1.77841884709728e-20
"I830127L07Rik",8.59769782943195,1.50647535684844,952.533244903999,1.75660327999468e-23,2.04533338754328e-20
"Clec12a",6.09659538454129,1.7121767863418,875.519506225665,5.65104077863844e-23,6.25089875729091e-20
"Ifi205",4.16055845569549,0.747952921350779,843.890887359203,9.40141512626551e-23,9.90416699230342e-20
"Lilra6",7.10342803466071,1.40436990556157,829.779411301977,1.18692950028544e-22,1.19236804220828e-19
"Pira2",5.06501548351703,0.916386012753993,827.174461251768,1.23963589797e-22,1.19236804220828e-19
"Mefv",6.49450659587562,1.24209726423413,805.64307420256,1.78442201892026e-22,1.64486534685721e-19
"Gm14548",5.06896833871524,0.870084191796934,770.697547836451,3.28985767584895e-22,2.91126085451225e-19
"Tlr8",4.46037392649225,0.886203552010506,732.455770076348,6.63111759025134e-22,5.64231594035117e-19
"Grk5",4.14261228142189,0.942445597094706,717.429050107675,8.81889868360984e-22,7.22594428064817e-19
"Cyp4f18",6.46226024487049,1.29734649763856,668.70698991816,2.31639701009172e-21,1.8302018233664e-18
"Rnase2b",3.88839413570884,0.648065689284807,655.414417737526,3.05026933731851e-21,2.32693477756887e-18
"Arhgap15",4.49658077010592,1.01809403232174,646.523255756062,3.67783309850086e-21,2.71215672127115e-18
"Ceacam19",3.78612852621646,0.657083811596836,633.347365272054,4.87523323042112e-21,3.47918660505182e-18
"Ms4a4b",4.30636584656182,0.85631875863017,626.618385640596,5.64224541387141e-21,3.90073110284616e-18
"Alox12",6.7959629343703,1.46789908608056,610.242806926271,8.10304066956367e-21,5.4322293555381e-18
"Chil3",8.24836112014448,2.79481351570439,577.968737326079,1.70074144855672e-20,1.10663244313001e-17
"Tomt",-4.28305492304374,0.789485557521316,527.78179633143,5.84955740847684e-20,3.69742167279237e-17
"5430437J10Rik",3.89320871280218,0.721010584060915,517.954227326718,7.54811267358133e-20,4.63852490771222e-17
"Gm3248",-3.44577355332371,0.455285005416889,502.176452158719,1.14770120459477e-19,6.86232263493248e-17
"Btla",4.17589066733441,0.927740659909578,499.270485343329,1.24147631743212e-19,7.22767909751336e-17
"Gdf3",5.07419232667266,1.07898214552275,494.698968327365,1.40598471759482e-19,7.97553843778208e-17
"Cd226",3.35701863955657,0.662127219263894,483.221916840363,1.93094191716975e-19,1.04954678691372e-16
"Gm43821",-2.65989304821789,0.316288587132392,482.707846058138,1.95890401025713e-19,1.04954678691372e-16
"Oas3",4.89148631692548,0.873261259170445,482.099765747073,1.9925401188978e-19,1.04954678691372e-16
"Gp5",7.65056691262547,1.74299566784475,476.775883876327,2.31484466176051e-19,1.19096066167739e-16
"Itgal",7.13065262067559,1.63876339846663,467.723445226767,2.99801612342184e-19,1.49444807888484e-16
"Clec4b1",2.82779397336829,0.529615197599091,467.243213592303,3.0398302015919e-19,1.49444807888484e-16
"Gm17944",4.10083524640719,1.27661633345674,459.352067901865,3.82418219705214e-19,1.83918223359531e-16
"A430078G23Rik",4.16966813769187,0.888449042151674,448.635460371839,5.25461236856204e-19,2.47335722190847e-16
"Ms4a6c",2.93795121187041,0.573501161823899,446.291688030512,5.6381437355497e-19,2.59859695544929e-16
"Oas1g",3.94466288214324,0.836745053792322,438.251528055679,7.19870250842088e-19,3.25014072640398e-16
"Gp6",4.62557564614364,0.802592294044246,435.605219478673,7.80876949395363e-19,3.45506815029472e-16
"Gm13373",4.33467824789646,0.944845618265408,425.79151819224,1.06018618821708e-18,4.59892138076991e-16
"Gm5960",3.37562132423154,0.56260355403859,420.481829883223,1.25440226647148e-18,5.33675795022087e-16
"Tubb1",8.01273636641322,1.76836604705405,415.915199420155,1.45199100706036e-18,6.06082963192383e-16
"Mpig6b",5.30131742990535,1.26766420554745,402.569763665923,2.24612760978188e-18,9.20205205763047e-16
"Mpl",5.98932116213893,1.11325998408163,393.54779516766,3.04007151287754e-18,1.22282731053436e-15
"Pstpip1",4.89148781101554,1.32347316797323,391.981322663218,3.20622398643204e-18,1.26663023663993e-15
"Gm15922",3.49308830284342,0.817864293499866,388.297246371311,3.63652621247696e-18,1.41141876137944e-15
"Gm8113",-2.95895610754331,0.383591192129181,385.449320165074,4.01143212451438e-18,1.53008470501089e-15
"Stap1",4.60539963622913,1.18404318599185,383.551264230998,4.28413399689567e-18,1.60640502395463e-15
"Gm21188",7.3895971738715,1.73455079090765,382.692740191816,4.41393783306729e-18,1.62749244468246e-15
"Ifi203-ps",2.46672692417765,0.475839936533673,379.399249052675,4.95232099642207e-18,1.79606880989911e-15
