"","cerebral_cortex","peritoneum","brain","blood"
"1700047M11Rik",2.34447759930574,2.34907646254322,0.114106607011668,2.72530100391866
"2210011C24Rik",2.3536713856807,0,0.862472496888256,0.943849429139653
"2700046A07Rik",2.02881877203155,0.0724848875292,0.12502900022005,0.116009997615263
"2810468N07Rik",5.87942263450847,0.237336229387159,2.21889160066531,1.70565049164097
"AC110091.1",1.61590348161909,0.00391666382388118,0.0212622805957533,0.0523414895801465
"AC122356.1",1.29080452118662,0.128950262586782,0.074362317490592,0.54984550713236
"AC140244.1",3.76906101529283,0,0.262309784103306,0
"AC142114.1",7.49852510071109,0,0.204969464921896,1.0451397616824
"AC161763.1",1.54696859425908,3.52121112074006,3.242182527359,0.603378528504332
"Aatk",4.82954542205941,1.19592729449122,1.68266907270578,2.92286769634617
"Abca2",6.6408795391829,3.00740538727002,2.87082522708088,3.82683218196058
"Acot7",3.21280834238758,0.916427021933745,0.699346389267921,2.45476192844642
"Acss2",2.72408904931499,1.02713154040146,0.563387146131867,2.25705988124013
"Acy3",3.17649666301906,3.76612892874853,0.332774505954003,0.957423137968818
"Adamts4",4.01349008664777,0,0.363565408484113,0.590243910343018
"Adamtsl4",2.03055023203674,1.63574321711187,1.06758191648335,2.62187704857422
"Adap1",3.09949173560674,3.97251287460729,1.06289598831163,4.69485451763768
"Adi1",5.49603775835435,4.34559081395683,5.36554642214476,3.5301277253193
"Ado",6.63015121235833,5.87365974930242,5.43923505724084,5.73130957294236
"Adssl1",2.27280519789898,4.8879037107017,2.83734599915294,6.55404403034415
"Agpat4",2.62609619327711,1.33121203400928,0.559766411820685,3.51878216200254
"Anln",2.12490774236895,2.10358016741128,0.34511348596284,1.28544450752484
"Apbb1",5.72398464549448,2.06934115024679,2.02929635385839,1.23655718886301
"Aplp1",8.22648423310814,0.0287168341783175,2.32519159066214,0.422702233959879
"Apod",4.5813725304771,0.324878114215999,1.03956304743236,0.497524596717098
"Arhgef10",2.81758525497228,0.149588051606001,0.284289056229295,0.6957422985835
"Arsg",1.78409164318595,1.86995481359049,2.24141854130568,1.68272689691019
"Aspa",2.14539179885536,3.74920285579067,0.37534159370919,0.391645839079866
"B3galt5",1.66301000092866,0.0640934504047921,2.09605593843612,0.339160398780861
"B3gnt9",3.29322001784517,0.173010330402462,0.386850998898308,1.49822878732069
"Bace2",1.07816599757418,0.0403210930756854,0.104207346644149,0.409654228239739
"Bcas1",3.27340975768783,0.0478604827247749,0.319862374380857,0.254740742776692
"Capn5",2.9673919191406,2.7627899498038,0.164274593136495,1.17526017258074
"Car14",3.37349704224893,2.57201238572585,1.24833802746155,1.51249674570775
"Car2",6.20313680921094,0.179415341572267,2.18869932112045,2.32212010430058
"Carns1",2.59214212950507,0.236002941074223,1.1818269158919,3.67648134533261
"Cdc42ep2",4.04070305904409,5.22909670196854,0.847766134792093,5.66948452065835
"Cdk18",2.10644617187158,0.430745138925049,0.703749428543311,0.303829053997472
"Cdr2",3.29497047560934,1.82609173800671,0.790355375082411,1.46249465496171
"Cers2",7.65060314095536,0.349841393525435,4.95077707281436,7.82038037770962
"Cldn11",4.44408152531893,0.0666036945962495,0.560729600389693,0.296743339723098
"Cmtm5",6.4965056378324,0,1.5745984428404,0.731038326720874
"Cnp",7.57442120337515,5.28175712639052,4.88276773818487,5.83927638776875
"Cntn2",3.30714422234479,0.0517623704601093,0.222117570421021,0.275323355593878
"Cpm",1.832675534981,0.127987521285686,0.379513908974388,1.31073693585927
"Cpox",4.695416128454,3.03181139031512,4.26599299486107,4.19543706510571
"Cryab",6.14162273921337,0.38554817248949,2.10538973297592,1.50330463747544
"Csrp1",5.57570168580428,2.72056168530606,1.89080380510605,3.19905902130816
"Ctsk",2.93171586966191,0,0.565854623128308,1.45096644675811
"Cyp27a1",2.15092704852834,0.491811755414008,3.34321760530315,6.38716226043758
"Cyp2j12",0.718811992371634,0.0876979898271741,0.0484457663111129,0.472145886265218
"Dbndd2",4.21301569337219,0.511166051479447,0.758844939348979,0.719088678200055
"Ddn",4.72835341390887,0,1.12512831333195,0.157374168227412
"Ddr1",4.97638323003486,0.258120041082951,0.597039011557091,2.00969927624759
"Dhcr24",5.1241163318412,0.0992118705142241,0.064474971586565,2.70674933360205
"Diras1",4.19101643726709,0,0.522254288512756,0.285737466249493
"Dlk2",3.40788015585354,0,0.205959063963325,0.205143349143686
"Dnajb2",6.21124642928902,2.28661937713047,4.30000752782992,3.64559912778886
"Dusp15",4.35820449382473,0,0.0454784013949932,0.029610257305414
"Efhd1",2.18832131633153,0.178532676867257,0.306114250844874,0.36322351955434
"Efnb3",6.24392462292883,0,0.346105110756979,0.619601804160048
"Elavl3",4.11012847030547,0.0330008602263563,0.10074732918383,0.10411072174701
"Elovl1",7.02563633828916,6.43474457417364,6.91008966397064,7.79248238007195
"Elovl7",1.95233316716597,0.284948795396781,0.25317866107923,1.42623871745699
"Eml1",1.78321107125963,0.13172373560164,0.116397529433546,0.393389844686288
"Endod1",4.5446972604561,1.77227750464264,4.5982685993208,3.60790081538446
"Enpp2",4.08125584231297,0.0699799168694106,1.71478691845013,0.56161728626824
"Enpp6",1.65827578106987,0.0291179134166771,0.051243057025243,0.300106605361961
"Erbb3",2.71072627095533,0.968289666310483,0.196963643751711,2.26326715109041
"Ermn",2.7120838372572,0.0707155179153502,0.435283387178737,0.279548886154575
"Fa2h",2.61160294436427,0.0291926978327348,0.0948632416441152,0.364722457145628
"Fah",3.61436437126031,0.985409374429119,0.466518223224453,0.680607200063474
"Fam131b",4.36714564348416,0.0390252052835623,0.408793612605495,0.294331862897377
"Fcho1",4.00070500079058,0.438477726561573,0.421002172662251,3.74458557390161
"Fcor",3.12871331888267,8.00753008834828,0.846319338963007,5.36327485027651
"Fez1",4.75462577751161,0.0804594172528287,0.470875681729412,0.31000923894501
"Fgd3",2.51942236546291,0.920209486374292,2.56835625421152,4.09957227835104
"Fkbp1a",6.90271325226753,6.33474191853553,5.37470111655668,6.05973950325999
"Frmd8",5.16618390926402,0.0179476289244447,3.35308110507995,5.39711355586595
"Fth1",12.001527967238,11.1759772540599,12.3233120817164,12.7046030959882
"Gal3st1",3.61855942568385,0.862214305526428,0.663373206287202,0.959565790544496
"Galnt6",1.75816190530535,0.108878673228696,1.31746881628626,2.73771856857773
"Gamt",5.90133166653619,5.93226408388049,4.76414592395919,4.93696445578684
"Gjb1",2.70427260607286,0,0.308115828173044,0.448773385171945
"Gjc2",3.25755983630175,0,0.320904636211417,0
"Gjc3",3.68496968258201,0.0705945148295293,0.751313203909682,0.524484265940208
"Gltp",5.2975879764191,4.43679836297999,5.01250973007428,6.77235861957021
"Gm10687",2.1606036838213,0.19232164698863,0.702739088222017,2.15386477729027
"Gm11954",1.37283792109992,0,0,1.88162448863901
"Gm12326",1.56057553272739,0,0.762073325468371,0.211444215143022
"Gm15912",3.6243375505315,1.98933298450922,4.12155581751921,1.63893047813785
"Gm19439",0.741112555102701,0.293869575185508,0.21036114945656,0
"Gm21168",1.25906891487354,0,0,0.207866588399544
"Gm24166",3.58507488994046,0,0.362626515665048,0
"Gm2719",5.37797772705829,0,0,0
"Gm33594",1.07525609595038,0,0,0.264489248310371
"Gm3571",9.04052333113585,0,0.0801480111454108,1.25770924760905
"Gm36961",1.79233845465754,0,1.55456940148099,0
"Gm37459",1.57625537212452,0,0.113214064849765,0.0069343644272749
"Gm42528",2.91014024730824,0.138032201526504,0.116818660121316,0.569470947694368
"Gm43848",3.77706012677367,4.49482357126933,3.86704442096446,5.93758479855251
"Gm4768",7.78844231697861,0,0,0
"Gm4974",0.947900323298594,0,0,0.603550838105952
"Gm5067",1.94451983885667,0,0,0
"Gm5637",7.43963087612761,0,0.076434503766341,1.84432928472472
"Gm5873",7.36993377269845,0,0,0.804089982801036
"Gm6829",9.07628050594711,0,0,0.846940474195166
"Gm6977",8.68422985516147,0,0.145622770876659,0.683895366833034
"Gm7049",4.24253790036715,0,0,0
"Gm7329",4.83040582310521,0,0,0
"Gm8508",7.37679916430833,0,0,0
"Gm9791",7.94563594394034,0,0.162996247313843,1.43684579347514
"Gng11",4.45057471026353,3.96964356638208,2.31455510462056,7.81467969018545
"Gng13",1.44892758957838,0,0.679898915560949,0
"Gng8",2.34664154321968,0,0.159823201899368,0.244879592859117
"Golga7",5.73852600513424,4.85440356675037,5.2836688024839,6.11645523257962
"Gpd1",3.48917239054548,0.0395376287646832,2.84197258070158,0.28367454078483
"Gpr15",2.05615494134545,0,0.555540672917877,4.30095966256019
"Gpr37",3.14209986624509,0.0376024033693835,0.30157579456054,0.241284911609301
"Gpr62",4.09185292065286,0.124342166289489,0.63236230825289,0.628510636820347
