"","other","myeoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","myeoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.655752168604021,0.789468066083837,0.955202512257996,0.986030473572886,0.731730650164539,0.789468066083837,0.684458749882023,0.827640505186693,0.894995342552886,NA,0,0,0,0,0,0,0,0,0
"myeoligo",0.655752168604021,1,0.906522772459819,0.454734612920075,0.699516232560519,0.422484884194626,0.906522772459819,0.313094248399302,0.515134266717004,0.37589623983421,0,NA,0,0,0,0,0,0,0,0
"mouse_FVN_Swiss",0.789468066083837,0.906522772459819,1,0.573745734071726,0.818416434091403,0.5211918877831,1,0.434401777698197,0.58128833369779,0.491060415486543,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.955202512257996,0.454734612920075,0.573745734071726,1,0.923723525888422,0.726074047602196,0.573745734071726,0.702252919690771,0.829109712687163,0.959054603607576,0,0,0,NA,0,0,0,0,0,0
"No_data",0.986030473572886,0.699516232560519,0.818416434091403,0.923723525888422,1,0.613839754805667,0.818416434091403,0.559282596268563,0.835653070079294,0.886758950591116,0,0,0,0,NA,0,0,0,0,0
"5_months",0.731730650164539,0.422484884194626,0.5211918877831,0.726074047602196,0.613839754805667,1,0.5211918877831,0.976286155114893,0.509150600931473,0.569171788859756,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.789468066083837,0.906522772459819,1,0.573745734071726,0.818416434091403,0.5211918877831,1,0.434401777698197,0.58128833369779,0.491060415486543,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.684458749882023,0.313094248399302,0.434401777698197,0.702252919690771,0.559282596268563,0.976286155114893,0.434401777698197,1,0.428523258981917,0.559198569264313,0,0,0,0,0,0,0,NA,0,0
"brain",0.827640505186693,0.515134266717004,0.58128833369779,0.829109712687163,0.835653070079294,0.509150600931473,0.58128833369779,0.428523258981917,1,0.709503568758658,0,0,0,0,0,0,0,0,NA,0
"blood",0.894995342552886,0.37589623983421,0.491060415486543,0.959054603607576,0.886758950591116,0.569171788859756,0.491060415486543,0.559198569264313,0.709503568758658,1,0,0,0,0,0,0,0,0,0,NA
