"","other","myeoligo"
"2700046A07Rik",0.765140561474817,4.30981570074931
"A930003A15Rik",0.255495543058137,1.61606231244076
"AC110091.1",0.411791279223218,5.74200587911996
"AC114543.1",0.0625572311165112,1.22047686434963
"AC116487.3",0.358984722319998,2.93233671599456
"AC131033.1",1.65829729024743,1.30804284404775
"AC140244.1",1.36820542268301,7.884325649746
"AC161383.1",0.0641095384123918,0.6758673283972
"AC161763.1",1.8590400392284,4.97975561249444
"Acy3",2.12992714540408,6.94037750152901
"Adamtsl4",1.72488323857078,4.19636334824573
"Adap1",3.014612211845,5.80378607211228
"Adi1",4.67725718087412,8.26662158677345
"Adssl1",3.41969546726251,6.17608604946552
"Ankub1",0.227429559888423,1.67146820492507
"Anln",1.46219708250659,4.79073052744346
"Aplp1",3.74102481343554,12.1669273077495
"Apod",1.99189564750546,9.00042210128494
"Arsg",1.71487116757866,3.90067319251155
"Aspa",1.57744103008707,6.09864532011312
"B3galt5",0.998765626364337,3.93867243165673
"Car14",2.25946757907668,6.60005727876981
"Carns1",1.77424407099889,6.15935738883495
"Cdc42ep2",3.79772231162508,7.09722579508925
"Cers2",5.44794689076447,10.2603833228711
"Cldn11",1.53480345638593,11.9648157219003
"Cldn14",0.228161453275404,2.68516597109008
"Cmtm5",2.8956789045409,10.7001267251574
"Cnp",5.90129415816899,13.0532119033158
"Cntn2",1.20287647445924,7.70862834040175
"Cryab",3.04960103140326,10.4753251784447
"Cyp2j12",0.239632131108807,3.24140721200049
"D7Ertd443e",0.214250631844633,1.29025062088651
"Dock5",1.00994246891899,1.59047106457231
"Efhd1",0.893301899505224,5.02096507784737
"Efnb3",2.56761885298267,10.175075706037
"Endod1",3.62253442412446,6.92965493614136
"Ermn",0.860439160129515,8.93766585606653
"Fa2h",0.84451378975678,7.69456989442756
"Gal3st1",1.70758132336476,8.0677678613389
"Galnt6",1.28867621296893,4.73027083741855
"Gamt",5.2505176357604,9.85164296611437
"Gjb1",0.897194938008464,8.26140214375398
"Gjc2",1.03854854158781,9.0655008624115
"Gm10687",1.23785740325624,5.51269674590846
"Gm11453",0.0506726063142473,0.57478426435785
"Gm11954",0.745526668241687,3.87655331391337
"Gm12193",0.182147813270847,1.92976277899752
"Gm12326",0.613640613821412,4.76685398712043
