"","astro_SRR1033783","astro_SRR1033784","endo_SRR1033795","endo_SRR1033796","macrophages_SRR1106141","macrophages_SRR1106142","macrophages_SRR1106143","macrophages_SRR1106169","macrophages_SRR1106186","macrophages_SRR1106188","microglia_SRR1033793","microglia_SRR1033794","microglia_SRR1106118","microglia_SRR1106122","microglia_SRR5483445","microglia_SRR5483446","microglia_SRR5483447","monocytes_SRR5483448","monocytes_SRR5483449","monocytes_SRR5483450","monocytes_SRR5483451","monocytes_SRR5483452","myeoligo_SRR1033791","myeoligo_SRR1033792","neuron_SRR1033785","neuron_SRR1033786","newoligo_SRR1033789","newoligo_SRR1033790","preoligo_SRR1033787","preoligo_SRR1033788"
"2700046A07Rik",3.37787634972155,3.3727882804056,2.08827547012127,1.83728533510185,0,0,0,0,0,0.4349093251752,0,0,0.289396789301959,0,0.101130473897646,0.234617737900643,0,0,0,0,0.580049988076316,0,4.29221428920483,4.32741711229378,0.423043270781101,0.254363015455464,2.91243491298717,2.13473463101412,1.63867296355181,1.74435717780318
"AC110091.1",0.00387638372032999,0,0,0,0,0,0,0,0,0.0234999829432871,0.0624825820643434,0.132920950686866,0,0,0,0.0294281553518276,0.076883247626939,0,0,0.0170700688458234,0.112169683236972,0.132467695817937,6.06367518170142,5.4203365765385,0.0255868455172614,0.028922174870537,5.88092680464183,4.48791584232966,0.398721361316508,0.117284039279971
"AC140244.1",3.20716032181208,1.68180976341595,5.24545255301756,5.00063129992638,0,0,0,0,0,0,2.68779774799257,1.87948761374481,0,0,1.31154892051653,0,0,0,0,0,0,0,8.48795608586089,7.28069521363111,0.902549099508837,2.97944308867515,6.59616007942098,5.42371443569947,1.3939969113939,0
"AC161763.1",0,0,0,0,4.10423598392785,4.62021456813505,0,3.95766327740876,4.0822204330653,4.3629324619034,0,0.935900369753867,2.84397403139171,4.41335551931436,2.81979971206598,2.56392041642295,3.56986295760002,0,0,3.01689264252166,0,0,4.55395913055197,5.40555209443691,2.18747834809962,1.88053293584213,1.88401299698876,2.65900008884001,0,2.15112435511388
"Acy3",2.20858423307481,2.52590891947538,4.32837555342149,4.27641702736622,4.2393895510826,3.38875712973942,3.68690996244062,3.74466632806189,3.56073508084764,3.976315520319,1.08221303666806,1.30252909772765,0,0.594246502711503,0.491198664658375,0.578427362400139,0,1.29208158550108,0.830194026755927,1.04842220547636,0.428204936726203,1.18821293538452,7.47531186407927,6.40544313897875,1.13068807222872,2.05787321441578,5.59321832283751,4.49483278063799,0.831663249104825,0.75789477225042
"Adamtsl4",2.04512356398268,2.39856945364239,1.14379208516408,1.18949368668724,1.11190160199736,1.82259525126476,1.60212725235157,2.0449418599052,1.66493712892527,1.56795620822709,1.28812727477703,1.40576542707907,0.529116350474714,0,1.55617440103389,1.65469870826044,1.59792012264771,3.27664745181086,2.55796572933295,2.72126078295768,2.33545620118429,2.21805507758531,4.31675894633897,4.07596775015249,2.28509822508697,0.838635431164796,3.27233744474388,2.27773294376115,1.02440690134176,0.86589411459179
"Adap1",0.62888883618636,0.692680776386597,0.433909358360101,0.326107420909258,4.38185987512032,3.82791004914579,4.0430692243843,4.20546846082669,3.29176796752503,4.08500167064159,3.04013372383607,3.45013415574124,0.810125304260949,1.09938145288478,1.0299299377809,1.11579839639123,1.25924485024029,4.83948304777752,4.83002493527301,4.8169230699546,4.60191036404309,4.38593117114019,5.76230730836,5.84526483586457,4.76076782964161,4.43006061263481,4.29878746158222,4.37580499217904,2.03220187693245,3.31583510988005
"Adi1",3.94773366515565,3.89092079646103,3.92940041089285,3.89128063031888,4.44414032676572,4.30991551879732,4.27194513066331,4.37106055966267,4.03755594333968,4.63892740451231,5.15220634920214,4.84175780827427,4.19701900748451,4.38516634658683,5.96976825381977,6.21471293210992,6.06106557072275,3.45281990283539,3.89447574327014,3.97805244644338,2.96862978153653,3.35666075251107,8.35797887767671,8.17526429587019,4.60490515393833,4.85939040275849,7.63771768782681,7.47136659527273,4.99279632528328,5.19180961802949
"Adssl1",0.071152898611589,0.413741575447882,0.153940217791162,0.181865171960207,5.10104834920231,4.86649265454716,4.84442511463672,4.87845169356761,4.56521780972318,5.07178664253319,3.04801724501194,2.8032675533239,1.46123560387484,1.8643261880503,3.42122290821103,3.68358718256789,3.75635811306066,6.95767597565228,6.8962404314725,6.78467281862892,6.07843327682008,6.05319764914697,6.21601827155325,6.13615382737779,1.29139839847324,0.916728412299344,4.55929941154907,4.07805451651148,0.858620200264188,1.09101507041064
"Anln",1.68251972540753,2.38982286413871,1.67849117198915,1.67436270473108,2.14630146242269,1.91569589437798,2.13225508679458,2.36268579304092,1.93857160663201,2.12597116119949,0.249677943815296,0.0900251652570235,0.1726250556096,0.200602487234744,0.433191462488241,0.519117870856677,0.400030553624937,0.818268470200886,1.53097839362145,1.8079102158062,1.14645173832262,1.12361371967302,4.66244381589014,4.91901723899678,0.50722164476164,0.669981186321795,4.64756907891567,3.22656586484704,1.8847874227533,1.4662225653402
"Aplp1",8.14854220361562,7.31159291927805,3.07726351817062,2.84096619220469,0,0,0,0,0.172301005069905,0,4.83982417482947,5.53035588524761,0.478705957437217,0.97806322790876,2.85572294338431,3.2925422971925,4.02092352738789,0.54543752357027,0.31811887858558,0.154358713498509,0.410082419977089,0.68551363416795,12.2206154168544,12.1132391986445,9.77475579497568,9.41325352954457,11.4505684434642,11.5824112581195,8.09437607574664,8.77301465281845
"Apod",0.86778921784774,0.600369336001276,6.93533623202631,6.90645150604042,0.370003842126484,0.399842811417776,0.192031454400233,0.177834490469387,0.281836614087693,0.527719472794421,1.29757038025127,1.29289003156654,1.50606471344328,1.8341831322204,0.448487362081654,0.573080577849264,0.835999451567194,0.406631998970859,0.574826800027233,0.713857175162073,0.24656061461744,0.545746394807885,8.95351601721821,9.04732818535168,1.67455594445302,0.767144913906452,7.17059679967981,6.88295777741584,5.64598591054951,6.09672317437134
"Arsg",1.68263216016601,1.31610535796855,0.687612771090172,0.680595593188624,2.07472172099658,1.73967948271957,1.85803963067209,2.10382539425118,1.59573684258032,1.84772581032321,0.972041185981247,0.934763284181018,1.02026510884996,1.293163851696,2.86827199655603,3.13128366103246,2.89410808839394,2.20607638502616,1.60016027480114,1.88079129261506,1.24205728397814,1.48454924813043,3.84285070135116,3.95849568367194,1.21938045397158,1.34707048552496,2.79320751989785,2.7224192152398,1.27675867339754,1.5433499189729
"Aspa",3.84931163208984,3.38176068036748,0.0526421866431719,0.10988963387021,3.86831406580417,3.80406624847808,3.60918633094667,4.04302846239848,3.48922903935916,3.68139298775745,0.292970112884592,0.052981423770728,0.276174848440672,0.27261540621853,0.499591831772056,0.453131324486036,0.375194557628654,0.0693862125399295,0.145117209261851,0.368076642037539,0.76984846454678,0.605800667013233,6.21216731129133,5.98512332893492,0.185931211071337,0.45987135854536,5.22668301508538,3.51999379206893,0.304350349005986,0.401809148345738
"B3galt5",1.02518985770522,0.491680425765,0.032969148838081,0.0195276264924213,0.0905143506518539,0.130019379824988,0,0.0413189413546853,0.0673378309076713,0.0553701996895543,1.61721674515308,1.73331336518352,0.614571116075799,0.857398924496098,2.92397672640601,3.17351269680062,2.91082022840207,0,0.319385133870364,0.437720126825193,0.512515028590072,0.426181704618677,3.80539141630751,4.07195344700595,0.915160866240203,0.557503343838155,2.97550347510935,2.50523292008067,1.7473234986515,1.78417387663057
"Car14",2.06716138284992,1.9578852069494,4.60731397159828,4.50499733001315,2.78567128521836,2.55236154934902,2.15225531604075,2.65325937716539,2.22460476113706,3.06392202544451,1.34496438865225,1.14958492702224,1.32162118379644,2.44222160634543,1.27590266676893,0.162479773695941,1.03946490670103,1.15419389156236,1.4287791211883,1.61615177329678,1.5045889014753,1.85877004101599,6.72702125052236,6.47309330701725,1.83147389416921,1.83614616368693,6.02497781530158,5.53812176963082,1.50118019740614,1.66503698666541
"Carns1",2.06617163415252,2.005199654299,0.3171781171778,0.43201638917823,0.314917287313629,0,0,0.728363158060044,0,0.372737201071666,1.01294643868787,1.0027173379845,0.128379035545886,0.205285284008138,1.89049476098616,1.82886282397669,1.85611267494264,5.6283546283385,3.47929793849566,3.73181327989246,2.76674926434008,2.77619161559636,6.00861555855409,6.31009921911581,2.09881671479008,1.95899441614692,5.29405571113727,4.62386035491696,1.45301769417938,1.70630057275053
"Cdc42ep2",2.83981186224447,2.52003034645022,3.83332267467263,3.82509488210893,5.38725338105797,5.17832227383551,5.43776484906987,5.22211731370616,4.90441015123535,5.24471224290641,4.04673716762764,3.92168657708186,0.514967872237002,1.26882388589169,1.11673616859657,0.750228088336481,0.588074658898722,5.72586110336615,5.93647106422289,5.99697829153016,5.48041602476942,5.20769611940312,7.13422504269091,7.06022654748759,3.80979806066853,3.30365294582584,5.74782774614401,5.36311706229018,1.62270715925261,1.54160475207181
"Cers2",7.38245704402737,7.23735823289584,6.61417367732499,6.58154308315726,0,0.536017314673176,0.379496930533161,0,0.541960549427699,0.641573566518571,6.78431806570315,6.608210591897,0.305352692053654,0.660807014657309,7.73589786577531,8.13790740178267,7.91392038980285,8.29690660105056,8.18393558304062,8.09533242614895,7.24158820581683,7.28413907249113,10.2303897359092,10.2903769098331,5.92600008985545,5.64468758402785,9.82679269647931,9.5520915631671,7.15810564795014,7.27193905114731
"Cldn11",0.534922772476559,0.254694011105958,0.757290735698893,0.608664046537809,0,0,0.243669398876595,0,0,0.155952768700902,1.25370760022647,1.27915002730659,0.78303251652497,1.64692290914976,0.16066846218531,0.0407521011123292,0.172272012976094,0,0.346107021309772,0.114683130197862,0.567294872528386,0.455631674579472,12.0205530562879,11.9090783875126,1.70777565418326,1.79541530447546,11.719517188235,11.3112906558049,3.52941783281528,3.53566408179829
"Cmtm5",8.59174980883446,8.12768110677245,1.55289241887589,1.24381265545435,0,0,0,0,0,0,3.11671493546047,3.86176923910117,0.427037284564248,0.647080543738825,1.65054577080043,2.09972711472794,3.04860150037055,0,1.65977957329784,0.480710951463677,0.46856990965769,1.04613119918516,10.7703887229341,10.6298647273807,3.73898160421537,4.11232955164529,9.83940349159373,9.83418894350062,7.65606509475555,7.87523662912943
"Cnp",6.84170687800697,6.77969699787494,3.08043188825724,3.17527909761787,5.67177304029947,5.17393621054699,5.41765854631507,5.43906798294182,4.8583853541778,5.129721624062,5.32045616119239,5.76931081205661,3.71761516811518,3.93502139697522,5.49291508429142,5.71917729997334,5.54910974156917,6.79278241189976,6.14072094088078,6.0664335261745,5.14160474810496,5.05484031178377,13.1740426236541,12.9323811829775,3.9280893360082,4.52856070403329,12.5627230225844,12.7533035526396,7.22069132234676,7.97522326800224
