"","cerebral_cortex","peritoneum","brain","blood"
"1110017D15Rik",1.32681255161502,0.165342760318376,0.680643298505142,0.643912186734643
"1190002N15Rik",3.53689290013101,2.44332745176893,3.41929922117643,2.92364267329444
"1500009L16Rik",1.08726182141179,0.50614045636679,0.150590609793432,0.331781335915718
"1600029O15Rik",0.534256708564483,0.197401003564568,0.280630661593888,0.980088402239788
"1700016P03Rik",3.5290424113965,0,0.984030119371834,0.221042192074758
"1700020I14Rik",5.88125635830816,4.80179591233051,4.80966819784042,6.5685993044826
"1700086L19Rik",3.34632349765851,0.0455699238185478,0.0751898549894669,0.275033447768611
"2210008F06Rik",1.73035191824667,0,0.348905137637203,0.475455212458498
"2310026L22Rik",2.28223130724841,0,1.3914984734881,2.62910384075486
"2610035F20Rik",1.85457512672702,0.0579139242389388,0.141238678526942,0.0636000637165318
"2700033N17Rik",2.20403674104199,1.38715904879565,0,0
"2900011O08Rik",2.01427737151676,0.342229605969524,0.221534256300681,0.582445303987575
"2900055J20Rik",1.81797999383348,0.607018328234687,0.750893988930288,0.281029678168608
"3300002P13Rik",2.21214363779572,0,0.0503292478166528,0
"4732496C06Rik",1.58633408702164,2.71540266585772,1.96217024551334,3.84341135252651
"4833422C13Rik",1.50659004666263,0.225266539896703,0.418091282148854,0.502609032223255
"4930429H19Rik",1.3504377456589,0,0.0563501542343834,0.219336169658196
"4930439D14Rik",0.716291327565103,0,1.45548406815108,1.53584664432327
"4930516B21Rik",2.82721503308742,0.685865318577946,2.15707780836391,1.18602229378149
"4930539E08Rik",0.535953922377326,0.0916237001584922,0.526418109569665,0.497991026653426
"4930572O13Rik",0.395600731231587,0,0,0.425047043535026
"4931428F04Rik",3.63696622478922,0.0912533387098965,1.01339981106337,0.850010784170814
"5330417C22Rik",0.861105552206038,0.126916890011549,0.0873701378691275,0.410949447037185
"5330434G04Rik",1.05178057562642,0.06435580082811,0.0528663789850071,0.260697437466765
"6030419C18Rik",3.65617410176261,0,0.217448146613382,0.0800788091547434
"6330403K07Rik",7.07585207745246,0,2.42183082186168,0.807277117104134
"6330403L08Rik",2.92685959778329,2.55309318962766,1.95358689782417,1.13849184879074
"9330121K16Rik",1.28969204744704,0.127632737801829,0.462625802082222,0.324964838520696
"9330132A10Rik",3.13218793658067,0.073779805571149,0.587711029960039,0.527087759984601
"9330159F19Rik",3.07484463196027,0.090580323068247,0.162984122181955,0.270942056922882
"9330161L09Rik",1.79724028857089,2.57276221271957,1.19514402437609,1.79351251853916
"A230057D06Rik",1.11374875889997,0.0969321138561131,0.15143317499478,0.39627729486992
"A330076H08Rik",1.71367928792135,0.134465263372339,0.111539422735998,0.336653700425756
"A730017C20Rik",3.0385587868651,0.568601911817721,0.261957971787646,0.899952257086006
"A730020E08Rik",1.1530577321086,0.168201218289325,0.288731292272785,0.507017849616366
"A830082N09Rik",2.39561352156025,0.168413170005089,0.434482336586144,0.711884998531581
"AC113305.1",2.87818371028099,0,0,0.6722086563634
"AC117202.2",0.520929335926876,0,0,0.605495461683828
"AC122291.1",1.05083922768186,0.519159500992191,1.6656670303741,1.8038882039429
"AC125351.1",3.26850631429932,1.48220843231564,1.56503236206246,0.942664355919975
"AC153912.1",2.02147066659708,0.0166137388572283,0.0734534953236392,0.184289012390219
"AC154766.1",1.61725886251784,0,0,1.0728535439054
"AC157931.1",1.04146657483809,0,0.0211207369100354,0.0984447381803156
"AC162863.1",1.39257906571231,0,0,0.190127846180616
"AI593442",3.12718849955143,0.814543109793401,0.887871011206892,1.24204116612278
"AI606473",0.503975354188121,0,0.0271946980738378,0.16201797681113
"AI854703",2.5488334040315,0.0937178292269018,0.764484856590809,0.431524224231476
"AU022754",1.14504669059841,0,0.112785076571096,0.237836429614862
"AW551984",1.39597086147,0.124966947164618,0.13067507630701,0.761940875885278
"Abca5",1.86111262601233,0.164691836133668,0.191777046276182,0.473998104667188
"Abcc8",0.44343360744463,0.0229901383288073,0.0372015205991478,0.259976431608739
"Abcg4",3.13992281125467,0.0200096794629135,0.343367593086412,0.286201411669935
"Ablim1",1.47687743941711,0.275284686070795,0.736711050241055,1.26670537512523
"Ablim3",0.826664753492983,0.0245333920283727,0.0882584899705499,0.267038424373017
