"","other","neuron","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","neuron","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.679203585826497,0.853883476893008,0.865541527368424,0.969555646724796,0.792922933599476,0.853883476893008,0.757286450711375,0.838111171181208,0.73847479344834,NA,0,0,0,0,0,0,0,0,0
"neuron",0.679203585826497,1,0.879541999006862,0.341814933102933,0.790349783491343,0.324399129500611,0.879541999006862,0.28888712652691,0.416466809144944,0.228555775726292,0,NA,0,0,0,0,0,0,0,1.77635683940025e-15
"mouse_FVN_Swiss",0.853883476893008,0.879541999006862,1,0.482077831546012,0.938361006124527,0.43853265295381,1,0.400243833001956,0.556694772209583,0.355621029450719,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.865541527368424,0.341814933102933,0.482077831546012,1,0.736156705779227,0.921743569608024,0.482077831546012,0.897873869760434,0.880458986457308,0.905748652813342,0,0,0,NA,0,0,0,0,0,0
"No_data",0.969555646724796,0.790349783491343,0.938361006124527,0.736156705779227,1,0.627343916416411,0.938361006124527,0.58616982464806,0.763898258211276,0.641324189646616,0,0,0,0,NA,0,0,0,0,0
"5_months",0.792922933599476,0.324399129500611,0.43853265295381,0.921743569608024,0.627343916416411,1,0.43853265295381,0.988629088741968,0.76164279975665,0.719342732514783,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.853883476893008,0.879541999006862,1,0.482077831546012,0.938361006124527,0.43853265295381,1,0.400243833001956,0.556694772209583,0.355621029450719,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.757286450711375,0.28888712652691,0.400243833001956,0.897873869760434,0.58616982464806,0.988629088741968,0.400243833001956,1,0.688301200688056,0.710225654453073,0,0,0,0,0,0,0,NA,0,0
"brain",0.838111171181208,0.416466809144944,0.556694772209583,0.880458986457308,0.763898258211276,0.76164279975665,0.556694772209583,0.688301200688056,1,0.705757418606382,0,0,0,0,0,0,0,0,NA,0
"blood",0.73847479344834,0.228555775726292,0.355621029450719,0.905748652813342,0.641324189646616,0.719342732514783,0.355621029450719,0.710225654453073,0.705757418606382,1,0,1.77635683940025e-15,0,0,0,0,0,0,0,NA
