"","No_data","5_months"
"1700047M11Rik",2.12201642667587,1.80372772916528
"1810041L15Rik",1.90110910924168,0.0234699000310679
"2010203P06Rik",0.288963682086136,0
"2210011C24Rik",1.9083185922577,0
"4933430A20Rik",0.243662182217905,0
"5430431A17Rik",1.2109968593448,0.750987757047386
"9630041A04Rik",0.350452457493802,0.0794397271824668
"AC122356.1",0.963286473623972,0.0967126969400865
"AC157572.1",0.659311968300557,0.220811865385176
"Aatk",4.06476230179221,1.04901411020128
"Ablim2",1.131064357876,0.0454718361815508
"Abtb2",2.4029932321096,0.204826989435445
"Adamts4",2.76446744004383,0.0174530157800361
"Alox5",2.35554828546547,4.40971102651638
"Arhgef10",2.00527827935277,0.140969563443881
"Asb18",0.271436255137142,0.0354502743754972
"B230206H07Rik",0.246373565274255,0.0438757361545572
"B3gnt6",1.35258167216022,0
"B3gnt9",2.52411269004215,0.129757747801846
"Bace2",0.790777054832328,0.0635578990751152
"Bcas1",2.20835743785662,0.0505064321150375
"Bmp4",1.77260593591735,0
"Brca1",1.17322911642625,0.588929666744539
"C030010L15Rik",0.512437810937567,0.586420569783805
"Capn5",2.19159044653466,2.07536382145186
"Capn6",0.6067900421902,0.0941108918919571
"Casr",0.614646973827886,0.122546148120973
"Cdk18",1.55699546357725,0.357338681719601
"Cdv3",5.79569915351894,4.13323669188193
"Cdv3-ps",4.13187857852383,0
"Chrne",0.723812673348874,0.291288602729944
"Chst3",2.24412415789082,0.262715994682306
"Chst8",0.819837663879135,0.920372618892121
"Cldn24",0.287542385860521,0
"Col11a2",2.9295349572331,0
"Col20a1",1.54344431611829,0.250981429003433
"Col2a1",0.745118779622336,0
"Col9a3",3.15375277317828,0.0944108580096899
"Cpm",1.54808354663904,0.102349851944701
"Cpox",4.63278591125433,3.03906929906068
"Cyfip2",2.90072973640196,0.272360436578651
"Cyp27a1",3.50074734614997,0.587413365660644
"Cyp3a13",0.463272388578309,0.456202847547762
"D630045J12Rik",1.44112415927043,0.0879810724839643
"Dct",0.965940841601007,0.0470636826938623
"Ddc",0.952689875169478,0.101578592968767
"Dlk2",2.26208337488567,0
"Dnah10",0.45402273013169,0.0589898036361811
"Dnaic2",0.710390438731068,0.10125109220348
"Dusp15",2.79046846395674,0
"Dusp9",1.57140675355931,0.0918756964076436
"E2f8",1.61022834767394,2.07715812977949
"Elovl7",1.60367486690353,0.269824616688474
"Eml1",1.24251351936283,0.121117106982698
"En2",0.74465728017682,0
"Enpp6",1.13511860213246,0.0218384350625078
"Epcam",0.73037185292572,0.184056176426986
"Erp27",1.19826119583952,0.141726239186093
"Etnk2",1.25649492765502,0.0210573192101944
"Fam163a",0.619522011317509,0.0293184460241398
"Fam3c",3.51245366833627,2.25628428814056
"Fbn2",0.564833721249904,0.0581358246982901
"Fbxo32",2.52182251950432,1.14599285704085
"Ffar3",0.152250911328841,0
"Frmd4a",1.87406041814464,0.334754141331341
"Fyn",2.88502496212553,0.0492051158906562
"Galnt5",0.317233874648534,0.151572614410354
"Gbp11",0.438683863017986,0.0602892335345571
"Gjc3",2.58076944746857,0.201900268758282
"Gm10863",1.03487735431145,0.181550296245554
"Gm11274",2.18894772594085,0
"Gm11295",2.15018662490019,0
"Gm11331",1.33168064333756,0
"Gm11936",0.77698717768951,0
"Gm12656",0.245222804135851,0
"Gm12778",0.387694742624318,0
"Gm12826",0.139433961643512,0
"Gm13052",0.38291838460592,0.0226379929012692
"Gm13148",3.01273482404608,0
"Gm13182",0.107008305890946,0
"Gm14843",0.616912025901816,0
"Gm15217",0.537687137827068,0
"Gm15912",3.28561375656229,2.3994565560514
"Gm16401",0.521679371706175,0
"Gm17872",0.186206335861388,0
"Gm2077",0.243482670366276,0
"Gm22033",0.402137253955694,0
"Gm22890",0.694013052471391,0
"Gm23144",0.178504134728392,0
"Gm24183",0.531937916874551,0
"Gm24480",0.566018721107516,0
"Gm24900",0.346970463536297,0
"Gm25042",0.219052379547288,0
"Gm25072",2.66225679076463,0
"Gm25737",0.222137522964743,0
"Gm26187",0.405961374829825,0
"Gm26210",0.193486319258041,0
"Gm26490",0.694658113413538,0
"Gm2654",1.06956060068438,0
"Gm26583",0.915072693630448,0
"Gm26834",0.401746880359826,0.0699058329820106
"Gm28513",0.740919189608407,0.0994731309396315
"Gm28875",2.68978819632108,5.94802628385694
"Gm29127",0.48935106862722,0
"Gm29325",0.435559573376792,3.19707912570303
"Gm29596",0.668360471781581,0
"Gm32507",0.252457311041765,0.0361594613092451
"Gm32568",0.218981747515669,0
"Gm32633",1.4089771867337,0.0987782994576125
"Gm34144",1.04532708985375,0
"Gm37120",0.473944751783056,0.110913552208019
"Gm37599",0.266968793283202,1.1483694529916
"Gm39164",0.17022309628401,0.095870801842729
"Gm42492",0.354616495525092,0.0830852163600125
"Gm42682",0.834980457532378,0
"Gm42966",0.478298297736808,0.172960798361295
"Gm42976",0.267537473305186,0
"Gm43206",1.57919243833593,0
"Gm43432",0.200409906642048,0
"Gm43520",0.459370321194729,0
"Gm44268",0.143140258166355,0
"Gm44470",0.508068473742898,0
"Gm47063",0.536268173088167,0
"Gm47135",1.57805010296967,0.247504369257856
"Gm47317",0.37769870312603,0
"Gm4768",4.95628147444093,0
"Gm47776",0.241128035068887,0
"Gm48022",0.192910937274,0
"Gm48668",0.235684932721067,0
"Gm5228",0.392599029536409,0
"Gm5754",0.12468459763895,0
"Gm6129",0.256397037149531,0
"Gm7802",0.287500278604985,0
"Gm7931",0.327964123512639,0
"Gm9945",0.286415657268989,0
"Gnb4",3.24367818957694,1.02910912679725
"Gp1bb",5.30739358306486,0
"Gpr15",2.41221231164666,0
"Hist1h2bf",1.58953027289559,0.34434782579128
"Hist1h2bp",1.16291269403383,0.119327446466459
"Hist1h4m",0.765848161070181,0.293480600459551
"Hr",2.52008698063156,0
"Ick",2.757359088493,0.446887879267287
"Igsf9b",1.73822484840826,0.0332465014159453
"Il12rb1",0.866580774335679,0.0215175528622443
"Il23a",1.77496137925839,2.5435671078235
"Itgb7",3.00196119451283,5.82546329500456
"Itpr2",2.26340988984781,0.611672947451597
"Kazn",1.98861302988352,0.0831272750214769
"Kif19a",1.86052052123182,0.962651263284128
"Kndc1",1.95842914542936,0.0456125275201966
"Lgi3",3.31823904449162,0.398491069607849
"Lims2",2.36201870215595,0.525901351299043
"Mag",3.87540368347503,1.25921634166019
"Map6d1",3.02064834702659,0.252381285263884
"Map7",1.03173518106335,0.0917585854145423
"March8",3.7679437413113,2.21254895061596
"Matn1",0.896847343435924,0.0502002721349096
"Mical3",1.60919866576462,0.0806519572953043
"Mir219a-2",1.76112782664804,0
"Mir344f",1.05362389309807,0
"Mir344i",0.656175678603804,0
"Mir6338",0.357067589097017,0
"Mx2",2.16014299744196,0.308297964953997
"Mycl",5.11540258565533,0.83613534742956
"Myrf",2.2049535846687,0.281768259884838
"Neu4",2.60425148584942,0
"Neurog2",1.15813390598358,0
"Nfasc",2.66649320255866,0.0477118754679869
"Nipal4",1.39856915919784,0.753463894224716
"Nkx2-2",1.1837741781175,0
"Olfr279",0.401664105249324,0.0221672195607283
"Parvb",2.9308505281347,2.26766328664468
"Pcdh17",2.08571462797541,0.0998964693006737
"Phldb1",3.79030430674353,0.408249575194156
"Pik3r3",1.82944010727128,0.0716385030714748
"Pla2g4a",1.69174264668437,1.82081315978323
"Plekhg3",2.33820014329812,1.90903231693574
"Plp1",5.13045216780632,0.597288028818346
"Plxnb3",3.73193624575202,0.29867096605089
"Ppp1r16b",2.34071233012043,0.122422967680785
"Ppp1r17",0.218715158975469,0.0650520807025961
"Prickle1",1.88028080134715,0.41285445135113
"Prima1",0.805857216173897,0.0376950546947702
"Ptgds",3.90072031494082,1.21771412039297
"Ptpro",2.81753341008576,2.11932744404618
"Pycr1",2.67571387131714,0.530565905426553
"Rab33a",2.41253804783195,0.556133565118622
"Rap2a",5.10302153933002,0.569740977224146
"Rgs16",2.75784939669045,0.059006828522429
"Rhbdl2",0.807447151849336,0.0627790612717248
"Rnd2",5.03139038932795,1.81577877346072
"Rnf122",3.76229968563984,1.15211267292689
"Rnf128",1.0763392019344,0.485427175911749
"Rras2",2.15835673878771,3.24324596822997
"Rtkn2",0.768846074440711,0.106894550529527
"S100a14",0.943698108173032,0
"Secisbp2l",4.68274165746997,2.70160255699708
"Sema3d",0.76732347886603,0.13698093715945
"Sema4d",4.50902871472995,1.10186827093715
"Sema4f",1.78641323960214,0.115994263258905
"Sema5a",1.10084218902759,0.076765199797562
"Sgk2",0.792917259547019,0.160361072459947
"Sirt2",6.70295987229834,2.16801000499864
"Slc12a2",3.67195752497279,1.9542870633304
"Slc1a1",0.904650154355995,0.60497410121985
"Slc22a21",2.21745721941429,0.22147794126519
"Slc44a1",3.19767454392549,1.13576405507861
"Snx30",2.75874949500738,0.668432115688807
"Srpk3",4.14449481722873,1.43861172437842
"Ssh3",3.77177447851612,2.73981899342212
"St18",0.424774315180101,0.0799435220382473
"Strn",2.89295313358375,1.37083658946659
"Susd4",1.41375120277062,0.0377582025814559
"Syde2",1.22858690820622,0.0857916617872111
"Syne3",0.975542707442819,0.669352805906994
"Sytl2",1.02396907250661,0.064190674553187
"Tmem108",0.534948688837754,0.0271964513342531
"Tmem163",1.76704727891967,0.0790828851617597
"Tmem2",2.3423704206204,1.17464243540022
"Tmem40",1.40821562356674,0.110549303301482
"Tmprss3",0.395129354940728,0.105319360919507
"Tmprss5",0.757900671611776,0.0618800817130496
"Tnr",1.29655535648618,0.0397508451236841
"Tns3",2.86538568741303,0.44958594498261
"Tppp",3.96580044214325,2.07070209278225
"Tspan15",2.09878227932551,0.1017382303266
"Tspan2",3.27374724212175,0.116285169054667
"Tubb4a",5.32092076351394,0.4915726454084
"Tunar",0.602328010523954,0.0226525567605718
"Tyro3",3.18174570012718,0.0279241337180331
"Ugt8a",2.14441315057009,0.231843572374174
"Ust",1.23030585568758,0.283181011146083
"Utf1",0.375930081989149,0.10440592687452
"Ywhaq-ps2",0.91323297736237,0
"Zdhhc14",1.37376269354405,0.572908681414072
"Zfp365",2.93774584081348,0.0701508654224824
"Zfp488",2.47401972845784,0.165573381105823
"n-R5s172",0.784302822665028,0
