"","mouse_FVN_Swiss","mouse_C57BL6"
"1700047M11Rik",2.34447759930574,1.76821855186943
"1810041L15Rik",2.90859822205525,0.0807365309245007
"2010203P06Rik",0.454085786135356,0
"2210011C24Rik",2.3536713856807,0.564475601883722
"4933430A20Rik",0.274230229143491,0.0950840500490649
"5430431A17Rik",0.606921829861919,1.50955795899361
"9630041A04Rik",0.462720792079597,0.116711299575564
"AC122356.1",1.29080452118662,0.243421293664716
"AC157572.1",0.527594629794184,0.555314588035944
"Aatk",4.82954542205941,1.88770297576294
"Ablim2",1.64382470923416,0.13960278959039
"Abtb2",2.6151038441416,1.11831332524452
"Adamts4",4.01349008664777,0.298065412133478
"Alox5",1.3095938584527,4.2978397796271
"Arhgef10",2.81758525497228,0.362355317731249
"Asb18",0.222984400558109,0.195838637512974
"B230206H07Rik",0.351413282996402,0.0532148977075277
"B3gnt6",1.10326453928107,0.894443327349361
"B3gnt9",3.29322001784517,0.653966307094359
"Bace2",1.07816599757418,0.175702152054597
"Bcas1",3.27340975768783,0.197511155133525
"Bmp4",2.63130112357156,0.134944678761237
"Brca1",1.42132938329087,0.663991658078859
"C030010L15Rik",0.423080359345142,0.627616960504058
"Capn5",2.9673919191406,1.45465084546306
"Capn6",0.759158292664195,0.217128247876333
"Casr",0.798223188299565,0.20796737331171
"Cdk18",2.10644617187158,0.476397702890888
"Cdv3",5.80571614426297,4.95570305579941
"Cdv3-ps",6.42966244053581,0.0553784100014279
"Chrne",0.851629662258798,0.395710772743225
"Chst3",2.70568360601425,0.849555559178563
"Chst8",0.803458316458067,0.884437070379062
"Cldn24",0.209475416165328,0.212079791413555
"Col11a2",4.13484265721288,0.410123241134246
"Col20a1",1.95076788379718,0.540804750841832
"Col2a1",1.15480168608214,0.0140868466588374
"Col9a3",4.3434030128962,0.5831378558408
"Cpm",1.832675534981,0.576198709492651
"Cpox",4.695416128454,3.78112616510779
"Cyfip2",3.07571661007387,1.43343157202738
"Cyp27a1",2.15092704852834,3.22517311632423
"Cyp3a13",0.329509074122092,0.576780518212225
"D630045J12Rik",1.92912428766802,0.337552503529306
"Dct",1.10544737607967,0.384434044478604
"Ddc",1.24525536191786,0.271139433164285
"Dlk2",3.40788015585354,0.128469504095941
"Dnah10",0.568042619277632,0.156738863881236
"Dnaic2",1.01438787923046,0.139823005030308
"Dusp15",4.35820449382473,0.0234652058438772
"Dusp9",2.32786966405283,0.169736178301648
"E2f8",1.79088224633362,1.6856210773995
"Elovl7",1.95233316716597,0.63167372906636
"Eml1",1.78321107125963,0.208704955263063
"En2",1.17017572599215,0
"Enpp6",1.65827578106987,0.120715987027255
"Epcam",0.831570546585877,0.368665157723715
"Erp27",0.648432348201747,1.15109395919586
"Etnk2",1.74894275228726,0.207884276879401
"Fam163a",0.881780003980881,0.0949444850903743
"Fam3c",3.80999386561861,2.62402130561636
"Fbn2",0.72780216927595,0.168887380951308
"Fbxo32",2.38215434661228,1.95611733955312
"Ffar3",0.239251432088179,0
"Frmd4a",1.75682755194074,1.2069860376664
"Fyn",3.19674568273064,1.19435940847862
"Galnt5",0.30129780315509,0.248347307086207
"Gbp11",0.483127671110061,0.210598216195706
"Gjc3",3.68496968258201,0.425159652389164
"Gm10863",1.29600003210176,0.379731482211988
"Gm11274",1.16345001603356,1.99178435913931
"Gm11295",3.31297386554174,0.0576544768887366
"Gm11331",0.123833608279425,1.72270647734464
"Gm11936",0.09076388548291,0.988938969525531
"Gm12656",0.156545400962483,0.200204129844623
"Gm12778",0.384905432939744,0.196288017286161
"Gm12826",0.0809145954673686,0.120921426225882
"Gm13052",0.513438690391931,0.0885729211908353
"Gm13148",4.52359077299426,0.184368456693389
"Gm13182",0.0922995568542671,0.0663743083525675
"Gm14843",0.0741318713717871,0.783388648164683
"Gm15217",0.474608590974256,0.324037297409745
"Gm15912",3.6243375505315,2.54615183658379
"Gm16401",0.755410660434016,0.056324808216227
"Gm17872",0.187840313489201,0.0916734375063575
"Gm2077",0.220964063277438,0.141445116385871
"Gm22033",0.129437839639078,0.439680614504887
"Gm22890",0.607124096342684,0.423034362848314
"Gm23144",0.28050649743033,0
"Gm24183",0.835902440802866,0
"Gm24480",0.573273096697934,0.276661781912142
"Gm24900",0.245895875818052,0.261925496021613
"Gm25042",0.108579476016773,0.206189980362845
"Gm25072",0.139868853829276,3.53821784020075
"Gm25737",0.349073250373168,0
"Gm26187",0.121080760552206,0.452251224907829
"Gm26210",0.127718995455712,0.154289567956058
"Gm26490",0.527778802043834,0.493348454155261
"Gm2654",1.68073808678974,0
"Gm26583",0.884680056657994,0.484129904166122
"Gm26834",0.526675422179018,0.126513882579125
"Gm28513",0.361332068493067,0.752334891249942
"Gm28875",1.73606632098436,5.15341388100864
"Gm29127",0.768980250699917,0
"Gm29325",0.237110709410443,1.98996210551047
"Gm29596",0.395663195025032,0.572790353052771
"Gm32507",0.173130107872494,0.213719688948617
"Gm32568",0.323741631739758,0.0178259750617559
"Gm32633",0.618539718895843,1.44551052745378
"Gm34144",1.38133388128877,0.228657602421232
"Gm37120",0.606919391908212,0.176076341886026
"Gm37599",0.294472884102864,0.683603043670194
"Gm39164",0.201791782008558,0.10542434905439
"Gm42492",0.522819193572134,0.0716734951513903
"Gm42682",0.16750388580456,1.00153222902803
"Gm42966",0.58757417876382,0.230013152150415
"Gm42976",0.0723629723938864,0.30454642494998
"Gm43206",2.23313199352881,0.217399108374187
"Gm43432",0.177224967862671,0.120491774752978
"Gm43520",0.721867647591717,0
"Gm44268",0.224934691404271,0
"Gm44470",0.0981420273802072,0.612719877438804
"Gm47063",0.692062556830401,0.131814000769628
"Gm47135",2.47979301895233,0.123752184628928
"Gm47317",0.314315158766144,0.244309952877916
"Gm4768",7.78844231697861,0
"Gm47776",0.194078019838222,0.161732780861276
"Gm48022",0.303145758573428,0
"Gm48668",0.119688383168011,0.219339447219458
