"","meanx","meany","tvalue","FC","logFC","pvalue","Contrast","adj.P.Val"
"Map1b",7.73606629896664,148.532383788314,-10.0339669854812,19.1999884758168,4.26303353990218,0.00499136783917739,"newoligoBYo",0.0128474730315441
"Elavl3",16.1017295760327,151.568923306866,-12.2121040029783,9.41320760550314,3.2346864134982,9.99384504206909e-13,"newoligoBYo",5.39253253330962e-11
"Gng4",2.11293566393023,18.4641086850084,-9.02607753196244,8.73860430310673,3.12740287631884,0.00605108136926079,"newoligoBYo",0.0151263359471363
"Atcay",5.60932589720736,47.8483346493845,-10.8440684590011,8.53013990026967,3.09256940294687,1.05368397831429e-06,"newoligoBYo",8.27499135685021e-06
"Tunar",0.466101315217057,3.63548700455411,-8.46804813660915,7.79977847275782,2.96343314951434,0.00991000123908536,"newoligoBYo",0.0228898472971691
"Sv2a",56.3881435414775,362.653258023258,-9.55693168822994,6.43137431464649,2.68512705871458,2.15801699360262e-09,"newoligoBYo",4.16595200257162e-08
"Tub",4.44156638520036,27.9025214469022,-12.2645453075153,6.28213540607556,2.65125503938727,1.49556614236617e-12,"newoligoBYo",7.76676285623633e-11
"Pfn2",115.119925382106,703.216830702341,-8.61031118666311,6.10855877788508,2.61083203810263,8.13398188307834e-09,"newoligoBYo",1.31830096116734e-07
"Dixdc1",3.45671381024395,20.8914773378861,-7.0710100380358,6.04373936771229,2.59544144656884,0.0108261420178432,"newoligoBYo",0.0245975906193638
"Gm43206",4.13373408913635,23.9672917594304,-11.2271730614327,5.79797617423374,2.53554940490924,3.93665864793675e-10,"newoligoBYo",9.61265996338904e-09
"Cntn2",19.4968832946071,107.092893216339,-12.2120886278023,5.49282116521473,2.4575473214836,1.6538052138205e-12,"newoligoBYo",8.50863552217463e-11
"Stmn4",41.8034281640582,223.580803490874,-10.5120549082216,5.34838441032702,2.41910316156847,3.69795508500393e-11,"newoligoBYo",1.22104269172451e-09
"Nacad",24.6150882944004,124.000205954478,-10.0133158055161,5.03756900935783,2.33272769716942,1.11316730880369e-10,"newoligoBYo",3.20658859019063e-09
