"","other","preoligo"
"AC140244.1",1.88158593654365,0.69699845569695
"Acy3",2.56889846617918,0.794779010677622
"Cdc42ep2",4.19165587158415,1.58215595566221
"Dubr",2.94359604023104,0.598790597815241
"Fam43a",6.3613571988995,3.75772198454094
"Gm22513",2.21241645833344,0.5476794151648
"Gm9847",1.15226295728812,0.195447368357688
"Ldlrap1",3.49570030358236,1.03502690282578
"Nkx6-2",1.66535716845744,0.68409059456348
"Nod1",2.8129591653571,0.289575819642873
"Parvb",2.86658880546957,1.17776567948649
"Rgs16",2.09981852208693,1.17491136846769
"Ttyh2",2.314706977415,1.39360124714868
"Unc5b",1.59205837532711,0.603510833407521
