"","No_data","5_months"
"1700001P01Rik",1.37521693851523,0
"1700047M11Rik",2.12201642667587,1.80372772916528
"1700110C19Rik",3.5748745017644,0.232388109045375
"1810041L15Rik",1.90110910924168,0.0234699000310679
"2010203P06Rik",0.288963682086136,0
"2210011C24Rik",1.9083185922577,0
"2600006K01Rik",1.41279327686557,0
"2610035D17Rik",1.16702669415477,0.354381692972716
"2810410L24Rik",3.00820787303899,0.222539724541048
"2810468N07Rik",4.49345486383424,0.562829714577473
"3632451O06Rik",1.05324044470833,0.0558403945549946
"4930402H24Rik",2.7603381802983,0.254915580318648
"4933430A20Rik",0.243662182217905,0
"5730559C18Rik",1.20578273879718,0.0230699229078102
"9530059O14Rik",0.297940617964081,0.105478548801021
"9630041A04Rik",0.350452457493802,0.0794397271824668
"A230056P14Rik",2.35584476870929,0.559959573644161
"A330102I10Rik",0.97752685649061,0.220063223956969
"A930033M14Rik",0.283417971236769,0
"AC110091.1",1.04503034516121,0.00293749786791089
"AC122351.1",0.25041597408726,0
"AC122356.1",0.963286473623972,0.0967126969400865
"AC122356.2",0.30415072276081,0.0375288623065525
"AC157572.1",0.659311968300557,0.220811865385176
"AC225888.1",2.40363332866353,0
"AL626769.3",1.60114170922534,0.072411788799022
"Aatk",4.06476230179221,1.04901411020128
"Abca2",5.58937673451379,2.69234309476058
"Ablim2",1.131064357876,0.0454718361815508
"Abtb2",2.4029932321096,0.204826989435445
"Acap3",5.50544962512228,2.21922210131496
"Acsl3",3.71765553778324,0.379829105596957
"Adam11",2.52380151510719,0.0367413476594419
"Adam23",1.25567941104138,0.27143090321849
"Adamts4",2.76446744004383,0.0174530157800361
"Ado",6.33382446840263,5.57158253936117
"Agpat4",2.56482777641797,1.08989383723201
"Alad",4.53759820465533,2.53748328711307
"Ank3",1.19700896699812,0.103158848379314
"Ankrd28",2.74867703176987,0.217600331807074
"Anks1b",0.894158770656713,0.0732770758272992
"Ankub1",0.420866261563977,0.0564882915398112
"Ano4",0.49181281940355,0.0617564430879336
"Ap3m1-ps",4.41533990316732,0
"Apbb1",4.29116095443445,1.80944483180656
"Aplp1",5.79333996369446,0.203633773801985
"Arhgap23",2.80521676337515,0.991577230431383
"Arhgap35",2.98079194971602,0.717681340560392
"Arhgef10",2.00527827935277,0.140969563443881
"Arhgef19",1.43740997164334,0.12718509832897
"Arhgef28",0.859240289086992,0.081102207313407
"Arsb",2.73519129763817,0.459622699859169
"Asb18",0.271436255137142,0.0354502743754972
"Aspdh",2.0078623978214,0
"Atcay",1.94911390015775,0.0395490404877299
"Atp7b",0.725666165730506,0.0960942464801646
"Atp9a",2.71888619643789,0.15452256792615
"B230206H07Rik",0.246373565274255,0.0438757361545572
"B3gnt6",1.35258167216022,0
"B3gnt9",2.52411269004215,0.129757747801846
"Bace1",3.83316184626311,0.494740489939315
"Bace2",0.790777054832328,0.0635578990751152
"Barx2",0.662206376628248,0.0638031225673538
"Bcar1",2.72439700838021,0.0992409118102296
"Bcas1",2.20835743785662,0.0505064321150375
"Bcat1",1.58559975829338,0.0898732693538869
"Bcl7a",2.67304442696486,0.478885253594471
"Bdh1",2.45886583917334,0.157778036798894
"Bhlha9",0.672760732066282,0.155032751903038
"Bmp4",1.77260593591735,0
"Brca1",1.17322911642625,0.588929666744539
"Brdt",1.28882342319561,0.22496079066394
"C430049B03Rik",2.43125515159393,0.500119898539169
"Cacng7",2.88235978700382,0.0653401511273565
"Cadm4",4.28869349405434,0.164148357942386
"Capn5",2.19159044653466,2.07536382145186
"Capn6",0.6067900421902,0.0941108918919571
"Car14",2.6031495303268,2.39948963806212
"Casr",0.614646973827886,0.122546148120973
"Ccdc13",1.00014325050799,0.0496838320533122
"Ccdc74a",2.92943210177536,0.855204730114861
"Ccp110",3.26436860763997,0.820753167128781
"Cdc37l1",4.28572201221496,1.20713674551175
"Cdh19",0.31291197889955,0.315439366903193
"Cdh20",0.989251265634232,0.0900157345168671
"Cdk18",1.55699546357725,0.357338681719601
"Cdr2l",3.17610552433157,0.447031281005384
"Cdv3",5.79569915351894,4.13323669188193
"Cdv3-ps",4.13187857852383,0
"Cers1",2.81532945938924,0.0212874125209425
"Chadl",2.93604354856892,0.0245736420406523
"Chrne",0.723812673348874,0.291288602729944
"Chst3",2.24412415789082,0.262715994682306
"Chst5",0.82721942805779,0.0267794890349046
"Chst8",0.819837663879135,0.920372618892121
"Cldn11",2.91247957406155,0.353697199156528
"Cldn14",0.523832628611884,0.0293168505537511
"Cldn19",0.521932268307733,0.316748695398553
"Cldn24",0.287542385860521,0
"Clip3",4.28982066139956,0.0378931895719741
"Cmtm5",4.60932477041622,0.134264728537884
"Cnp",6.90906731417863,4.91789741542919
"Cntn1",1.70914778243831,0.116327981212358
"Col11a2",2.9295349572331,0
"Col20a1",1.54344431611829,0.250981429003433
"Col2a1",0.745118779622336,0
"Col9a1",0.46766994894508,0.0712986352006795
"Col9a2",2.0840440880982,0.121595161931419
"Col9a3",3.15375277317828,0.0944108580096899
"Cplx3",1.37541305787797,0
"Cpm",1.54808354663904,0.102349851944701
"Cpox",4.63278591125433,3.03906929906068
"Cryab",4.56762215166794,0.731473987435761
"Ctnnal1",2.48119478031863,0.2037905404508
"Ctps",3.20702864247809,1.0015202197491
"Ctsk",2.31175263768461,0.0336961869546625
"Cux2",0.939238815119316,0.0581948472774165
"Cyfip2",2.90072973640196,0.272360436578651
"Cyp26b1",0.751615732581186,0.349797845623662
"Cyp2j6",2.48298052495851,0.806391837408824
"D430041D05Rik",0.805753755373511,0.102816314848324
"D630045J12Rik",1.44112415927043,0.0879810724839643
"Dbndd2",2.9941669463216,0.445901410594656
"Dct",0.965940841601007,0.0470636826938623
"Ddc",0.952689875169478,0.101578592968767
"Ddr1",3.67576416667629,0.423120654891346
"Dhcr24",3.89062500780545,0.0744089028856681
"Dip2a",2.89895292710457,0.923203995918187
"Dixdc1",1.71345194927069,0.0763808599068881
"Dlk2",2.26208337488567,0
"Dmrtb1",2.59691394300522,0.357603823076949
"Dmrtc1a",0.749171674918452,0.0313300851228032
"Dnah10",0.45402273013169,0.0589898036361811
"Dnaic2",0.710390438731068,0.10125109220348
"Dnajb2",5.49113106436159,2.45003951687101
"Dnm3",0.511147128244217,0.050658740673188
"Dock6",2.4656429866456,0.30120846083004
"Dock9",1.8051811467242,0.16325418615302
"Dscam",0.869927397243201,0.0756308990653813
"Dusp15",2.79046846395674,0
"Dusp9",1.57140675355931,0.0918756964076436
"Dynll2",6.38054734656147,5.77627426748047
"E130308A19Rik",1.70134438997771,0.209966561699578
"E2f8",1.61022834767394,2.07715812977949
"E330009J07Rik",3.1452396952329,0.645564056004011
"Efcab14",4.12161367002817,2.55558292739858
"Efnb3",4.15757340524739,0.0971080475182696
"Efs",2.8070999093473,0.141936694566644
"Ehd3",2.46684440195453,0.103311134188611
"Elavl3",2.6573267318032,0.0378632375773062
"Elfn2",1.75481622649897,0.00681734076547651
"Elovl6",2.31337371349018,0.218950321575679
"Elovl7",1.60367486690353,0.269824616688474
"Eml1",1.24251351936283,0.121117106982698
"En2",0.74465728017682,0
"Enpp2",2.99523142725842,0.380548864688064
"Enpp6",1.13511860213246,0.0218384350625078
"Entpd5",3.57333727483059,1.20129065723462
"Epcam",0.73037185292572,0.184056176426986
"Ephb1",0.796163765247198,0.0392195842506822
"Erbb3",2.27174178062434,0.760342573964078
"Ermn",1.86704769556774,0.111572361658663
"Etnk2",1.25649492765502,0.0210573192101944
"Fa2h",1.75386835483801,0.0563027619510944
"Faah",1.48252039060054,0.103889377166808
"Fah",2.53220499538707,0.817584332767891
"Fam102a",4.37175641454128,1.58277529814871
"Fam131b",2.93197620259386,0.0482926451161518
"Fam163a",0.619522011317509,0.0293184460241398
"Fam222a",1.37561530006413,0.128427578024542
"Fam3c",3.51245366833627,2.25628428814056
"Fam83d",1.98349761019692,1.67983209158495
"Fbn2",0.564833721249904,0.0581358246982901
"Fbxo32",2.52182251950432,1.14599285704085
"Fcho1",3.48647075947031,0.34578979936377
"Fcnaos",0.256027822953077,0.3914265883152
"Ffar3",0.152250911328841,0
"Fmnl2",1.98218750423268,0.424933097341578
"Frmd4a",1.87406041814464,0.334754141331341
"Frmd5",0.716315993522775,0.14513038689505
"Fyn",2.88502496212553,0.0492051158906562
"Gal3st1",2.64885640961332,0.709121470674758
"Galnt5",0.317233874648534,0.151572614410354
"Gamt",5.55674332909043,5.55867831169129
"Gbp11",0.438683863017986,0.0602892335345571
"Gipc1",5.49688604455754,0.815065034595452
"Gjb4",0.239705439695062,0
"Gjc2",2.10597517063289,0.109863391919763
"Gjc3",2.58076944746857,0.201900268758282
"Glp2r",0.253333817040642,0.0409355412710989
"Glrb",2.05386280280989,0.102114815838945
"Gltp",5.70415173126098,4.27750318852851
"Gm10179",4.03000011339355,0
"Gm10297",4.60542248454783,0
"Gm10356",2.00569250834856,0
"Gm10602",0.772531995638791,0.0869670734276292
"Gm10608",4.02053290184654,0
"Gm10687",1.98498731547538,0.251959980316636
"Gm10863",1.03487735431145,0.181550296245554
"Gm11295",2.15018662490019,0
"Gm11474",0.329795978666795,0
"Gm11637",0.390624544172958,0
"Gm11954",1.30126606084518,0
"Gm12026",0.50110306812532,0
