"","cerebral_cortex","peritoneum","brain","blood"
"1700001P01Rik",1.35186697303922,0,0.785869823117368,1.47985718183983
"1700047M11Rik",2.34447759930574,2.34907646254322,0.114106607011668,2.72530100391866
"1700110C19Rik",4.03346667243349,0,2.89909801840314,1.90846408101906
"1810041L15Rik",2.90859822205525,0.0138193985547426,0.0975649236896392,0.144208697003072
"2010203P06Rik",0.454085786135356,0,0,0
"2210011C24Rik",2.3536713856807,0,0.862472496888256,0.943849429139653
"2600006K01Rik",1.94822532275019,0,0.442904688076326,0.318354826431675
"2610035D17Rik",1.15238900221539,0.391353282404777,0.839433505301995,1.16618151264654
"2810410L24Rik",4.66031831101079,0.168344615721424,0.220561135576384,0.120712255364931
"2810468N07Rik",5.87942263450847,0.237336229387159,2.21889160066531,1.70565049164097
"3632451O06Rik",1.55734191044581,0.0615460352963169,0.0594092384253464,0.229780757975477
"4930402H24Rik",3.33866473948349,0.268598612383506,0.83268333649483,2.05008997991355
"4933430A20Rik",0.274230229143491,0,0.0751079024567624,0.229161057700245
"5730559C18Rik",1.87105544956009,0,0.0462067683460431,0.0571939002458046
"9530059O14Rik",0.345573334844998,0.120266518193999,0.0619065281740089,0.305872709550789
"9630041A04Rik",0.462720792079597,0.0882084451388602,0.0726592961630555,0.194966728312117
"A230056P14Rik",2.63742692373691,0.625314138548552,1.48325168785224,1.6432282595777
"A330102I10Rik",1.38113151886796,0.144104045312008,0.251728612953129,0.361397606732013
"A930033M14Rik",0.44537109765778,0,0,0
"AC110091.1",1.61590348161909,0.00391666382388118,0.0212622805957533,0.0523414895801465
"AC122351.1",0.393510816422837,0,0,0
"AC122356.1",1.29080452118662,0.128950262586782,0.074362317490592,0.54984550713236
"AC122356.2",0.33485261949199,0,0.123915148569954,0.33680687669052
"AC157572.1",0.527594629794184,0.294415820513568,0.416510022303886,1.00719767479485
"AC225888.1",3.57345216014683,0,0,0.570320597708412
"AL626769.3",2.28026395063131,0.0267616697114572,0.307329266429568,0.436700050818972
"Aatk",4.82954542205941,1.19592729449122,1.68266907270578,2.92286769634617
"Abca2",6.6408795391829,3.00740538727002,2.87082522708088,3.82683218196058
"Ablim2",1.64382470923416,0.0516015222260684,0.181657268303799,0.203149831714168
"Abtb2",2.6151038441416,0.260915750572881,0.521676642618453,2.74382709747656
"Acap3",6.16777141530491,2.85361964533048,2.32202504518983,4.75860513020182
"Acsl3",4.8437895777025,0.326859894956525,1.58916163615008,1.4214066075365
"Adam11",3.7717170608998,0.0489884635459225,0.0862564779687432,0.457662417983448
"Adam23",1.78600334221288,0.331262179728311,0.122130222453768,0.438824657407834
"Adamts4",4.01349008664777,0,0.363565408484113,0.590243910343018
"Ado",6.63015121235833,5.87365974930242,5.43923505724084,5.73130957294236
"Agpat4",2.62609619327711,1.33121203400928,0.559766411820685,3.51878216200254
"Alad",5.42398644458385,2.55209158654556,3.23701791158839,2.53871549958654
"Ank3",1.70711988779337,0.110135644315682,0.0891712475606582,0.430623905637713
"Ankrd28",3.36695507171738,0.220126183349599,0.795608997585275,1.95510485226529
"Anks1b",1.23525133174277,0.0762191942636082,0.0852964709921021,0.416078679225034
"Ankub1",0.448948783593943,0.0462481775171404,0.153767433325186,0.4758709769364
"Ano4",0.649009986179255,0.0679638195092979,0.0456608411713085,0.318341328431936
"Ap3m1-ps",6.75429900745542,0,0.145562244728622,0.369896108332412
"Apbb1",5.72398464549448,2.06934115024679,2.02929635385839,1.23655718886301
"Aplp1",8.22648423310814,0.0287168341783175,2.32519159066214,0.422702233959879
"Arhgap23",3.38162475282304,1.27866826605428,0.419726297650133,2.50679980272107
"Arhgap35",3.63955379109013,0.847502504490362,1.42048317036493,1.63553793284141
"Arhgef10",2.81758525497228,0.149588051606001,0.284289056229295,0.6957422985835
"Arhgef19",2.13689967669921,0.127985010856856,0.289768947703689,0.101429977067352
"Arhgef28",1.21400530106287,0.0879220178315571,0.0712948510248326,0.334404688285475
"Arsb",2.96738205964869,0.479030630164547,2.26723622705848,1.61949527911033
"Asb18",0.222984400558109,0.0359183110709823,0.126553587324503,0.457028079431834
"Aspdh",3.04130755576117,0,0.211357096507727,0.107576297775155
"Atcay",2.86379796842937,0.0376350844112367,0.211591755986431,0.363991456592344
"Atp7b",0.996392612476606,0.0906248701013311,0.13428925716049,0.313743507365906
"Atp9a",4.06316456233428,0.159591084762551,0.268326877777902,0.373638418979598
"B230206H07Rik",0.351413282996402,0.0585009815394097,0,0.100086494816797
"B3gnt6",1.10326453928107,0,0.517826803640509,2.34439184387745
"B3gnt9",3.29322001784517,0.173010330402462,0.386850998898308,1.49822878732069
"Bace1",4.43689421939123,0.524200472459168,1.77465380302896,2.8304987231852
"Bace2",1.07816599757418,0.0403210930756854,0.104207346644149,0.409654228239739
"Barx2",0.879620829133907,0.0790624117386562,0.0679561923265311,0.390023645284197
"Bcar1",4.12949753272866,0.101517168117631,0.26183175040591,0.199886851981952
"Bcas1",3.27340975768783,0.0478604827247749,0.319862374380857,0.254740742776692
"Bcat1",2.20906836071176,0.0901453867446583,0.387811222992655,0.43905907037794
"Bcl7a",3.51735223861544,0.394296742027672,1.34562829709686,0.860241228743258
"Bdh1",3.71137375829273,0.10233515513363,0.222274253602244,0.334531588258697
"Bhlha9",0.962407258831383,0.206710335870717,0.0714968355611614,0.193910060802606
"Bmp4",2.63130112357156,0,0.0384145708736208,0.393408401162339
"Brca1",1.42132938329087,0.771060507882266,0.241761330163828,0.957739366229803
"Brdt",1.7082339801319,0.240397373630677,0.368308470020589,0.590919864376285
"C430049B03Rik",2.97428122882483,0.666826531385558,1.85914613101501,0.510389095288747
"Cacng7",4.30674950131788,0.0554119683106372,0.115441147598221,0.546093191359541
"Cadm4",6.50403826404694,0.0880664053715693,0.421906412208641,0.393995508560973
"Capn5",2.9673919191406,2.7627899498038,0.164274593136495,1.17526017258074
"Capn6",0.759158292664195,0.125481189189276,0.0729434606332085,0.471289505543927
"Car14",3.37349704224893,2.57201238572585,1.24833802746155,1.51249674570775
"Casr",0.798223188299565,0.140998165846567,0.089265969034673,0.407031826546919
"Ccdc13",1.50125230583992,0.0507404547407396,0.035716072010105,0.180013359469692
"Ccdc74a",3.91575493359147,0.823927502434859,1.22958389550773,1.0754181035097
"Ccp110",3.88945628245468,0.933249490344172,1.64142118983838,2.02462877189745
"Cdc37l1",4.50329672830491,1.15453059634678,2.96141729880199,3.83251079289275
"Cdh19",0.368647790186503,0.380845956653976,0.118831061688773,0.273455672007377
"Cdh20",1.42090186793266,0.0952246286674628,0.0752481347865156,0.32868782461868
"Cdk18",2.10644617187158,0.430745138925049,0.703749428543311,0.303829053997472
"Cdr2l",4.54787361814914,0.390806798185185,0.780816796284352,0.706283271743363
"Cdv3",5.80571614426297,4.70352411537089,4.39787235287946,5.81614848723359
"Cdv3-ps",6.42966244053581,0,0,0.177210912004569
"Cers1",4.0174833863631,0.02838321669459,0.71179574201078,0.426700397485188
"Chadl",4.16596903403265,0.019966976647553,0.349610292486984,0.919625481212808
"Chrne",0.851629662258798,0.336747736868342,0.0619644801258994,0.80021270841041
"Chst3",2.70568360601425,0.33312742281494,0.148552672806807,2.17027220918667
"Chst5",1.12586867182979,0,0.177639815473506,0.352540569313212
"Chst8",0.803458316458067,0.939265430454675,1.48329809516705,0.219782013500337
"Cldn11",4.44408152531893,0.0666036945962495,0.560729600389693,0.296743339723098
"Cldn14",0.723232589570045,0.0246273418691279,0.0312063346705726,0.265960131068639
"Cldn19",0.805570364738711,0.307792515414747,0.137446894139989,0.0409049592856366
"Cldn24",0.209475416165328,0,0.381814171023126,0.29684116150025
"Clip3",6.4071759285263,0.0270570542696773,0.828970443128317,0.134308505347666
"Cmtm5",6.4965056378324,0,1.5745984428404,0.731038326720874
"Cnp",7.57442120337515,5.28175712639052,4.88276773818487,5.83927638776875
"Cntn1",2.48832798643779,0.112311279883342,0.179600465931931,0.424682648850561
"Col11a2",4.13484265721288,0,0.234160255492366,1.07823411613722
"Col20a1",1.95076788379718,0.322088241196332,0.18358776843332,1.16048154482494
"Col2a1",1.15480168608214,0,0.0334936559572689,0.0115842533510106
"Col9a1",0.560751566268157,0.084378528341805,0.0638831897712533,0.436583782347181
"Col9a2",3.0645045692357,0.079995489141074,0.343674194220826,0.344064671672263
"Col9a3",4.3434030128962,0.0254250695020325,0.424256991972909,1.41127406331521
"Cplx3",1.81435493926324,0,0.577381254771244,0.39424236995476
"Cpm",1.832675534981,0.127987521285686,0.379513908974388,1.31073693585927
"Cpox",4.695416128454,3.03181139031512,4.26599299486107,4.19543706510571
