"","other","preoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","preoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.75632146145193,0.920236207224963,0.800770427753109,0.979214153574955,0.6877252998986,0.920236207224963,0.649277125468478,0.768400108756219,0.716590580535414,NA,0,0,0,0,0,0,0,0,0
"preoligo",0.75632146145193,1,0.884596592034248,0.39105080689712,0.846086895289017,0.295586334627834,0.884596592034248,0.261302934236891,0.422800883046517,0.356487738061564,0,NA,0,0,0,5.75095526755831e-14,0,3.88462595424244e-11,0,0
"mouse_FVN_Swiss",0.920236207224963,0.884596592034248,1,0.509686320909532,0.971482439158627,0.409719117202751,1,0.372183967210236,0.53047990773809,0.45523192528875,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.800770427753109,0.39105080689712,0.509686320909532,1,0.686001274053712,0.898467913013149,0.509686320909532,0.870024708422286,0.897027821436726,0.898712052101202,0,0,0,NA,0,0,0,0,0,0
"No_data",0.979214153574955,0.846086895289017,0.971482439158627,0.686001274053712,1,0.539372023108782,0.971482439158627,0.49818000221414,0.684921081426631,0.641138290567579,0,0,0,0,NA,0,0,0,0,0
"5_months",0.6877252998986,0.295586334627834,0.409719117202751,0.898467913013149,0.539372023108782,1,0.409719117202751,0.988040000107222,0.759581286121687,0.66729015714137,0,5.75095526755831e-14,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.920236207224963,0.884596592034248,1,0.509686320909532,0.971482439158627,0.409719117202751,1,0.372183967210236,0.53047990773809,0.45523192528875,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.649277125468478,0.261302934236891,0.372183967210236,0.870024708422286,0.49818000221414,0.988040000107222,0.372183967210236,1,0.683682230815931,0.654491426075805,0,3.88462595424244e-11,0,0,0,0,0,NA,0,0
"brain",0.768400108756219,0.422800883046517,0.53047990773809,0.897027821436726,0.684921081426631,0.759581286121687,0.53047990773809,0.683682230815931,1,0.716580981364284,0,0,0,0,0,0,0,0,NA,0
"blood",0.716590580535414,0.356487738061564,0.45523192528875,0.898712052101202,0.641138290567579,0.66729015714137,0.45523192528875,0.654491426075805,0.716580981364284,1,0,0,0,0,0,0,0,0,0,NA
