"","mouse_FVN_Swiss","mouse_C57BL6"
"1600029O15Rik",0.534256708564483,0.468000083784737
"1700001P01Rik",1.35186697303922,0.708039689049125
"1700011D18Rik",0.323320988802103,0.174639101013604
"1700016P03Rik",3.5290424113965,0.37658509732706
"1700018M17Rik",0.294333415326087,0.27198751241494
"2010008C14Rik",0.98700796103921,7.70438842761326
"2010109P13Rik",0.393159100905014,0
"2010203P06Rik",0.454085786135356,0
"2310074N15Rik",1.52292033454127,1.0690585073571
"2610035F20Rik",1.85457512672702,0.0857298285406878
"3110031N09Rik",0.335741984645601,0.209335691126318
"3110079O15Rik",0.863274003076265,0.14141535619035
"4833403J16Rik",0.58453357459054,1.42795128956548
"4930429H19Rik",1.3504377456589,0.086151976216431
"4930432E11Rik",0.677756885394495,0.0917238627302972
"4930439D14Rik",0.716291327565103,0.934790847648236
"4930447K03Rik",0.529154543914196,1.13894824146529
"4930478M09Rik",0.276142365521851,0.62753834165686
"4930523C07Rik",0.808186399379347,2.0337758128823
"4930555A03Rik",0.4080169962873,1.69634557002753
"4930572O13Rik",0.395600731231587,0.132827201104696
"4930578C19Rik",0.527935657879402,0.196382342397522
"4933437G19Rik",1.21021944104347,0.9116966495628
"5330417C22Rik",0.861105552206038,0.203318704037554
"6430500D05Rik",0.414498952590731,0.0998656868507956
"9430041J12Rik",1.06115812961137,0.305278044494523
"A030012G06Rik",0.447535027640076,0.0149646546370752
"A2m",0.92397224745034,0.177905687856137
"A830073O21Rik",0.344693594849595,0.27950364038025
"AC102103.2",0.439953545138223,0
"AC110091.1",1.61590348161909,0.0244699271139241
"AC116487.3",1.06432261752027,0.0634830632290831
"AC117202.2",0.520929335926876,0.189217331776196
"AC122356.1",1.29080452118662,0.243421293664716
"AC131033.1",0.418268497996479,2.69954067769205
"AC140244.1",3.76906101529283,0.0819718075322831
"AC152940.1",1.31486176694198,0.365751283141701
"AC154227.2",0.393056671959326,0.0964987109071649
"AC157572.1",0.527594629794184,0.555314588035944
"AC157931.1",1.04146657483809,0.0373642109657347
"AC164883.6",0.623509289927711,0.191824215669403
"AI606473",0.503975354188121,0.0591289609015523
"AL603714.1",0.330554598664288,0.168341489871968
"AU021092",1.65220383041478,0.280011652206507
"Abcb1a",1.02988652905747,0.458896016460494
"Abcc6",0.641253467942376,0.0946397073214044
"Abcc8",0.44343360744463,0.101489411938267
"Abhd14b",2.4069478364202,1.08624171666943
"Ablim1",1.47687743941711,0.729299390203513
"Ablim2",1.64382470923416,0.13960278959039
"Ackr2",1.08069218023128,0.287855793064446
