"","other","preoligo"
"0610009B22Rik",5.06959922433751,5.05239306868098
"0610009E02Rik",0.584702956609142,0.546945583904435
"0610009L18Rik",3.37898023905428,4.17865913217413
"0610009O20Rik",4.08216825779076,5.96596417684095
"0610010F05Rik",1.93997025394327,2.21600316785505
"0610012G03Rik",7.67082753849844,7.59586532898871
"0610025J13Rik",0.261670900101634,0.09671372531383
"0610030E20Rik",4.44609399490215,4.96913575631535
"0610037L13Rik",4.60147840877258,5.83683219339462
"0610039K10Rik",0.879377791819986,0.238384269069164
"0610040B10Rik",1.82048987970588,2.40163484761543
"0610040J01Rik",2.24397369748763,3.39319339930162
"0610043K17Rik",0.254355546064713,0.0351262411272294
"1010001B22Rik",1.19762135769022,2.27569591069266
"1010001N08Rik",0.287922324311221,0
"1110002E22Rik",0.210928375761834,0.103635148732658
"1110002J07Rik",0.816327581697046,1.83462006185679
"1110002L01Rik",1.35950411226476,1.44348362874373
"1110004E09Rik",2.91789410798353,4.56738546269869
"1110004F10Rik",3.30765686602989,3.84940258787603
"1110006O24Rik",2.52941201990226,3.17224290553454
"1110008E08Rik",0.109813053677751,0.170469100352835
"1110008F13Rik",3.40026276651979,4.43175896029173
"1110008L16Rik",1.04253966305053,1.11152059278663
"1110008P14Rik",1.56503722163968,2.97357579439753
"1110012L19Rik",4.82207376101389,4.74913388600238
"1110015O18Rik",0.553447776117618,3.07174946187078
"1110017D15Rik",0.852760086464727,1.15646364485354
"1110018N20Rik",0.294130846786269,1.87831378303032
"1110019B22Rik",0.30345775214342,0
"1110019D14Rik",0.467733689338113,0.153388396672394
"1110020A21Rik",0.771989885541647,1.11953171327039
"1110025M09Rik",3.4221959963643,3.27265670213546
"1110032A03Rik",3.45806182543842,3.37870138198209
"1110032F04Rik",1.02986121066731,3.9474606930348
"1110034G24Rik",1.72955279911704,1.51969605785987
"1110035H17Rik",1.73806093065034,1.71948026636195
"1110038B12Rik",5.72985230110626,6.62293895892883
"1110038F14Rik",5.79702075285901,6.51542476527697
"1110051M20Rik",1.22403521956835,1.99515593587741
"1110059E24Rik",2.02660969114998,1.63730450756518
"1110059G10Rik",4.13248127354264,4.29386748462043
"1110060G06Rik",0.180515548538119,0.402499542188152
"1110065P20Rik",2.84063371515564,5.31389312706258
"1190001M18Rik",0.684919786840179,0.605413010190428
"1190002N15Rik",3.12212741449953,4.23580358940768
"1190007I07Rik",2.46412820018907,2.3419072950323
"1200007C13Rik",0.394611922172198,0.124178035406336
"1300002E11Rik",1.86480046538371,2.52121150247602
"1300014J16Rik",1.35896452936371,0.505845056136232
"1300017J02Rik",0.290695755801406,0.0383920316012639
"1500002C15Rik",0.782066633346948,2.26560124858411
"1500004A13Rik",0.929282135230879,0.943816616111697
"1500009C09Rik",1.89990986530087,6.51781663474145
"1500009L16Rik",0.626694537653752,1.56146045610323
"1500011B03Rik",3.61554963183213,4.41435533924403
"1500011K16Rik",6.36679218109009,6.8717411994709
"1500015A07Rik",2.1115131007882,3.61746762366039
"1500015O10Rik",0.630914638555243,0.054058849510938
"1500026H17Rik",0.689943876527004,1.18078629519755
"1600002K03Rik",4.93713046199686,4.31809348486573
"1600010M07Rik",0.516497175930045,0.18621786124332
"1600012H06Rik",3.36965977498427,3.43789133937516
"1600014C10Rik",1.85548585364941,0.816775309314836
"1600014C23Rik",0.311484825463171,1.06537766037362
"1600017P15Rik",0.740560073336525,0.384798408704693
"1600020E01Rik",1.64347387418853,1.54993544928452
"1600023N17Rik",0.594224939307384,1.28547088248947
"1600027J07Rik",0.206857432945189,0
"1600029O15Rik",0.526776347286109,0.10892876822375
"1700001C19Rik",0.493379456443971,0.0437242495821714
"1700001G11Rik",0.92203398852951,1.65719419487116
"1700001G17Rik",0.794345983993746,3.29474806246933
"1700001J03Rik",0.39367401830722,0.128665010019216
"1700001K19Rik",0.871546648078166,0.218395381202778
"1700001L05Rik",0.809561864274828,0.647071920703173
"1700001L19Rik",0.304868399490108,0.762358698517366
"1700001N15Rik",0.180529143425401,0
"1700001O22Rik",0.639965519892263,3.0493394102971
"1700001P01Rik",1.05527021508558,0.353603312469405
"1700003E16Rik",1.17635021561609,2.56629533897505
"1700003I16Rik",0.220047663580953,0
"1700003M07Rik",1.09394650431887,3.39194289692479
"1700003N22Rik",2.42795754016704,4.67206963245892
"1700007E05Rik",0.400907837926442,0
"1700007G11Rik",0.534525962853007,0.0114847124106067
"1700007K13Rik",0.623895142256365,0.499191127224873
"1700007L15Rik",3.01270014945837,1.9462932302704
"1700008H02Rik",0.756262710422884,0
"1700008J07Rik",2.32088241517438,2.69607415833524
"1700008K24Rik",0.174369939962553,0.440141211112967
"1700008N11Rik",0.259582801924896,0
"1700008O03Rik",0.441390289137111,0.18375167768196
"1700009J07Rik",0.436666510365115,0.494775821850388
"1700010B13Rik",0.307215569785033,0
"1700010I14Rik",1.08160996902379,1.01453478163769
"1700010K24Rik",0.336351093505655,0.317929358343079
"1700011D18Rik",0.261454266408825,0
"1700011L03Rik",0.140954413007889,0
"1700011L22Rik",0.467210250811213,0.132190133018575
"1700012A03Rik",0.146132356130482,0.0153347207376028
"1700012D14Rik",0.898927457051884,0.528994338783393
"1700013A02Rik",0.168838194428986,0
"1700013F07Rik",0.355863179434392,0.178393432923614
"1700015C15Rik",0.261352999147933,0
"1700015G11Rik",0.167257110038174,0
"1700015O11Rik",0.37214365006079,0.291725559327185
"1700016C15Rik",0.453447450549284,0.282380515557682
"1700016G14Rik",0.28150476805842,0.190861381900035
"1700016G22Rik",0.350229842649768,0.0502286148799395
"1700016J18Rik",0.34487046652335,0.477989452017427
"1700016K19Rik",0.361924965207829,0.468578723434634
"1700016P03Rik",1.76838816355826,2.95854336857635
"1700017B05Rik",4.98511608196296,4.65788266864525
"1700017J07Rik",0.393300927771544,0
"1700018A04Rik",0.199013356015931,0.0557901569503129
"1700018G05Rik",0.50635618010612,1.75381467779218
"1700018L02Rik",0.632096683225117,0.674750491365392
"1700018M17Rik",0.302588143328724,0
"1700019N19Rik",0.320762931512161,0
"1700020I14Rik",5.54082733585404,6.44826829899972
"1700020L24Rik",1.75189583441689,1.13634200691163
"1700020N01Rik",0.518416375902534,0.0091418981208582
"1700021F02Rik",0.158048964863263,0
"1700021G15Rik",0.158483540874795,0
"1700021N21Rik",0.357337383651839,0.485270111889503
"1700021P04Rik",0.110394291001944,0
"1700022H01Rik",0.452104072485007,0.333623587959039
"1700022I11Rik",0.381249750026571,0.0938708612575698
"1700022N22Rik",1.51791179462132,1.86417800895396
"1700023F06Rik",0.568287013106113,0.559035616493479
"1700024J04Rik",0.222395767795496,0
"1700025A08Rik",0.277639409957579,0
"1700025F24Rik",0.389526003023756,0.213856926908597
"1700025G04Rik",0.837705091439306,2.56772905002359
"1700025O08Rik",1.16996782483256,0
"1700026J14Rik",0.155849360354238,0
"1700027H10Rik",0.333846792978705,1.39007357880677
"1700027J19Rik",0.709992902496026,1.27969521976707
"1700028J19Rik",1.08352431951294,1.85297160965527
"1700029E06Rik",0.165057914328686,0
"1700029H14Rik",0.908952071972552,0.0760937538734125
"1700029I15Rik",1.48025935778126,2.47414458983114
"1700029J07Rik",0.852585906464397,1.22719538953854
"1700029P11Rik",0.115166867885902,0
"1700030C10Rik",0.407688550839637,0
"1700030C12Rik",0.213164470923791,0.23785238694036
"1700030C14Rik",0.182631061390226,0
