"","logFC","logCPM","LR","PValue","adj.P.Val","Contrast","FC"
"Col3a1",-5.42417547431056,2.39073659658397,58.331757092728,2.21440545589622e-14,3.84226401646553e-10,"preoligoBYo",0.0232895169286072
"Dcn",-5.51377226845094,1.7129506748101,57.4461826464698,3.47354700218373e-14,3.84226401646553e-10,"preoligoBYo",0.0218871471597924
"Lum",-6.41876976228259,2.10127363653654,48.7769808792351,2.86786048292019e-12,2.11485591545478e-08,"preoligoBYo",0.0116884726856505
"Slc22a6",-5.30959727131898,1.60611674886593,44.9534596017655,2.01773414167683e-11,1.11595831040791e-07,"preoligoBYo",0.0252145926531983
"Pcolce",-3.36608454629108,2.25555291153651,35.2972350232004,2.83033594806863e-09,1.08963794248229e-05,"preoligoBYo",0.0969856729641624
"Slc6a13",-4.73615910405962,1.42304080839781,35.2131471589954,2.95521749079859e-09,1.08963794248229e-05,"preoligoBYo",0.0375209689733356
"Tmem200b",-3.59581332570384,3.22022872935437,33.1050609907975,8.73111636097507e-09,2.75940696076931e-05,"preoligoBYo",0.0827089162370302
"Mmp15",-3.81110140543108,5.84735890326142,30.3742186840808,3.5623139309656e-08,9.851133886844e-05,"preoligoBYo",0.071243321753438
"Galnt3",-4.16044314752717,1.72901039303207,28.452873451062,9.60071694756434e-08,0.000235996290034407,"preoligoBYo",0.0559218869665768
"Lox",-3.5133052945501,1.51168882974137,27.9831479590354,1.22376553083176e-07,0.000270733648385911,"preoligoBYo",0.0875769310968809
"Gm36325",-4.30876111349553,1.43595026288969,27.3488031917816,1.69869547576548e-07,0.000341638545548726,"preoligoBYo",0.050458421547254
"Wnt10a",-4.07415583103071,1.45825029104799,27.1116093520731,1.92041199488459e-07,0.000354043954690265,"preoligoBYo",0.0593686109517219
"Col1a1",-4.48810615605624,2.95107211091376,26.6260841271794,2.46887971105661e-07,0.000420146352674656,"preoligoBYo",0.0445600247414565
"Cp",-3.39718384937109,1.97810596557187,26.1945608716728,3.08690778705065e-07,0.000487797578378011,"preoligoBYo",0.0949173840768427
"Fam180a",-4.16902146521565,1.41164827137322,25.7415292715578,3.9033646668168e-07,0.000575694243493253,"preoligoBYo",0.0555903599858088
"Plpp4",-3.4803599179789,1.50202628697734,24.8055360632292,6.34150762384712e-07,0.000847248377686023,"preoligoBYo",0.0895998471891521
"Sdr42e1",-2.53274566143853,2.51486519916792,24.7548374410675,6.51051955912959e-07,0.000847248377686023,"preoligoBYo",0.172809488416571
"Lnx1",-3.53491268197917,1.77133981768768,24.524494045675,7.33711624196582e-07,0.000901772347894499,"preoligoBYo",0.0862750561614727
"6330420H09Rik",-5.23694941597476,1.37620633852165,23.7159827565176,1.11651448458158e-06,0.00130003420749464,"preoligoBYo",0.0265168016487361
"Megf11",-3.3842275243687,1.62088030505384,22.6256665628825,1.96837391426407e-06,0.00211934306065282,"preoligoBYo",0.0957736420643538
"Shc4",-3.92586738838645,1.96545561848711,22.54777786896,2.04981499096232e-06,0.00211934306065282,"preoligoBYo",0.0657954947715577
"Calcrl",-3.15121777944117,2.58462964966375,22.4944102777331,2.10755988493252e-06,0.00211934306065282,"preoligoBYo",0.112561254716238
"5330416C01Rik",-4.4626595238896,1.92829176960973,22.0401184484013,2.67010741833079e-06,0.00256829506155356,"preoligoBYo",0.0453529585326798
"Pter",-2.96542152703313,2.0408410745058,21.7251514853067,3.14638919382705e-06,0.00290031533895982,"preoligoBYo",0.128032188933444
