"","Gene","Category"
"1","ACAA2","macrophagesBYo"
"2","ACACA","macrophagesBYo"
"3","ACAP3","macrophagesBYo"
"4","ACKR3","macrophagesBYo"
"5","ACLY","macrophagesBYo"
"6","ACY3","macrophagesBYo"
"7","ADAMTSL5","macrophagesBYo"
"8","ADAP1","macrophagesBYo"
"9","ADD3","macrophagesBYo"
"10","ADIPOR2","macrophagesBYo"
"11","ADORA2A","macrophagesBYo"
"12","ADORA2B","macrophagesBYo"
"13","ADSS1","macrophagesBYo"
"14","AGTRAP","macrophagesBYo"
"15","AHCY","macrophagesBYo"
"16","AHNAK","macrophagesBYo"
"17","AIDA","macrophagesBYo"
"18","AIFM2","macrophagesBYo"
"19","ALDH1A2","macrophagesBYo"
"20","ALDH2","macrophagesBYo"
"21","ALOX15","macrophagesBYo"
"22","ALOX5","macrophagesBYo"
"23","AMIGO2","macrophagesBYo"
"24","ANGPTL4","macrophagesBYo"
"25","ANP32B","macrophagesBYo"
"26","ANXA1","macrophagesBYo"
"27","ANXA2","macrophagesBYo"
"28","ANXA6","macrophagesBYo"
"29","APLP2","macrophagesBYo"
"30","APOC1","macrophagesBYo"
"31","APOE","macrophagesBYo"
"32","APP","macrophagesBYo"
"33","ARG1","macrophagesBYo"
"34","ARHGAP29","macrophagesBYo"
"35","ARHGDIB","macrophagesBYo"
"36","ARHGEF39","macrophagesBYo"
"37","ARHGEF5","macrophagesBYo"
"38","ASF1B","macrophagesBYo"
"39","ASPA","macrophagesBYo"
"40","ATP1A1","macrophagesBYo"
"41","ATP1A3","macrophagesBYo"
"42","ATP2A3","macrophagesBYo"
"43","AURKA","macrophagesBYo"
"44","AURKB","macrophagesBYo"
"45","AVPI1","macrophagesBYo"
"46","B4GALT5","macrophagesBYo"
"47","BAIAP2","macrophagesBYo"
"48","BCAM","macrophagesBYo"
"49","BHLHE40","macrophagesBYo"
"50","BIRC5","macrophagesBYo"
"51","BST1","macrophagesBYo"
"52","C3","macrophagesBYo"
"53","C4B","macrophagesBYo"
"54","C4B","macrophagesBYo"
"55","CALML4","macrophagesBYo"
"56","CAPG","macrophagesBYo"
"57","CAPN1","macrophagesBYo"
"58","CAPN2","macrophagesBYo"
"59","CAPN5","macrophagesBYo"
"60","CAPNS1","macrophagesBYo"
"61","CCL24","macrophagesBYo"
"62","CCL15-CCL14","macrophagesBYo"
"63","CCM2L","macrophagesBYo"
"64","CCNA2","macrophagesBYo"
"65","CCNB1","macrophagesBYo"
"66","CCR1","macrophagesBYo"
"67","CD163","macrophagesBYo"
"68","CD19","macrophagesBYo"
"69","CD2","macrophagesBYo"
"70","CD300LB","macrophagesBYo"
"71","CD300LG","macrophagesBYo"
"72","CD36","macrophagesBYo"
"73","CD38","macrophagesBYo"
"74","CD40","macrophagesBYo"
"75","CD44","macrophagesBYo"
"76","CD5L","macrophagesBYo"
"77","CD79A","macrophagesBYo"
"78","CDC25B","macrophagesBYo"
"79","CDC42EP2","macrophagesBYo"
"80","CDC42EP4","macrophagesBYo"
"81","CDCA3","macrophagesBYo"
"82","CDCA5","macrophagesBYo"
"83","CDCA8","macrophagesBYo"
"84","CDK1","macrophagesBYo"
"85","CDKN1A","macrophagesBYo"
"86","CDKN2B","macrophagesBYo"
"87","CDKN2C","macrophagesBYo"
"88","CDKN3","macrophagesBYo"
"89","CEBPB","macrophagesBYo"
"90","CENPA","macrophagesBYo"
"91","CENPW","macrophagesBYo"
"92","CFB","macrophagesBYo"
"93","CFP","macrophagesBYo"
"94","CGNL1","macrophagesBYo"
"95","CHPF","macrophagesBYo"
"96","CKAP2","macrophagesBYo"
"97","CKS1B","macrophagesBYo"
"98","CLDN10","macrophagesBYo"
"99","CLEC10A","macrophagesBYo"
"100","CLEC4A","macrophagesBYo"
"101","CLEC4D","macrophagesBYo"
"102","CLEC4E","macrophagesBYo"
"103","CMA1","macrophagesBYo"
"104","COLCA2","macrophagesBYo"
"105","CORO1C","macrophagesBYo"
"106","COTL1","macrophagesBYo"
"107","CRIP1","macrophagesBYo"
"108","CSF2RA","macrophagesBYo"
"109","CXCL12","macrophagesBYo"
"110","CXCL13","macrophagesBYo"
"111","CXCL14","macrophagesBYo"
"112","CYB5R3","macrophagesBYo"
"113","CYBB","macrophagesBYo"
"114","CYP26A1","macrophagesBYo"
"115","CYP2E1","macrophagesBYo"
"116","CYTIP","macrophagesBYo"
"117","DAPK1","macrophagesBYo"
"118","DBI","macrophagesBYo"
