"","GSE33000","GSE26927","GSE108000","GSE43490","GSE20292","GSE20164","GSE20333"
"A2M",1.02311520997185,11.3525187063805,0.977619294880588,7.31474297502073,11.1838981217507,10.0805186926398,10.1741524704225
"A4GALT",1.26088939670744,6.35024677578029,0.864242901802115,5.02958263862791,6.69709339203836,4.44125537103127,4.47345512185557
"A4GNT",0.991426912334755,5.65468261897791,1.04139000650816,7.31474297502073,6.58009120808885,5.93593331440536,6.30586707494604
"AAAS",1.08832919177337,6.63613732483835,0.962020924080133,7.43823710142222,7.98518308068631,5.23689393563057,4.0966676761169
"AADAC",1.05063575966977,3.66007036862981,0.454850194685017,7.31474297502073,5.99050823678291,3.80029592285316,3.32528409657278
"AAMP",1.13389739907978,8.98215575118382,0.81331414181937,7.31474297502073,8.49401909925905,7.29112767476146,7.12706193087449
"AARS",0.945361701185561,12.87525034442,0.934613760940809,7.27466795798899,9.66935411044866,9.74296603270865,9.15838324700762
"AASDHPPT",0.968369075953547,9.5017021347813,1.03687974413644,6.27539996576467,8.59836205208227,6.05634605929087,8.44760924387612
"AASS",0.923192610565929,6.84253490920259,1.04649845418707,5.6415498508202,5.60235646678897,3.08391060347582,3.50163070794273
"AATF",1.01854907446401,9.26479446512434,1.14138350600145,8.21633510194619,8.80913260446138,7.2413323527845,7.60318066955392
"ABAT",0.855807898817679,9.44738474270404,0.939470293896646,11.2059294468782,7.35611715836665,6.2157333891227,6.07762636982775
"ABCA1",1.07776738949146,10.8858627332578,1.35627695704011,6.84926061935364,10.3147459630312,7.04813731188708,7.32729391777203
"ABCA3",1.02400871535628,10.6694214713072,0.79620501311716,9.75764245520487,8.49845067230276,7.01137608635879,7.31779723015424
"ABCA4",1.01319557903084,4.01794233442546,0.988814406560119,7.31474297502073,7.22744715439233,4.3523473315717,4.40454455796625
"ABCA7",1.05250877031044,6.19624485144926,0.802376984062764,7.31474297502073,6.52222740829498,5.42492044762723,5.86202623685583
"ABCA8",0.917588592079498,9.4575271140773,1.17662584399965,7.31474297502073,9.51137185077832,8.85671939875193,8.63374671021746
"ABCB1",0.994442232561161,9.16533800754405,1.10811930420398,6.22479638052628,6.79729910603565,6.15291462862802,6.18663109323015
"ABCB11",0.95130075066031,3.96730615291538,0.826858029717127,7.31474297502073,6.52299918724979,4.24959548600132,2.86903634797076
"ABCB4",1.06674120811692,4.57668241686522,0.493981511463824,7.31474297502073,5.96152768920012,3.50080885387267,3.10621620747783
"ABCB6",1.06345875670873,8.64861191654519,0.760118489962253,7.69186282305455,5.88183693264438,6.20158592788839,6.23674312808936
"ABCB7",1.0074210751691,9.17544697091114,1.27728740490028,7.019436671364,7.11172223094369,5.61531037637711,5.8318481035688
"ABCB8",1.05790268395581,6.32412916259631,1.02865416083373,4.07709633103478,6.22284495012207,5.58975208011737,2.64073586046766
"ABCB9",1.0574384175512,4.10805881598636,0.877452671012359,7.31474297502073,6.51909580814493,5.04161943157202,6.24304032546624
"ABCC1",0.941271121994952,4.41505927139019,1.08112824585038,7.31474297502073,6.09851330695676,4.80962211928258,6.84841461180517
"ABCC2",1.00960337668146,5.42728343673039,0.612979560129839,7.31474297502073,6.76824079904053,3.88333873143411,2.482336429433
"ABCC3",1.00220671119334,5.36544786695785,0.902939095047019,7.31474297502073,7.32024806756076,3.53220642177584,2.96109861881525
"ABCC4",0.980758968838179,7.54420689869095,1.20447827638054,7.31474297502073,5.83523347418286,4.82730125349684,5.16218672559319
"ABCC5",0.94805257219134,10.2049073369599,0.748145084222967,9.16758421541016,9.2680011704412,8.06772185724557,8.35625530304237
"ABCC6",0.978942217600824,4.44567145788422,1.03031466056586,3.79577094718278,7.20316823223327,2.69110662295709,6.25584359390594
"ABCC8",1.02822396007144,9.47377019903093,0.631235944544463,8.80404012914309,8.06359531715991,2.84197028071793,4.60150454559101
"ABCC9",0.926548200015401,5.58793208259648,1.34542280405928,7.31474297502073,6.49973452431078,4.41673332273364,3.55013096367485
"ABCD1",1.12920870561059,4.95713613642321,0.957459697120245,3.93250405364488,8.37772122187397,6.41705384805175,5.62885550968581
"ABCD3",0.962908281228386,8.05649327792339,1.02685076169446,7.31474297502073,9.37180728709787,7.72063413300089,7.86148462335086
"ABCD4",1.02390328642799,6.2978106403627,1.05725661772268,8.0976685532309,7.11589176626813,5.8987878183125,6.19185718302675
"ABCE1",1.09007564270557,9.25101052823216,1.05795953240342,6.09933030420443,6.55438428911192,6.70406914811048,6.95244750935749
"ABCF1",0.972067576307091,10.6974777292492,1.01120754020175,7.91194819590734,8.91848804620226,7.53433817517615,7.84510871936428
"ABCF2",0.936986877515775,6.95621452914818,1.02213377569177,4.66093025168271,7.75686249455306,5.59362217039087,6.83238871752893
"ABCG1",1.05887160002915,9.12435915648305,1.09557274171122,7.57547925409163,6.72490507897351,6.5195484525601,5.74782341037392
"ABCG2",0.935836502819867,7.56185677263842,1.05955339462174,7.31474297502073,9.85127162344207,7.9190312271567,8.16732371078963
"ABCG4",1.07843117109573,7.81164842301606,0.53898033719353,7.97084427017064,7.14337311653596,6.03839754436271,6.21938830166153
"ABCG5",1.11270940259314,4.9019653668339,0.818753659331625,7.31474297502073,5.88914558667061,2.77660278383808,3.78537893136069
"ABHD2",1.02789429045475,5.44534060475153,0.735919260802327,5.93511666929913,7.023684546916,6.42490618405075,6.28747652639526
"ABI1",0.990402963723158,5.45581686027963,1.10152994715056,9.0861388939346,7.71185489424074,6.55089411046186,6.75534709651536
"ABI2",0.962330084674016,8.31595276194965,0.962627735458426,7.2527112926482,8.33260010054815,5.10133372906397,5.58740123910577
"ABL1",1.14160946662532,5.08030635086702,1.00042533853537,8.23288516481761,8.54808899334607,8.06549733426928,8.31784705449179
"ABL2",1.03580346935485,4.46076535789696,1.06065480657818,6.63888702527274,7.04548063995352,6.12510713905766,5.15074324971682
"ABLIM1",1.06208677964953,4.50016631679215,1.03090739813435,11.8632551526955,9.84636875273751,9.33617637632798,9.46234928924158
"ACAA1",1.06543313581709,9.95866838442286,0.978015452410228,7.31474297502073,8.74566765650701,7.3152415121224,8.0034636789575
"ACAA2",1.0626221941,9.41833112241883,0.978184874258267,7.58271802129101,6.8849496489871,4.81132357541725,7.26715300911922
"ACACA",0.912964079423749,10.6383284954548,0.92190929280988,7.31474297502073,9.7095799001082,3.34713016279802,8.06655698908471
"ACACB",1.07268865061934,9.81235337559525,1.06282754475397,4.49187911950259,8.8461630597416,7.35079878911238,3.2879297058331
"ACAD8",0.934219124424315,6.6812471726746,1.02505691238704,6.05172676450604,6.24674644827241,6.6425379417063,6.08032453524414
"ACADL",1.07992088355682,5.63581366946934,1.14297216652612,7.31474297502073,5.67740272973935,4.18771090488999,4.83885538524692
"ACADM",0.952469085298566,10.2758548776332,1.22547412571726,6.90506375273331,8.30984690762378,7.12318620710927,7.40244579259703
