"","cortex_brain","substantia_nigra_brain","brain"
"A2M",1.30545279707551,10.5406348209568,4.20650903086159
"A4GALT",1.40185249842985,5.70687407955953,2.72950511892852
"A4GNT",1.12367241803051,6.31474772811807,2.60350468033424
"AAAS",1.24253167326256,6.69713019209853,2.77836492175735
"AADAC",1.12522575653597,5.01793185576232,1.41268320791905
"AAMP",1.34492405518149,8.10628199812839,3.57594186405078
"AARS",1.27834451051912,9.98440389553812,4.96139320692981
"AASDHPPT",1.20576230322077,7.98669428367924,4.01594362560248
"AASS",1.08838852395538,5.39246022584484,2.81359970544103
"AATF",1.24650622649991,8.54121112614995,3.74490599803578
"ABAT",1.09118232487034,8.12374039661252,3.85177005418626
"ABCA1",1.35157093312697,9.28146330777388,4.20083763471137
"ABCA3",1.29983804921136,8.7381462760309,4.18966391873205
"ABCA4",1.08392264516026,5.55853740001164,2.2814084668806
"ABCA7",1.19368847929347,6.27594320479927,2.69925696629073
"ABCA8",1.16227987373159,9.19543720029682,3.52305931964072
"ABCB1",1.21643239319536,7.1720571597479,3.78269683217613
"ABCB11",1.03412876324741,5.16904361809138,1.91468546411518
"ABCB4",1.16888853795895,5.10618374219943,1.79324527914162
"ABCB6",1.27546694878021,6.87585765546179,3.48221209619846
"ABCB7",1.23450897261109,7.40681305554314,3.66487977597934
"ABCB8",1.20557242503811,5.30391275217199,2.78584857188859
"ABCB9",1.145506465634,5.71017372189927,2.0753356987802
"ABCC1",1.03410774141409,5.828197917388,2.22670286326249
"ABCC2",1.13719683696399,5.485664764967,2.21599885626512
"ABCC3",1.10936836446678,5.84227179353803,2.35358855515766
"ABCC4",1.16000586765462,6.39829435827416,3.17011844701972
"ABCC5",1.21318758311937,9.05696999215724,4.01706492564116
"ABCC6",1.07400497779558,5.24672214405961,2.19131259226707
"ABCC8",1.28001976247359,6.97572639778357,3.88572226406441
"ABCC9",1.05898275009156,5.67773978745906,2.76519760089448
"ABCD1",1.22674805612716,6.33548772992657,2.17389055202764
"ABCD3",1.16135848010649,8.37029630567315,3.25454009772195
"ABCD4",1.17835936356083,6.6821781919758,2.85842397909462
"ABCE1",1.31670231645457,7.2689876719969,3.74306221545613
"ABCF1",1.24829393489741,8.80844792374947,4.25882969793191
"ABCF2",1.10006653098219,6.6175417328277,3.0988916153429
"ABCG1",1.28476928158306,7.46131450199484,3.51899379136507
"ABCG2",1.11703900861003,8.46827077228529,3.16227514025713
"ABCG4",1.26295241679485,7.02369649716521,3.18701695977756
"ABCG5",1.21665208338873,5.07207314743624,2.30951318282772
