"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","macrophage_peri_LPS_thio_7hrs","36/707",3.28272631977177e-09,3.1514172669809e-07,0,0,3.03996284489856,59.3844325471067,"CD86;CEBPB;IGSF6;CTSZ;PTAFR;PLEK;CAPG;SQRDL;TANK;TNF;CSF2RA;STX11;GNA15;GPNMB;CASP4;SLAMF8;LGALS9;SLC15A3;TRIM21;IL13RA1;GADD45B;RIPK2;IFNGR2;IL18;PLAUR;CYBB;NMI;TNFRSF1B;PSMB8;PSMB9;RAB32;NPC2;TLR7;IRF5;CD69;MYD88",36
"2","macrophage_bone_marrow_6hr_LPS","36/730",7.57316582634715e-09,3.63511959664663e-07,0,0,2.94418319362094,55.05226476387,"CEBPB;CSF3R;ITGAM;EBI3;PLEK;FPR1;AOAH;ACVR1B;TANK;PSTPIP2;CASP4;CASP1;LGALS9;CD14;CCR5;SLC15A3;TRIM21;CTSC;LYN;MSR1;IFNGR2;IL18;CYBB;IRAK3;PILRA;LILRB3;TNFRSF1B;APBB1IP;HCK;ELF4;TLR8;HCLS1;LCP2;LCP1;MYD88;LIMS1",36
"3","macrophage_peri_LPS_thio_0hrs","19/353",8.83018748050201e-06,0.000282565999376064,0,0,3.21339478246163,37.3953493578662,"CCR1;CD84;ANXA1;IL10RB;SLC11A1;IL10RA;ITGB2;CYBA;TREM2;TCIRG1;CSF2RA;LAT2;SOAT1;GPNMB;NPC2;NINJ1;MAN1C1;HPSE;CD68",19
"4","macrophage_peri_LPS_thio_1hrs","25/598",2.82977764319296e-05,0.000679146634366311,0,0,2.49588179503819,26.138689481635,"CSTB;CD84;CEBPB;IGSF6;CD151;ITGB2;PLEK;TNFAIP3;TCIRG1;TANK;TNF;CSF2RA;CTSS;ZFP36;GPNMB;RGS1;GADD45B;IL10RB;SLC11A1;IFNGR2;PLAUR;CYBA;SOAT1;NPC2;REL",25
"5","macrophage_bone_marrow_24h_LPS","23/551",6.06795357312754e-05,0.00116504708604049,0,0,2.49207682097679,24.1978268284091,"MSR1;CEBPB;FCER1G;ITGAM;GADD45B;ACSL1;SLC11A1;IFNGR2;KCNK13;EBI3;CYBB;PILRA;AOAH;LILRB3;BST2;APBB1IP;PROCR;MAFB;NINJ1;HMOX1;SEC61B;CCR5;PLTP",23
"6","macrophage_bone_marrow_2hr_LPS","17/365",0.00015525694386948,0.00248411110191169,0,0,2.780617460642,24.3872083237402,"C1QB;PTGER4;CDKN1A;ANXA1;GADD45B;RIPK2;KCNK13;C5AR1;EMP3;ARRB2;TANK;NINJ1;C3AR1;REL;CD14;CCR5;CTSC",17
"7","mast_cells","21/515",0.000174669053712622,0.00239546130805882,0,0,2.43442979278365,21.0641898180939,"STAT5A;IFITM1;IL10RA;GPR65;LAPTM5;SLA;CST7;PLA2G7;TGFBR1;LAT2;PSTPIP2;ELF4;INPP5D;ALOX5;MKNK1;UCP2;TBXAS1;BTK;RAC2;LCP2;CD69",21
"8","follicular_B-cells","21/603",0.00134884837659802,0.0161861805191762,0,0,2.07915645652335,13.7401139777919,"CD74;GIT2;CSNK1G3;ST6GAL1;BTG2;RGS19;CD180;LY86;PTEN;CXCR4;IL16;WDR44;ARHGAP4;TLR1;SELL;ELF4;STK17B;PLCG2;BLNK;CD37;PTPN6",21
"9","microglia","6/90",0.0040450116112676,0.0431467905201877,0,0,3.98009950248756,21.9314263003076,"C1QB;C1QA;C3AR1;FPR1;CTSC;VAV1",6
"10","dendritic_plasmacytoid_B220+","9/214",0.0102676854928172,0.098569780731045,0,0,2.51081043381225,11.4963824289381,"CD4;CLEC10A;KYNU;MKNK1;RPS6KA1;RNASE6;ST8SIA4;TLR7;RUNX2",9
"11","macrophage_bone_marrow_0hr","7/180",0.0323117248137292,0.281993234738,0,0,2.32172470978441,7.96891403683061,"C1QB;CSF1R;KCNK13;C5AR1;C3AR1;LPL;ARRB2",7
"12","spleen","4/100",0.0873453612770181,0.698762890216145,0,0,2.38805970149254,5.82181575839115,"CD74;GIT2;ST6GAL1;ARHGAP4",4
"13","mast_cells_IgE+antigen_6hr","5/146",0.0992169124305279,0.732678737948513,0,0,2.04457166223676,4.7238740360086,"PLSCR1;ADORA3;IL10RA;SQRDL;PDCD1LG2",5
"14","mast_cells_IgE+antigen_1hr","7/265",0.158193796163536,1,0,0,1.57702055758941,2.90792251804244,"CDKN1A;PLSCR1;INPP5D;ADORA3;PDCD1LG2;CD69;CD33",7
"15","RAW_264_7","6/222",0.169949735502186,1,0,0,1.61355385235982,2.85962494420082,"CAP1;MSR1;CSF1R;CLEC5A;MYO7A;IL13RA1",6
"16","lymph_nodes","3/90",0.191687543228938,1,0,0,1.99004975124378,3.28734052057695,"CD74;CD4;FLT4",3
"17","dendritic_cells_lymphoid_CD8a+","4/142",0.21521630643032,1,0,0,1.68173218414967,2.58332845102387,"CD86;TSC22D1;UCP2;PSMB8",4
"18","NK_cells","14/669",0.233646519767309,1,0,0,1.2493585882248,1.81649980324459,"PTGER4;GIT2;SELPLG;NKG7;AOAH;PIK3CG;WDR44;APBB1IP;LAT2;IL18RAP;PTPRC;SELL;ARSB;CCR2",14
"19","ovary","4/153",0.25472765041696,1,0,0,1.56082333430885,2.13452009312313,"SOAT1;TSC22D1;STC1;AEBP1",4
"20","intestine_small","10/466",0.256578645468936,1,0,0,1.28114790852604,1.74277118871464,"PYCARD;SULT1B1;ST14;MGAM;SLC7A7;SPINT1;MVP;MGST2;S100A10;IL13RA1",10
"21","bone_marrow","9/413",0.257566676117041,1,0,0,1.30100104802862,1.76477755110802,"NFE2;CD163;CSF3R;UCP2;RAB27A;CXCR4;S100A9;S100A8;CCR2",9
"22","bone","4/157",0.269455063324953,1,0,0,1.52105713470862,1.99464381548841,"NFE2;CD163;S100A9;S100A8",4
"23","osteoclasts","3/110",0.280286468031267,1,0,0,1.62822252374491,2.07100640224387,"GPNMB;TCIRG1;ARSB",3
"24","Baf3","9/440",0.318536612656982,1,0,0,1.22116689280868,1.39703673196946,"LYL1;IFITM1;NFIL3;RPN1;PIM1;SAMSN1;DEF6;PIK3CG;CCR2",9
"25","dendritic_cells_myeloid_CD8a-","4/188",0.38652559640498,1,0,0,1.2702445220705,1.20744005970489,"BTG2;TSC22D1;KYNU;CCR2",4
"26","stomach","5/249",0.404946223632489,1,0,0,1.19882515135168,1.08373913786027,"CEACAM1;KCNQ1;IL18;MGST2;SQRDL",5
"27","uterus","3/141",0.421389996535298,1,0,0,1.2702445220705,1.09774089112493,"C3;WNT5A;AEBP1",3
"28","adipose_white","4/199",0.4279628998647,1,0,0,1.20003000075002,1.01848798585957,"CFD;ST6GAL1;ADAM28;SLC1A5",4
"29","liver","16/928",0.489198394754521,1,0,0,1.02933607822954,0.735962075700485,"CEBPA;ACSL1;ARG1;IL10RA;AQP9;NR1H3;PYGL;C3;KYNU;APOC2;APOC1;VSIG4;PCK1;ALDH8A1;HAMP;FBP1",16
"30","C2C12","3/167",0.532284051618147,1,0,0,1.07248190186791,0.676283493271821,"CAP1;SEMA3A;IL13RA1",3
"31","T-cells_foxP3+","2/112",0.562217257852043,1,0,0,1.06609808102345,0.613930622583436,"PTGER4;STC1",2
"32","osteoblast_day5","3/175",0.563962536663093,1,0,0,1.02345415778252,0.586201232286387,"AEBP1;TIMP1;THBS1",3
"33","granulocytes_mac1+gr1+","9/557",0.590720094033096,1,0,0,0.964656073313861,0.507807485872034,"CCR1;ANXA1;IL1R2;MKNK1;NINJ1;IL16;CD33;STX11;CCR2",9
"34","adipose_brown","7/456",0.644792443445629,1,0,0,0.916470280178057,0.402171726834642,"CFD;CEBPA;ACSL1;PPARG;PYGL;SLC1A5;PCK1",7
"35","mast_cells_IgE","9/598",0.67438270380946,1,0,0,0.898517446213747,0.353977704253832,"LAT2;PLSCR1;TSC22D1;ACSL1;ALOX5;AQP9;STC1;TGFBR1;LIMS1",9
