"","HuAgeMSNDsplit_00","HuAgeMSNDsplit_01","HuAgeMSNDsplit_02","HuAgeMSNDsplit_03","HuAgeMSNDsplit_04","HuAgeMSNDsplit_05","HuAgeMSNDsplit_06","HuAgeMSNDsplit_07","HuAgeMSNDsplit_08","HuAgeMSNDsplit_09","HuAgeMSNDsplit_10","HuAgeMSNDsplit_11","HuAgeMSNDsplit_12","HuAgeMSNDsplit_13","HuAgeMSNDsplit_14","HuAgeMSNDsplit_15","HuAgeMSNDsplit_16","HuAgeMSNDsplit_17","HuAgeMSNDsplit_18","HuAgeMSNDsplit_19","HuAgeMSNDsplit_20","HuAgeMSNDsplit_21","HuAgeMSNDsplit_22"
"1","TRIP11","GOT1","MAPKAPK2","SULT4A1","LCP1","TMC6","GJB1","TCEB1","FMOD","PEX14","GJA1","MYO18A","SYN2","CTDSP2","PECAM1","PAK1","CHORDC1","ARL6IP5","DDC","RPS15A","SLC1A3","PARK7","SERPINA3"
"2","SSTR2","DYNC1I1","IL17RB","SYNGR3","FCGR2A","MAP3K11","MOG","UQCRFS1","DSP","ARHGDIA","TP53BP2","LTBP3","SYNJ1","FYCO1","FLI1","NEUROD6","BAG3","TOP1","DLK1","RPL19","SLC4A4","PSMB7","CD44"
"3","KPNA5","COPS4","PRKD3","TAGLN3","CYBA","ERBB3","FA2H","COPS5","SLC6A20","RAB3A","PLSCR4","TRIM28","PITPNB","SMAD4","GNG11","CAMK4","SPR","ATP6V1D","SLC6A3","RPL23","SLC15A2","FKBP2","SERPINA5"
"4","NR3C1","GNG3","INPPL1","ACOT7","LAPTM5","CDKN1C","EFS","DDX1","SERPIND1","CFL1","SLC1A3","FAM3A","HIVEP2","HDAC1","CLDN5","CA10","DNAJA1","EPRS","KCNJ6","RPS4X","NTSR2","CUTA","TPST1"
"5","MATN1","MOAP1","STK38","AMPH","ITGB2","SLC12A9","PAQR4","PSMD10","CRABP1","USP5","BBOX1","GPS2","DLG3","BAZ2B","PODXL","CCKBR","DNAJB1","TMEM5","GBE1","RPS14","CLDN10","GPX1","GBP2"
"6","SCN8A","CMAS","ZNF217","NEFL","C1QA","SIRT2","ELOVL1","ATP5O","PCOLCE","MAPRE3","PRDX6","MAN2C1","TOMM20","PELI1","ICAM2","HSPB3","AHSA1","CPNE3","CLSTN2","PFDN5","GPC5","TUFM","CHI3L1"
"7","ZFPM2","NDUFAB1","FBXL7","INA","TYROBP","SLCO3A1","FEZ1","UQCRH","F10","SMARCB1","TRPS1","APLP1","SLC4A10","MYH9","PRKCH","VGF","SERPINH1","HADHA","SLC18A2","RPL6","ALDH2","GUK1","CNN3"
"8","HUS1","MDH2","NFKB1","STMN2","LY86","SH3BP4","RNASE1","SLC25A5","PKP2","SUPT5H","DHRS3","PRKCSH","CDK5R1","LBR","FOXF2","SLC30A3","PLOD1","ATG12","EN1","RPL8","ATP1A2","RPL36AL","F3"
"9","CDC42EP3","COPS7A","RAF1","AP3B2","HCK","MYO9B","GAL3ST1","COX5A","SLC13A4","ATP6V0C","SOX9","CDK5RAP3","GDAP1","TRIP4","VWF","NRN1","HSPA1A","LYPLA1","FOXA1","RPS8","HEPH","ATP5A1","CHI3L2"
"10","XPC","PCMT1","ITGB5","SNX10","CD53","CYP27A1","ENPP2","SSBP1","FRZB","FKBP8","ABCA1","PTOV1","SCN8A","SIRT1","SLC2A1","FLRT1","FKBP4","PPIG","TH","RPL9","PPAP2B","TPI1","DTNA"
