PSID Gene Module kTotal kWithin kOut kDiff rank
SLC4A4 SLC4A4 HuAgeMSNDsplit_20 4.63121868045741 0.558647924679928 4.07257075577748 -3.51392283109755 1
NTSR2 NTSR2 HuAgeMSNDsplit_20 3.45951586559934 0.436107680338513 3.02340818526083 -2.58730050492231 2
GPC5 GPC5 HuAgeMSNDsplit_20 3.89377246611445 0.426370767165882 3.46740169894857 -3.04103093178269 3
ATP1A2 ATP1A2 HuAgeMSNDsplit_20 4.33887218813623 0.415455641674553 3.92341654646167 -3.50796090478712 4
PTPRZ1 PTPRZ1 HuAgeMSNDsplit_20 5.01659829454668 0.413202999333025 4.60339529521365 -4.19019229588063 5
CPE CPE HuAgeMSNDsplit_20 4.10005029729802 0.404975919531138 3.69507437776688 -3.29009845823575 6
GLUD1 GLUD1 HuAgeMSNDsplit_20 3.42245313665252 0.397236250842309 3.02521688581021 -2.6279806349679 7
CLDN10 CLDN10 HuAgeMSNDsplit_20 4.49839963701674 0.372121427307991 4.12627820970875 -3.75415678240075 8
APOE APOE HuAgeMSNDsplit_20 4.15616178127025 0.366953347069199 3.78920843420105 -3.42225508713185 9
FGFR3 FGFR3 HuAgeMSNDsplit_20 3.1830608142671 0.363418372709708 2.81964244155739 -2.45622406884768 10
SLC1A2 SLC1A2 HuAgeMSNDsplit_20 3.03562933404319 0.347166756706859 2.68846257733633 -2.34129582062948 11
PITPNC1 PITPNC1 HuAgeMSNDsplit_20 3.72902313703179 0.33950266568964 3.38952047134215 -3.05001780565251 12
ALDH2 ALDH2 HuAgeMSNDsplit_20 4.37174360609946 0.32959782135292 4.04214578474654 -3.71254796339362 13
EDNRB EDNRB HuAgeMSNDsplit_20 4.09775835276344 0.318207585166576 3.77955076759687 -3.46134318243029 14
MAPKAPK3 MAPKAPK3 HuAgeMSNDsplit_20 5.02196238330258 0.311762570782772 4.7101998125198 -4.39843724173703 15
GLI3 GLI3 HuAgeMSNDsplit_20 4.11328422150464 0.304918889359799 3.80836533214484 -3.50344644278504 16
ATP1B2 ATP1B2 HuAgeMSNDsplit_20 4.01641922319008 0.300716909088734 3.71570231410134 -3.41498540501261 17
GPR143 GPR143 HuAgeMSNDsplit_20 3.4349887236379 0.299757666105258 3.13523105753264 -2.83547339142738 18
PGM1 PGM1 HuAgeMSNDsplit_20 4.32308153643142 0.292742650578995 4.03033888585242 -3.73759623527343 19
NDRG2 NDRG2 HuAgeMSNDsplit_20 2.90364029493116 0.2813931406619 2.62224715426926 -2.34085401360736 20
ALDH4A1 ALDH4A1 HuAgeMSNDsplit_20 3.21909057426336 0.277348251974339 2.94174232228902 -2.66439407031468 21
SLC9A3R1 SLC9A3R1 HuAgeMSNDsplit_20 4.22969375535996 0.275950596677764 3.9537431586822 -3.67779256200444 22
C1orf61 C1orf61 HuAgeMSNDsplit_20 3.58359968287353 0.269810747323899 3.31378893554964 -3.04397818822574 23
SDC4 SDC4 HuAgeMSNDsplit_20 4.02455035279319 0.26603949637201 3.75851085642118 -3.49247136004917 24
SERPINE2 SERPINE2 HuAgeMSNDsplit_20 3.68986443548622 0.256188199351257 3.43367623613497 -3.17748803678371 25
RAB31 RAB31 HuAgeMSNDsplit_20 5.60696494509419 0.256064940620708 5.35090000447348 -5.09483506385278 26
HTRA1 HTRA1 HuAgeMSNDsplit_20 3.63894325251233 0.244166548713426 3.39477670379891 -3.15061015508548 27
