PSID Gene Module kTotal kWithin kOut kDiff rank
SULT4A1 SULT4A1 brown 17.9656169102637 10.0317239617512 7.93389294851258 2.09783101323858 1
SYNGR3 SYNGR3 brown 17.7192591802315 9.46360613487373 8.25565304535778 1.20795308951595 2
ACOT7 ACOT7 brown 23.1585984464268 9.28969956171709 13.8688988847097 -4.57919932299265 3
TAGLN3 TAGLN3 brown 18.2128410781051 8.4952527078384 9.71758837026665 -1.22233566242825 4
AMPH AMPH brown 19.0182779754032 8.43138345453417 10.586894520869 -2.15551106633483 5
STMN2 STMN2 brown 16.1242515195615 8.30317853433668 7.8210729852248 0.482105549111878 6
INA INA brown 13.4176990941409 7.96905935972444 5.44863973441647 2.52041962530797 7
NEFL NEFL brown 22.9337268673402 7.9322767979374 15.0014500694028 -7.06917327146536 8
HPRT1 HPRT1 brown 23.0466601092354 7.84462494611187 15.2020351631236 -7.3574102170117 9
DYNC1I1 DYNC1I1 brown 25.1859409189047 7.76782650915336 17.4181144097514 -9.650287900598 10
STXBP1 STXBP1 brown 14.563892530343 7.31405169818494 7.2498408321581 0.0642108660268406 11
CKMT1A CKMT1A brown 14.2148285958888 7.2707734790988 6.94405511679 0.326718362308803 12
SNX10 SNX10 brown 16.3715629708183 6.72278090432199 9.64878206649627 -2.92600116217428 13
ENO2 ENO2 brown 17.7090152484019 6.71263650407639 10.9963787443255 -4.2837422402491 14
CHGB CHGB brown 17.3749655744839 6.67722190721247 10.6977436672714 -4.02052176005892 15
VSNL1 VSNL1 brown 15.5326142904046 6.67311598130944 8.85949830909519 -2.18638232778574 16
GOT1 GOT1 brown 25.9899287478612 6.63521065819418 19.354718089667 -12.7195074314728 17
NAP1L2 NAP1L2 brown 15.4147888814981 6.47385446096396 8.94093442053418 -2.46707995957023 18
AP3B2 AP3B2 brown 15.7970482518682 6.40925550315529 9.38779274871291 -2.97853724555763 19
RGS7 RGS7 brown 17.1634764061598 6.23929048860912 10.9241859175507 -4.68489542894161 20
NELL2 NELL2 brown 16.7782921675474 6.16455608504837 10.613736082499 -4.44917999745064 21
GAP43 GAP43 brown 15.7780453654961 6.03182574956875 9.74621961592735 -3.7143938663586 22
CDK5 CDK5 brown 13.4406962359031 5.86599168844421 7.57470454745893 -1.70871285901472 23
DNM1 DNM1 brown 11.0567768239816 5.8279891251805 5.22878769880109 0.599201426379407 24
EEF1A2 EEF1A2 brown 11.3340413531347 5.5968452024899 5.73719615064479 -0.140350948154895 25
XK XK brown 12.1677981389081 5.42167776984233 6.74612036906581 -1.32444259922348 26
ABCG4 ABCG4 brown 11.0810956208638 5.37386895421048 5.70722666665336 -0.333357712442886 27
BSN BSN brown 10.7651173922258 5.31321290142794 5.45190449079788 -0.138691589369946 28
ACTL6B ACTL6B brown 14.5516466076774 5.20555163123701 9.34609497644043 -4.14054334520343 29
