"GeneName","StudyGSE20164","StudyGSE20292","StudyGSE26927","StudyGSE33000","StudyGSE20333","GenderM","DiseaseCON","DiseaseAD","DiseaseHD","DiseasePD","DiseaseMS","Age","Tissuecortex_brain","Tissuesubstantia_nigra_brain","p.value.StudyGSE20164","p.value.StudyGSE20292","p.value.StudyGSE26927","p.value.StudyGSE33000","p.value.StudyGSE20333","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseAD","p.value.DiseaseHD","p.value.DiseasePD","p.value.DiseaseMS","p.value.Age","p.value.Tissuecortex_brain","p.value.Tissuesubstantia_nigra_brain"
"TTR","0.0196698924602369","0.00217171448261566","0.0232119361541936","-0.0605355110670898","0.0280030590011941","0.0507545818257213","0.0577829535389794","-0.00790695166481657","-0.0750823835940238","-0.168678718574782","-0.169446576423778","-0.0132760943646863","-0.053838507904958","0.0200367983155615","0.58236640698796","0.951589327812087","0.516348301510689","0.0902950318372528","0.433634071894945","0.155672924958835","0.105944749203096","0.825057508355178","0.0355602920713592","2.03879138727318e-06","1.8287818998015e-06","0.710522921122194","0.132024711687038","0.575348869138905"
"HBB","0.0128656909270977","0.0220633601784576","0.0265279270333642","-0.0555153566496526","0.00785003785115442","-0.0150042773351843","0.113410992044887","-0.0896847549068367","-0.118227524938648","-0.301764680019105","-0.0142906751200777","-0.0502227561585628","-0.0544238681431201","0.0324861325630979","0.719086861978022","0.537324776890353","0.458252551791993","0.120387855027563","0.826296615048751","0.674870444751319","0.00146915423667495","0.0119970683972168","0.000910783200396758","5.71578562560416e-18","0.689509456834931","0.1600569419181","0.127867465149306","0.363666850715198"
"RNF17","0.000742712139180686","0.0449135734303267","0.050041316903846","-0.102067150676528","0.0251109397928741","0.0602601164689529","-0.0743476917062449","0.040499779983962","0.0799309418233056","0.340968296568596","0.179654201509548","0.0213551950513664","-0.0939942202428773","0.0683976736617606","0.983434903254093","0.209040759624324","0.161573727007945","0.00422580743929803","0.482619809817453","0.09177199780939","0.0374069193700468","0.257361594573457","0.0252160202356517","8.53834980579402e-23","4.11532141496554e-07","0.550467661594909","0.00845169984791133","0.0555791056909589"
"HSPA1A","0.00735524602349906","0.0447562028156444","0.0110030606445204","-0.0610249411634973","0.0109716903299761","-0.0352021256199107","-0.123629661593019","0.127413988835017","0.162145624841563","0.0180542970951601","0.38176517820779","0.0352802706847558","-0.0617555051261003","0.0435358375165326","0.837086917987176","0.210642211942139","0.758384101739896","0.0877173316229014","0.759051638031825","0.324922837190458","0.000521573232578548","0.000348244314143519","5.04128861387153e-06","0.613731015778405","1.32131506471977e-28","0.323849288681818","0.0839801984306207","0.223362400977279"
"GSTM1","0.0155490380105892","0.0335199409273286","0.0262910705419948","-0.0696249271432293","0.0201530211500397","-0.0299350873990475","0.0347722086640902","-0.0116736491114418","0.0400181726315363","-0.231610839877911","-0.16536352638947","-0.00933647542990652","-0.0644627962275999","0.0373848350924539","0.663776800507246","0.348591804668449","0.462277088140321","0.0513249613148103","0.573134308182992","0.402574207201121","0.33087027597963","0.74415822559396","0.263067907917188","5.23073093217487e-11","3.24178867381594e-06","0.794084882135235","0.0712383748736022","0.295805487895937"
"CRABP1","-0.000119792280513014","0.0236055922023441","0.0269801076077965","-0.0544386104375561","0.0136801829218948","-0.0287596110579107","-0.0728985894231357","0.150730157326936","0.0989738299412096","-0.152171932659207","0.0551211754631568","0.0109920564115807","-0.0491117239817992","0.0325045487380203","0.997328023589398","0.509257710171731","0.450624087548244","0.127764091978849","0.70212623918011","0.421310007709265","0.0412886839782389","2.25574420836231e-05","0.00554298621233456","1.87769431318844e-05","0.123048599228449","0.758618242957027","0.169515205584576","0.363394794506089"
"SLC13A4","0.0124823556294561","0.0301522097731275","0.0361313811379749","-0.0700024875033151","0.0170313686712181","-0.0111387685979843","-0.1040168117268","0.157734346793801","0.15863217684933","0.0933665078349709","-0.128616076080699","-0.0099176069586001","-0.0628237875607461","0.0487660311944916","0.727117916590306","0.399168881347535","0.312306368996443","0.0500722437908698","0.633966113655327","0.755498416639463","0.00354850295107869","9.10853834870047e-06","8.08569764272555e-06","0.00890168893715938","0.000305595803728008","0.781582975914685","0.0787481606382825","0.172541803599762"
"S100A8","0.0202448954066994","-0.0126840715433929","0.0217692647976714","-0.0297433661445368","-0.00706962473144901","-0.0137496823941632","-0.0958343807316572","0.0970313714143041","0.247662948972519","-0.131538450264738","0.302145702538786","-0.036211797300668","-0.0349021042004145","0.0102025609070047","0.571386556745257","0.722888078124624","0.542763758107093","0.405595547457476","0.843329770779018","0.700685704409237","0.00724725419044645","0.0065487205553322","2.01623464597605e-12","0.000221398626073913","5.17069180187596e-18","0.311229914873104","0.329065945825382","0.775473053122025"
"RGS1","0.0117156850341728","0.0427103848247746","0.02637720017522","-0.044663992226446","0.00973221066926747","0.0180333894450369","-0.0402063422257497","0.125732983362969","0.234592922441412","-0.511194526322962","-0.102076250857698","-0.0854201076860163","-0.0424971532905676","0.0244014317721682","0.74326931315342","0.23227158573041","0.460811347269748","0.211584681857692","0.785565467256974","0.614141745118006","0.260828095152653","0.000417259775375344","2.90802653531927e-11","2.04891849478227e-53","0.0042223912382443","0.0167422127561257","0.234613375267221","0.495079918138411"
"DSP","0.0148302843275111","0.0338346821566932","0.0274753529988414","-0.0734844330463286","0.0167100220925158","-0.0232552170373949","-0.0702377378170817","0.105965604200928","0.06960140472614","0.0490045206868632","0.0285813502401554","-0.0270502516519974","-0.0726578395618692","0.0533148264003223","0.67842873738639","0.344082073506826","0.442352076930631","0.0396801797373856","0.640380612779483","0.515566227914879","0.0493047133642189","0.00297150502356654","0.0514038658637723","0.170449507456627","0.424195218525649","0.449447194223604","0.0419654935651095","0.135831808496762"
