"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"HuAgeMSNDsplit_04","nscBYnpc_Walker_FC5___","User",1.01743768392739e-72
"HuAgeMSNDsplit_04","MicrogliByothers_Zhang_Cuffdiff2FCover20__","User",1.97005356239768e-72
"HuAgeMSNDsplit_14","endoBYoFC5__","User",5.43320903035588e-30
"HuAgeMSNDsplit_14","EndotheByothers_Zhang_Cuffdiff2FCover20__","User",1.07420313184236e-22
"HuAgeMSNDsplit_04","microgliaBYoFC5__","User",2.9060004139391e-21
"HuAgeMSNDsplit_20","astroBYoFC5__","User",1.48882697774146e-19
"HuAgeMSNDsplit_10","astroBYoFC5__","User",3.84886645220405e-17
"HuAgeMSNDsplit_03","neuronBYoFC5__","User",3.26386137573431e-16
"HuAgeMSNDsplit_20","AstroByothers_Zhang_Cuffdiff2FCover20__","User",3.37414241702073e-14
"HuAgeMSNDsplit_20","QSVZbyPSVZ_Morizur_FC5___","User",6.81178486015657e-12
"HuAgeMSNDsplit_08","PGBCbyQGBC_Aulestia_FC5___","User",8.26088876354335e-11
"HuAgeMSNDsplit_06","myeoligoBYoFC5__","User",3.30471206355368e-09
"HuAgeMSNDsplit_06","MyeOligoByothers_Zhang_Cuffdiff2FCover20__","User",8.38876199019698e-09
"HuAgeMSNDsplit_04","macrophagesBYoFC5__","User",7.77114097404798e-08
"HuAgeMSNDsplit_08","npcBYnsc_Walker_FC5___","User",2.49486594853685e-07
"HuAgeMSNDsplit_04","MonoByMicro_Zhang_Cuffdiff2FCover20__","User",4.3507336944599e-07
"HuAgeMSNDsplit_10","QSVZbyPSVZ_Morizur_FC5___","User",3.35165855516891e-06
"HuAgeMSNDsplit_04","monocytesBYoFC5__","User",7.38219729386467e-06
"HuAgeMSNDsplit_10","AstroByothers_Zhang_Cuffdiff2FCover20__","User",1.52744663044419e-05
"HuAgeMSNDsplit_07","PSVZbyQSVZ_Morizur_FC5___","User",2.59279533810368e-05
"HuAgeMSNDsplit_06","npcBYnsc_Walker_FC5___","User",0.00018000392739429
"HuAgeMSNDsplit_15","neuronBYoFC5__","User",0.000200157735323386
"HuAgeMSNDsplit_19","QGBObyPGBO_GSE114574_Tejero_FC5___","User",0.000288072835059892
"HuAgeMSNDsplit_15","NeuronByothers_Zhang_Cuffdiff2FCover20__","User",0.00055419608282988
"HuAgeMSNDsplit_08","QNSCbyPNSC_Ben_FC5___","User",0.0022493990780189
"HuAgeMSNDsplit_09","qnpBYtap_Mukherjee_FC5___","User",0.00230518236239479
"HuAgeMSNDsplit_20","MicroByMono_Zhang_Cuffdiff2FCover20__","User",0.00238678249765163
"HuAgeMSNDsplit_03","NeuronByothers_Zhang_Cuffdiff2FCover20__","User",0.00419545673216819
"HuAgeMSNDsplit_14","MicroByMacro_Zhang_Cuffdiff2FCover20__","User",0.0124544700694341
"HuAgeMSNDsplit_04","PGBCbyQGBC_Aulestia_FC5___","User",0.021335317931993
