"","InputCategories","UserDefinedCategories","Type","NumOverlap","Pvalues","CorrectedPvalues"
"1","black","ADbyCON_FC1.25__","User",0,1,1
"2","black","HDbyCON_FC1.25__","User",5,0.817652260929061,1
"3","black","MSbyCON_FC1.25__","User",2,0.998598312754964,1
"4","black","PDbyCON_FC1.25__","User",17,0.00477135632729931,0.419879356802339
"5","blue","ADbyCON_FC1.25__","User",95,2.29507754852964e-11,2.01966824270608e-09
"6","blue","HDbyCON_FC1.25__","User",2,1,1
"7","blue","MSbyCON_FC1.25__","User",13,1,1
"8","blue","PDbyCON_FC1.25__","User",8,1,1
"9","brown","ADbyCON_FC1.25__","User",1,0.999999999999703,1
"10","brown","HDbyCON_FC1.25__","User",23,0.848317168283804,1
"11","brown","MSbyCON_FC1.25__","User",36,0.426023701572756,1
"12","brown","PDbyCON_FC1.25__","User",94,1.87185119478567e-21,1.64722905141139e-19
"13","cyan","ADbyCON_FC1.25__","User",8,0.0192842407285952,1
"14","cyan","HDbyCON_FC1.25__","User",0,1,1
"15","cyan","MSbyCON_FC1.25__","User",2,0.937747130157756,1
"16","cyan","PDbyCON_FC1.25__","User",0,1,1
"17","darkgreen","ADbyCON_FC1.25__","User",9,2.94324746842307e-07,2.5900577722123e-05
"18","darkgreen","HDbyCON_FC1.25__","User",0,1,1
"19","darkgreen","MSbyCON_FC1.25__","User",0,1,1
"20","darkgreen","PDbyCON_FC1.25__","User",8,2.35240481240275e-05,0.00207011623491442
"21","darkred","ADbyCON_FC1.25__","User",1,0.723769751986282,1
"22","darkred","HDbyCON_FC1.25__","User",0,1,1
"23","darkred","MSbyCON_FC1.25__","User",2,0.49145106905772,1
"24","darkred","PDbyCON_FC1.25__","User",1,0.809873366834463,1
"25","green","ADbyCON_FC1.25__","User",3,0.998086716442295,1
"26","green","HDbyCON_FC1.25__","User",0,1,1
"27","green","MSbyCON_FC1.25__","User",16,0.239858487256559,1
"28","green","PDbyCON_FC1.25__","User",0,1,1
