"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"HuAgeMSNDsplit_12","HDbyCON_FC1.25__","User",8.42839582841901e-51
"HuAgeMSNDsplit_06","MSbyCON_FC1.25__","User",2.34928610195099e-31
"HuAgeMSNDsplit_04","ADbyCON_FC1.25__","User",3.05893293685272e-26
"HuAgeMSNDsplit_18","PDbyCON_FC1.25__","User",1.10474558877852e-24
"HuAgeMSNDsplit_15","HDbyCON_FC1.25__","User",1.66470524378416e-23
"HuAgeMSNDsplit_03","PDbyCON_FC1.25__","User",1.72210309920281e-19
"HuAgeMSNDsplit_08","ADbyCON_FC1.25__","User",4.23218151720339e-16
"HuAgeMSNDsplit_15","MSbyCON_FC1.25__","User",5.4363443528131e-12
"HuAgeMSNDsplit_02","ADbyCON_FC1.25__","User",2.11147134464727e-09
"HuAgeMSNDsplit_01","HDbyCON_FC1.25__","User",1.45274446810709e-05
"HuAgeMSNDsplit_22","ADbyCON_FC1.25__","User",2.70778767094923e-05
"HuAgeMSNDsplit_22","PDbyCON_FC1.25__","User",0.00216421242741053
"HuAgeMSNDsplit_16","ADbyCON_FC1.25__","User",0.00689487195479938
