"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"yellow","MSbyO_FC1.25__","User",8.25759850000254e-66
"lightgreen","PDbyO_FC1.25__","User",1.4517155637049e-24
"pink","ADbyO_FC1.25__","User",3.18736288264789e-23
"brown","PDbyO_FC1.25__","User",1.43772252210997e-21
"yellow","ADbyO_FC1.25__","User",5.65880542239775e-21
"darkgreen","MSbyO_FC1.25__","User",7.72401895974079e-20
"magenta","HDbyO_FC1.25__","User",5.62248651336049e-19
"purple","MSbyO_FC1.25__","User",4.57792539915877e-14
"yellow","HDbyO_FC1.25__","User",8.14733674263404e-10
"grey60","PDbyO_FC1.25__","User",6.51500382819316e-07
"lightcyan","MSbyO_FC1.25__","User",0.000718276774480604
"darkgreen","ADbyO_FC1.25__","User",0.0109269005476179
"darkgreen","PDbyO_FC1.25__","User",0.0182121293569337
"blue","HDbyO_FC1.25__","User",0.0449621480524418
