"","InputCategories","X","UserDefinedCategories","Type","NumOverlap","Pvalues","CorrectedPvalues","Freq"
"1","HuAgeMSNDsplit_00",1,"ADbyCON_FC1.25__","User",0,1,1,2
"2","HuAgeMSNDsplit_00",2,"HDbyCON_FC1.25__","User",0,1,1,2
"3","HuAgeMSNDsplit_00",3,"MSbyCON_FC1.25__","User",0,1,1,2
"4","HuAgeMSNDsplit_00",4,"PDbyCON_FC1.25__","User",0,1,1,2
"5","HuAgeMSNDsplit_01",5,"ADbyCON_FC1.25__","User",5,1,1,2141
"6","HuAgeMSNDsplit_01",6,"HDbyCON_FC1.25__","User",113,1.57907007402945e-07,1.45274446810709e-05,2141
"7","HuAgeMSNDsplit_01",7,"MSbyCON_FC1.25__","User",105,0.106329333035802,1,2141
"8","HuAgeMSNDsplit_01",8,"PDbyCON_FC1.25__","User",105,0.0856752112172339,1,2141
"9","HuAgeMSNDsplit_02",9,"ADbyCON_FC1.25__","User",95,2.29507754852964e-11,2.11147134464727e-09,1486
"10","HuAgeMSNDsplit_02",10,"HDbyCON_FC1.25__","User",2,1,1,1486
"11","HuAgeMSNDsplit_02",11,"MSbyCON_FC1.25__","User",13,1,1,1486
"12","HuAgeMSNDsplit_02",12,"PDbyCON_FC1.25__","User",8,1,1,1486
"13","HuAgeMSNDsplit_03",13,"ADbyCON_FC1.25__","User",1,0.999999999999703,1,783
"14","HuAgeMSNDsplit_03",14,"HDbyCON_FC1.25__","User",23,0.848317168283804,1,783
"15","HuAgeMSNDsplit_03",15,"MSbyCON_FC1.25__","User",36,0.426023701572756,1,783
"16","HuAgeMSNDsplit_03",16,"PDbyCON_FC1.25__","User",94,1.87185119478567e-21,1.72210309920281e-19,783
"17","HuAgeMSNDsplit_04",17,"ADbyCON_FC1.25__","User",60,3.3249271052747e-28,3.05893293685272e-26,335
"18","HuAgeMSNDsplit_04",18,"HDbyCON_FC1.25__","User",0,1,1,335
"19","HuAgeMSNDsplit_04",19,"MSbyCON_FC1.25__","User",1,0.999999819678077,1,335
"20","HuAgeMSNDsplit_04",20,"PDbyCON_FC1.25__","User",4,0.999824132713288,1,335
"21","HuAgeMSNDsplit_05",21,"ADbyCON_FC1.25__","User",3,0.998086716442295,1,297
"22","HuAgeMSNDsplit_05",22,"HDbyCON_FC1.25__","User",0,1,1,297
"23","HuAgeMSNDsplit_05",23,"MSbyCON_FC1.25__","User",16,0.239858487256559,1,297
"24","HuAgeMSNDsplit_05",24,"PDbyCON_FC1.25__","User",0,1,1,297
"25","HuAgeMSNDsplit_06",25,"ADbyCON_FC1.25__","User",0,1,1,245
"26","HuAgeMSNDsplit_06",26,"HDbyCON_FC1.25__","User",6,0.866858769930793,1,245
"27","HuAgeMSNDsplit_06",27,"MSbyCON_FC1.25__","User",64,2.55357184994673e-33,2.34928610195099e-31,245
"28","HuAgeMSNDsplit_06",28,"PDbyCON_FC1.25__","User",0,1,1,245
"29","HuAgeMSNDsplit_07",29,"ADbyCON_FC1.25__","User",0,1,1,194
"30","HuAgeMSNDsplit_07",30,"HDbyCON_FC1.25__","User",5,0.817652260929061,1,194
"31","HuAgeMSNDsplit_07",31,"MSbyCON_FC1.25__","User",2,0.998598312754964,1,194
"32","HuAgeMSNDsplit_07",32,"PDbyCON_FC1.25__","User",17,0.00477135632729931,0.438964782111536,194
"33","HuAgeMSNDsplit_08",33,"ADbyCON_FC1.25__","User",36,4.60019730130803e-18,4.23218151720339e-16,186
"34","HuAgeMSNDsplit_08",34,"HDbyCON_FC1.25__","User",0,1,1,186
"35","HuAgeMSNDsplit_08",35,"MSbyCON_FC1.25__","User",12,0.120544223377863,1,186
"36","HuAgeMSNDsplit_08",36,"PDbyCON_FC1.25__","User",6,0.830943745939331,1,186
"37","HuAgeMSNDsplit_09",37,"ADbyCON_FC1.25__","User",1,0.997620767953131,1,172
"38","HuAgeMSNDsplit_09",38,"HDbyCON_FC1.25__","User",0,1,1,172
"39","HuAgeMSNDsplit_09",39,"MSbyCON_FC1.25__","User",10,0.229403938376734,1,172
"40","HuAgeMSNDsplit_09",40,"PDbyCON_FC1.25__","User",3,0.982949886079149,1,172
"41","HuAgeMSNDsplit_10",41,"ADbyCON_FC1.25__","User",5,0.516037246225649,1,139
"42","HuAgeMSNDsplit_10",42,"HDbyCON_FC1.25__","User",1,0.993375528917844,1,139
"43","HuAgeMSNDsplit_10",43,"MSbyCON_FC1.25__","User",0,1,1,139
"44","HuAgeMSNDsplit_10",44,"PDbyCON_FC1.25__","User",4,0.86449874667825,1,139
"45","HuAgeMSNDsplit_11",45,"ADbyCON_FC1.25__","User",0,1,1,134
"46","HuAgeMSNDsplit_11",46,"HDbyCON_FC1.25__","User",0,1,1,134
"47","HuAgeMSNDsplit_11",47,"MSbyCON_FC1.25__","User",6,0.546539415708067,1,134
"48","HuAgeMSNDsplit_11",48,"PDbyCON_FC1.25__","User",0,1,1,134
"49","HuAgeMSNDsplit_12",49,"ADbyCON_FC1.25__","User",0,1,1,108
"50","HuAgeMSNDsplit_12",50,"HDbyCON_FC1.25__","User",55,9.16129981349892e-53,8.42839582841901e-51,108
"51","HuAgeMSNDsplit_12",51,"MSbyCON_FC1.25__","User",6,0.342949756296872,1,108
"52","HuAgeMSNDsplit_12",52,"PDbyCON_FC1.25__","User",3,0.858363952160332,1,108
"53","HuAgeMSNDsplit_13",53,"ADbyCON_FC1.25__","User",0,1,1,107
"54","HuAgeMSNDsplit_13",54,"HDbyCON_FC1.25__","User",0,1,1,107
"55","HuAgeMSNDsplit_13",55,"MSbyCON_FC1.25__","User",1,0.992362752390255,1,107
"56","HuAgeMSNDsplit_13",56,"PDbyCON_FC1.25__","User",0,1,1,107
"57","HuAgeMSNDsplit_14",57,"ADbyCON_FC1.25__","User",8,0.0192842407285952,1,99
"58","HuAgeMSNDsplit_14",58,"HDbyCON_FC1.25__","User",0,1,1,99
"59","HuAgeMSNDsplit_14",59,"MSbyCON_FC1.25__","User",2,0.937747130157756,1,99
"60","HuAgeMSNDsplit_14",60,"PDbyCON_FC1.25__","User",0,1,1,99
"61","HuAgeMSNDsplit_15",61,"ADbyCON_FC1.25__","User",0,1,1,99
"62","HuAgeMSNDsplit_15",62,"HDbyCON_FC1.25__","User",34,1.80946222150452e-25,1.66470524378416e-23,99
"63","HuAgeMSNDsplit_15",63,"MSbyCON_FC1.25__","User",26,5.90906994870989e-14,5.4363443528131e-12,99
"64","HuAgeMSNDsplit_15",64,"PDbyCON_FC1.25__","User",0,1,1,99
"65","HuAgeMSNDsplit_16",65,"ADbyCON_FC1.25__","User",11,7.49442603782541e-05,0.00689487195479938,80
"66","HuAgeMSNDsplit_16",66,"HDbyCON_FC1.25__","User",0,1,1,80
