"","InputCategories","X","UserDefinedCategories","Type","NumOverlap","Pvalues","CorrectedPvalues","Freq"
"1","black",1,"ADbyCON_FC1.25__","User",0,1,1,194
"2","black",2,"HDbyCON_FC1.25__","User",5,0.817652260929061,1,194
"3","black",3,"MSbyCON_FC1.25__","User",2,0.998598312754964,1,194
"4","black",4,"PDbyCON_FC1.25__","User",17,0.00477135632729931,0.419879356802339,194
"5","blue",5,"ADbyCON_FC1.25__","User",95,2.29507754852964e-11,2.01966824270608e-09,1486
"6","blue",6,"HDbyCON_FC1.25__","User",2,1,1,1486
"7","blue",7,"MSbyCON_FC1.25__","User",13,1,1,1486
"8","blue",8,"PDbyCON_FC1.25__","User",8,1,1,1486
"9","brown",9,"ADbyCON_FC1.25__","User",1,0.999999999999703,1,783
"10","brown",10,"HDbyCON_FC1.25__","User",23,0.848317168283804,1,783
"11","brown",11,"MSbyCON_FC1.25__","User",36,0.426023701572756,1,783
"12","brown",12,"PDbyCON_FC1.25__","User",94,1.87185119478567e-21,1.64722905141139e-19,783
"13","cyan",13,"ADbyCON_FC1.25__","User",8,0.0192842407285952,1,99
"14","cyan",14,"HDbyCON_FC1.25__","User",0,1,1,99
"15","cyan",15,"MSbyCON_FC1.25__","User",2,0.937747130157756,1,99
"16","cyan",16,"PDbyCON_FC1.25__","User",0,1,1,99
"17","darkgreen",17,"ADbyCON_FC1.25__","User",9,2.94324746842307e-07,2.5900577722123e-05,29
"18","darkgreen",18,"HDbyCON_FC1.25__","User",0,1,1,29
"19","darkgreen",19,"MSbyCON_FC1.25__","User",0,1,1,29
"20","darkgreen",20,"PDbyCON_FC1.25__","User",8,2.35240481240275e-05,0.00207011623491442,29
"21","darkred",21,"ADbyCON_FC1.25__","User",1,0.723769751986282,1,37
"22","darkred",22,"HDbyCON_FC1.25__","User",0,1,1,37
"23","darkred",23,"MSbyCON_FC1.25__","User",2,0.49145106905772,1,37
"24","darkred",24,"PDbyCON_FC1.25__","User",1,0.809873366834463,1,37
"25","green",25,"ADbyCON_FC1.25__","User",3,0.998086716442295,1,297
"26","green",26,"HDbyCON_FC1.25__","User",0,1,1,297
"27","green",27,"MSbyCON_FC1.25__","User",16,0.239858487256559,1,297
"28","green",28,"PDbyCON_FC1.25__","User",0,1,1,297
"29","greenyellow",29,"ADbyCON_FC1.25__","User",0,1,1,134
"30","greenyellow",30,"HDbyCON_FC1.25__","User",0,1,1,134
"31","greenyellow",31,"MSbyCON_FC1.25__","User",6,0.546539415708067,1,134
"32","greenyellow",32,"PDbyCON_FC1.25__","User",0,1,1,134
"33","grey60",33,"ADbyCON_FC1.25__","User",0,1,1,80
"34","grey60",34,"HDbyCON_FC1.25__","User",2,0.777420036202519,1,80
"35","grey60",35,"MSbyCON_FC1.25__","User",0,1,1,80
"36","grey60",36,"PDbyCON_FC1.25__","User",10,0.00240662711807819,0.211783186390881,80
"37","lightcyan",37,"ADbyCON_FC1.25__","User",11,7.49442603782541e-05,0.00659509491328637,80
"38","lightcyan",38,"HDbyCON_FC1.25__","User",0,1,1,80
"39","lightcyan",39,"MSbyCON_FC1.25__","User",0,1,1,80
"40","lightcyan",40,"PDbyCON_FC1.25__","User",0,1,1,80
"41","lightgreen",41,"ADbyCON_FC1.25__","User",0,1,1,66
"42","lightgreen",42,"HDbyCON_FC1.25__","User",1,0.90644950713834,1,66
"43","lightgreen",43,"MSbyCON_FC1.25__","User",3,0.563675898203334,1,66
"44","lightgreen",44,"PDbyCON_FC1.25__","User",32,1.20081042258535e-26,1.0567131718751e-24,66
"45","lightyellow",45,"ADbyCON_FC1.25__","User",0,1,1,53
"46","lightyellow",46,"HDbyCON_FC1.25__","User",0,1,1,53
"47","lightyellow",47,"MSbyCON_FC1.25__","User",0,1,1,53
"48","lightyellow",48,"PDbyCON_FC1.25__","User",0,1,1,53
"49","magenta",49,"ADbyCON_FC1.25__","User",1,0.997620767953131,1,172
"50","magenta",50,"HDbyCON_FC1.25__","User",0,1,1,172
"51","magenta",51,"MSbyCON_FC1.25__","User",10,0.229403938376734,1,172
"52","magenta",52,"PDbyCON_FC1.25__","User",3,0.982949886079149,1,172
"53","midnightblue",53,"ADbyCON_FC1.25__","User",0,1,1,99
"54","midnightblue",54,"HDbyCON_FC1.25__","User",34,1.80946222150452e-25,1.59232675492398e-23,99
"55","midnightblue",55,"MSbyCON_FC1.25__","User",26,5.90906994870989e-14,5.19998155486471e-12,99
"56","midnightblue",56,"PDbyCON_FC1.25__","User",0,1,1,99
"57","pink",57,"ADbyCON_FC1.25__","User",36,4.60019730130803e-18,4.04817362515107e-16,186
"58","pink",58,"HDbyCON_FC1.25__","User",0,1,1,186
"59","pink",59,"MSbyCON_FC1.25__","User",12,0.120544223377863,1,186
"60","pink",60,"PDbyCON_FC1.25__","User",6,0.830943745939331,1,186
"61","purple",61,"ADbyCON_FC1.25__","User",5,0.516037246225649,1,139
"62","purple",62,"HDbyCON_FC1.25__","User",1,0.993375528917844,1,139
"63","purple",63,"MSbyCON_FC1.25__","User",0,1,1,139
"64","purple",64,"PDbyCON_FC1.25__","User",4,0.86449874667825,1,139
"65","red",65,"ADbyCON_FC1.25__","User",0,1,1,245
"66","red",66,"HDbyCON_FC1.25__","User",6,0.866858769930793,1,245
"67","red",67,"MSbyCON_FC1.25__","User",64,2.55357184994673e-33,2.24714322795312e-31,245
"68","red",68,"PDbyCON_FC1.25__","User",0,1,1,245
"69","royalblue",69,"ADbyCON_FC1.25__","User",1,0.836360206178328,1,52
"70","royalblue",70,"HDbyCON_FC1.25__","User",1,0.845065183756137,1,52
"71","royalblue",71,"MSbyCON_FC1.25__","User",1,0.905515764209391,1,52
"72","royalblue",72,"PDbyCON_FC1.25__","User",8,0.00171631249594743,0.151035499643374,52
"73","salmon",73,"ADbyCON_FC1.25__","User",0,1,1,107
"74","salmon",74,"HDbyCON_FC1.25__","User",0,1,1,107
"75","salmon",75,"MSbyCON_FC1.25__","User",1,0.992362752390255,1,107
"76","salmon",76,"PDbyCON_FC1.25__","User",0,1,1,107
"77","tan",77,"ADbyCON_FC1.25__","User",0,1,1,108
"78","tan",78,"HDbyCON_FC1.25__","User",55,9.16129981349892e-53,8.06194383587905e-51,108
"79","tan",79,"MSbyCON_FC1.25__","User",6,0.342949756296872,1,108
"80","tan",80,"PDbyCON_FC1.25__","User",3,0.858363952160332,1,108
"81","turquoise",81,"ADbyCON_FC1.25__","User",5,1,1,2141
"82","turquoise",82,"HDbyCON_FC1.25__","User",113,1.57907007402945e-07,1.38958166514592e-05,2141
"83","turquoise",83,"MSbyCON_FC1.25__","User",105,0.106329333035802,1,2141
"84","turquoise",84,"PDbyCON_FC1.25__","User",105,0.0856752112172339,1,2141
"85","yellow",85,"ADbyCON_FC1.25__","User",60,3.3249271052747e-28,2.92593585264173e-26,335
"86","yellow",86,"HDbyCON_FC1.25__","User",0,1,1,335
"87","yellow",87,"MSbyCON_FC1.25__","User",1,0.999999819678077,1,335
"88","yellow",88,"PDbyCON_FC1.25__","User",4,0.999824132713288,1,335
