GSM506013	GSM506014	GSM506015	GSM506016	GSM506017	GSM506018	GSM506019	GSM506020	GSM506021	GSM506022	GSM506023
1007_s_at	1097.625414	1412.752938	1297.421353	1177.3354	1130.706718	1373.619955	1662.13602	1590.390372	1429.678903	1435.702147	1093.582053
1053_at	18.66921132	19.19164063	22.55147733	13.8255758	29.64251754	27.26709745	16.07274429	88.56961474	49.25225322	8.292404263	16.35826199
117_at	47.04493158	49.6569112	126.273683	36.87685752	66.8217137	90.75562489	51.4678121	109.828611	133.5974501	66.07751994	52.41750975
121_at	395.9866158	368.7012421	313.1101492	395.5437099	476.8123256	348.7867555	382.7173225	484.7777791	474.161029	330.2100912	328.0048913
1255_g_at	31.99528583	33.41150688	25.43499998	37.08117481	39.88455087	14.3321374	27.15026203	15.08936574	14.24226803	35.60716555	35.64651748
1294_at	64.66369064	36.61957531	70.4849058	80.60322941	66.83178349	88.04371599	68.68263393	84.18072179	37.88032148	124.6553112	66.65667953
1316_at	35.73785845	51.74347888	64.88184938	55.26281331	55.66983706	45.63414901	47.87905031	85.94907194	40.77355756	48.92218579	76.59032104
1320_at	6.304205861	9.455954424	28.2094955	20.90023283	28.8152775	8.897272765	36.31994917	20.56126446	49.93358564	8.207758908	32.37233492
1405_i_at	1.667983528	2.403639056	4.594467991	2.429082587	14.37866853	2.527352769	1.463832456	7.263218935	4.327087775	2.70860534	4.009422772
1431_at	26.69284776	29.05169186	33.34043015	23.45936373	37.11063054	27.51454189	17.47946112	46.91379728	27.17317504	32.63309853	20.78861602
1438_at	24.73211029	18.16082517	27.73000636	33.50396042	63.47784938	26.13952505	38.03944478	58.89509189	34.15099133	27.33217419	12.0360486
1487_at	144.4720382	156.9940729	133.7656343	169.154827	114.0561005	137.2662642	133.5442331	149.6242456	124.5986723	138.8334652	105.2961579
1494_f_at	92.70670386	88.26685281	66.60347835	119.9217661	147.9416872	93.60476299	118.2651142	127.1631842	106.5849652	92.11074685	94.25593999
1598_g_at	477.7530887	684.0777602	607.6343646	478.1875118	740.0937434	411.8921023	702.3565323	624.4227948	530.7020085	605.7907891	539.7591583
160020_at	222.9457979	207.6362083	225.0757531	199.9239413	221.9360053	235.9956061	100.1683963	198.8147406	178.5981269	252.2116472	210.4105446
1729_at	87.14100602	64.22409453	117.0986309	72.4364979	65.96362728	90.72278312	77.11784305	46.97182961	66.14931784	68.13935681	65.95769157
1773_at	131.5239406	111.315882	132.4781057	202.4223714	159.2852845	121.4385054	133.7582061	129.0068497	257.931669	183.2053778	61.99025821
177_at	46.97218922	32.05300856	78.45801382	41.61548955	78.94466698	82.558934	41.73567058	38.82488024	101.2823248	49.41033501	66.49458598
179_at	240.9467173	244.23043	219.1448989	377.6882536	289.6686991	229.6370603	289.6694005	395.9519403	223.0551288	330.3331527	191.4440569
1861_at	64.87737434	81.06152811	74.40586907	74.49214494	117.4168555	55.25068975	98.34157054	63.51853513	78.90691923	77.18335664	47.61796373
200000_s_at	305.6174679	392.8155054	390.3602709	324.8048925	326.041974	292.6612304	375.6594851	369.1903468	325.756577	349.0334621	321.3717067
200001_at	714.1592973	844.8786826	730.4068659	538.7183404	820.2789653	597.5059468	720.604099	1067.23185	679.0081609	654.6257458	734.6832473
200002_at	1258.145406	1818.486633	1986.324039	1166.041386	1281.035498	1586.265876	1569.317543	1791.344495	1428.005581	1310.823178	1358.999978
200003_s_at	1295.27671	2133.812527	2257.473127	1088.001941	1431.477137	1932.621933	1822.938274	1596.2086	1933.058015	1449.236238	1709.980835
200004_at	1289.156778	937.5189051	1213.098583	1327.394089	952.2841132	1200.51429	1165.848197	697.8098261	1283.244632	1025.72372	1444.098811
200005_at	187.7521188	282.8838026	367.1116701	198.713222	240.2735549	219.2061472	263.6722164	253.1485214	232.9489889	269.0358338	258.8468707
200006_at	1957.116449	1564.490985	1518.463365	1432.830127	2186.790231	1978.054462	1894.051127	1450.123195	2062.51515	1579.604539	2175.164075
200007_at	1421.133669	1390.5213	1565.393424	1715.63092	1087.189533	1399.821699	1188.167635	962.4069167	1265.541583	1422.119729	1500.868625
200008_s_at	318.5312564	371.3642123	388.6035229	479.6019309	356.7083879	320.1080799	333.4606518	299.1906677	418.0690228	353.4381679	318.008788
200009_at	693.0966562	804.7671371	789.0013094	754.9452553	696.9781469	714.6678759	998.3415525	721.2532035	1034.696231	595.9927853	743.834109
200010_at	1129.26556	1437.11403	1342.75978	1177.245722	1564.125805	1856.456177	1715.543149	959.5611091	2293.125695	1443.077974	1147.707732
200011_s_at	541.6953863	611.3981836	439.0137437	530.7686864	471.6768337	541.603499	560.6113912	405.5856161	449.0547298	474.9041232	469.8918217
200012_x_at	1862.547954	2944.179782	2534.158862	2057.689836	2602.257093	2528.500069	3154.688833	3677.875083	3600.429255	1726.135849	2261.231358
200013_at	1414.746175	2435.595794	2046.434412	1400.391963	2026.850352	1679.202931	1441.199017	1282.739534	1862.021132	1327.024123	1634.413229
200014_s_at	289.9638457	290.8259639	337.7945448	258.7755055	246.8087599	286.4265573	227.5639669	288.4176942	327.1773726	302.4724848	323.1185739
200015_s_at	1284.228753	1325.852706	1372.6726	809.3990968	766.8643206	1649.686666	706.6198358	876.589674	993.8935242	1781.732572	1500.868334
200016_x_at	2191.467382	1755.137971	1868.051135	1172.286132	3055.795961	2479.395447	2306.826372	1387.345844	3016.480924	1880.287101	1880.849752
200017_at	1490.172323	2099.494459	1634.529284	2540.415789	1578.708817	2880.55738	956.5391105	811.2860236	1784.212254	1239.547932	1608.737721
200018_at	2510.262589	2602.474772	3621.323036	2474.18002	2235.78014	3289.629555	2006.104425	1668.236639	2596.412422	2755.646466	3090.584616
200019_s_at	1721.492617	2220.162309	2539.195839	1274.346011	2008.070483	1905.588644	2287.44961	1831.580824	1853.55014	2001.691646	2019.801377
200020_at	348.566171	337.8136313	399.0668405	372.1216271	293.8074398	305.2599675	353.4306726	307.0376051	491.1654687	395.9754921	416.2669354
200021_at	5433.273814	5257.523441	5970.134504	4808.91939	4222.691966	3960.618648	7768.033192	7653.31703	6794.689245	4527.286194	5804.884522
200022_at	1109.373663	1736.2922	1817.424624	1201.794015	1440.538267	1389.012903	1390.615446	2005.478653	1453.176914	1584.009718	1346.175329
200023_s_at	417.3951099	628.9174614	622.8776981	362.879811	411.5461326	479.6538141	445.6967227	431.9827497	388.0919225	536.4650448	530.3007748
200024_at	658.1892454	1353.683524	1222.537755	858.2065432	1362.507961	1057.862833	1035.503966	1189.709952	1157.76455	698.640462	704.3040765
200025_s_at	1655.706265	2385.429435	2372.849383	1699.642663	1481.316792	2316.838703	1890.867919	1393.927538	2169.974268	1727.937473	2147.193663
200026_at	2239.247348	2017.567568	2824.53077	2198.970719	2923.465083	3881.575445	2585.976129	2099.819979	4716.403056	2782.078909	2575.117895
200027_at	924.9111569	924.7195607	1005.256078	802.8872579	793.2124696	788.346022	963.9601227	757.3816697	875.8184915	738.6792331	1004.708429
200028_s_at	458.3401637	573.2660836	451.7524215	722.5558939	658.8915344	673.4250881	883.9448532	625.5390192	890.0134042	840.1633502	645.9667603
200029_at	1667.962179	1946.364686	1969.954626	1637.954987	1522.44786	1958.210894	1608.766962	1570.251511	2151.981851	1605.55217	1885.597411
200030_s_at	1184.890915	1731.591311	1178.98078	1214.132034	1195.229509	902.6687066	1437.182869	1320.899416	1054.725199	1079.225913	1481.672049
200031_s_at	2217.129628	3119.750463	3410.920514	2409.803332	3230.533451	2876.291653	3745.821036	3710.188059	3768.088791	2303.973593	2267.317288
200032_s_at	2053.779572	2508.118477	2685.444316	1961.850805	3724.695152	2970.875944	2953.911162	3350.044483	4033.047089	2270.739909	2457.646828
200033_at	1089.109936	888.3287073	959.1505969	990.2617762	703.8469549	1160.85454	852.4501007	631.2355942	1214.40367	1004.922416	1001.608155
200034_s_at	1008.089628	1350.315519	1367.754933	1011.094717	1235.964767	1220.49382	1347.896864	1299.259368	1613.69474	1014.041634	1131.795807
200035_at	172.2735598	218.8413728	134.4192728	171.4164702	190.4424686	273.1581811	241.1872651	216.2978315	140.4557387	230.7556727	205.9448826
200036_s_at	502.4272939	847.9759668	996.64507	575.6549446	605.4171435	786.7516755	580.9779297	483.5758027	757.8966513	654.6362895	703.0377176
200037_s_at	278.8142366	256.5270154	245.1610901	239.8016851	295.8893275	308.2436698	355.7348368	352.8381602	361.7167224	252.4788192	397.2655535
200038_s_at	1420.439556	1884.032656	2177.600594	1094.792646	1821.2097	1741.025628	1962.947289	2083.272393	2174.204197	1328.662981	1579.159999
