"","F","M"
"A1BG",0.763927969071362,0.437341937811259
"A2M",4.65638662938716,3.92330871950687
"A2M-AS1",2.62150839294813,1.71896040414981
"A2ML1",0.59014084035171,0.329827286679965
"A2MP1",0.710380861986364,0.425121017786462
"A4GALT",1.10000633403707,0.891661032102768
"A4GNT",0.30944625482245,0.1312493850733
"AAAS",2.60700092586443,3.33679547427703
"AACS",2.36223676248032,2.38069017711217
"AADAT",1.9999380419228,2.09667591770104
"AAED1",1.7492108053139,1.53402539591527
"AAGAB",2.51136335944973,2.28407425242003
"AAK1",2.9958865988784,2.38659311979697
"AAMP",5.30323671896828,5.96561734097469
"AANAT",0.623528733975913,0.510671209080488
"AAR2",1.73681677997556,1.93988852225718
"AARD",0.634198896336556,0.69438844219345
"AARS",4.94179781205891,5.04457299626348
"AASDH",2.15069504961109,1.45124871297642
"AASDHPPT",1.86837616029619,1.00456248762468
"AASS",2.21259372842928,1.08028134016589
"AATBC",1.73593892080426,0.653263522715518
"AATF",1.79796758414554,1.24612819285205
"AATK",4.2060182386733,4.3813803386699
"AB015752.1",0.33502743218771,0.0667470502067193
"ABAT",2.37926148588134,1.55065486631995
"ABCA1",2.11839167424931,0.880117092743778
"ABCA10",1.87315032767497,0.671408483821491
"ABCA17P",1.18471462906263,0.656780877310088
"ABCA2",7.28428142899028,7.06116725180816
"ABCA3",3.55367163793343,3.50034930308352
"ABCA5",3.08836791946422,2.05847344301945
"ABCA6",2.4935170581794,0.596696249249562
"ABCA7",2.26487801512764,2.72019332988988
"ABCA8",3.0636409622026,1.88521508367925
"ABCB1",1.08014051349698,0.790344628461424
"ABCB10",2.149502824016,1.70639087776879
"ABCB7",1.54858113371381,0.854464937597921
"ABCB8",3.58310005861234,3.57641190952638
"ABCB9",1.99225262373318,1.88521129689245
"ABCC1",1.30282721929196,0.520831108722909
"ABCC10",2.85697797086525,2.87596454614448
"ABCC12",0.217172868172809,0.494800821327471
"ABCC3",1.02695244605612,0.232463465366793
"ABCC4",0.899050081051275,0.237547269065759
"ABCC5",2.98471969691681,3.01592952940358
"ABCC6",0.551545314873209,0.195994620559369
"ABCC8",2.15551082108842,2.30989254827971
"ABCC9",1.4146797880833,0.786705313711639
"ABCD1",0.781057964479293,0.541658422454997
"ABCD2",1.43111224214365,1.03770060669467
"ABCD3",2.24284808306626,1.62497684860296
"ABCD4",3.3310240217096,3.31427636556933
"ABCE1",1.41878560755569,0.598024162213135
"ABCF1",3.20712267880788,3.18589207975567
"ABCF2",3.74827243273832,3.97406389514131
"ABCF2P1",1.10588711612757,0.126467099412829
"ABCF3",4.75775256291043,5.06536633491332
"ABCG1",1.82810519018402,1.03305487717873
"ABCG2",1.21788984312307,1.0040256645672
"ABCG4",2.2229336054771,2.98207694270668
"ABCG8",0.516214647486513,0.316339856602621
"ABHD1",1.64703945680718,1.32784089953394
"ABHD10",3.58265619843538,3.91585903059943
"ABHD11",3.40030676607592,4.56024832697277
"ABHD11-AS1",0.991647132482906,0.268974955849119
"ABHD12",2.45789460896048,2.73953594173113
"ABHD13",3.15551176689847,2.85491915970167
"ABHD17A",4.93317819279806,5.98325278852803
"ABHD17AP4",0.189774634004877,0.316920844853019
"ABHD17B",2.61467166411989,2.25178899700116
"ABHD17C",1.35052265333141,1.31470197907408
"ABHD18",2.02298301932134,1.07982654452784
"ABHD2",3.22904816998573,2.33147476924353
"ABHD3",1.71844313463204,1.21433075402748
"ABHD4",2.93343539878984,2.81518759745598
"ABHD5",2.35258730671778,1.69005683796513
"ABHD6",2.65291619638415,2.2170690451591
"ABHD8",1.21371773542151,2.79123151921788
"ABI1",2.78941380189366,2.25894846613148
"ABI2",1.72244636266012,0.410812841879043
"ABI3",1.99295332375596,1.29983394331302
"ABI3BP",1.16442215983111,0.226577913138628
"ABL1",2.25317504688849,1.51308524108085
"ABL2",2.37827125709287,1.37303050716473
"ABLIM1",3.14411477750236,2.33421568206818
"ABLIM2",2.01811174707062,1.72129006009178
"ABO",1.30248129705445,0.709801151734623
"ABR",3.49894836240609,3.33988471415947
"ABRA",0.604186252725108,0.294948438506818
"ABRACL",1.64286805029617,2.31690715659844
"ABRAXAS1",0.561190210370673,0.351528212516538
"ABRAXAS2",2.20587022702937,1.98515110121661
"ABT1",3.28089874026116,4.05559309906699
"ABTB1",4.43230180804081,5.78415734654469
"ABTB2",1.08470168823013,0.639871181544676
"AC000036.1",0.285233598296499,0.137338121332554
"AC000058.1",1.23463991786348,0.117864931725155
"AC000067.1",0.121252032305382,0.159843535075844
"AC000068.1",1.38947818064245,0.807930907716446
"AC000403.1",1.32911299104975,2.14596151387773
"AC002056.1",0.15277844720474,0.0407177521200887
"AC002064.1",0.865711703293365,0.435911324281119
"AC002069.1",0.273404194691197,0.0309883143119214
"AC002069.2",0.502487225156272,0.0551543904312637
"AC002076.2",0.120238633343257,0.137565543210459
"AC002091.2",0.348725045884392,0.0703480790853997
"AC002116.2",0.400942794058233,0.550091931093907
"AC002310.2",0.521727157680865,0.486604187404787
"AC002310.4",1.5687951123781,1.61034091800977
