"","hippocampus","prefrontal_cortex","optic_chiasm"
"A1BG",0.908768612077915,0.42975292542026,1.06191512842271
"A2M",4.58256993535485,3.92900961558772,5.38295758956349
"A2M-AS1",3.09599824453265,1.78020874160486,2.44010861974586
"A2ML1",0.98620494234858,0.334173862958425,0.483617485223677
"A2MP1",0.978671225074444,0.44576117123422,0.54364665106659
"A4GALT",1.02745985175946,0.836767457588065,1.99766492871254
"A4GNT",0.178556166117671,0.126753587505891,0.644056867560634
"AAAS",2.40053145948105,3.21291964348225,3.46695400469849
"AACS",3.60606591380421,2.35536481965091,1.63996163759388
"AADAT",2.09714988930293,2.10000684365568,1.78712503976205
"AAED1",1.8185848903584,1.50986479498488,2.18674385737641
"AAGAB",3.59060820615273,2.27973347708724,1.9251755054442
"AAK1",3.96512847665742,2.44541750685009,2.1533061246258
"AAMP",6.37782507325575,5.81162739369736,5.55206980722119
"AANAT",0.900243407189158,0.474550132758232,0.930406898006687
"AAR2",1.9194652763871,1.89288186886843,1.92820275453532
"AARD",1.08829677719534,0.646109025690611,0.765944335575285
"AARS",6.60348788600298,4.93293918756207,4.7934593687653
"AASDH",2.45500997653731,1.51335700988357,1.8924440302725
"AASDHPPT",2.59631481031493,1.09374831511046,1.12420189686623
"AASS",2.52885794403919,1.17733473212003,1.97578073673213
"AATBC",2.80757170119402,0.694356309866807,1.48874104234139
"AATF",2.94719805234762,1.21787559137275,1.75532751788929
"AATK",4.99625303753236,4.30258101373074,4.30466053638983
"AB015752.1",0.703642331466015,0.0864054092239864,0.0823447660474861
"ABAT",3.65428096424415,1.56259216576195,2.05057357916943
"ABCA1",3.22813029968546,0.932102155413798,1.87104713470069
"ABCA10",2.4204873123387,0.829165656119893,0.822815102365837
"ABCA17P",2.2066594022336,0.662533473706513,0.828937703719515
"ABCA2",8.30849335989387,6.9739187379908,7.69138397034909
"ABCA3",4.88982055774561,3.41767316321737,3.4888504453943
"ABCA5",3.73610303638027,2.18460091363478,2.14960839029979
"ABCA6",2.95180072385668,0.750980846860134,2.24943806204585
"ABCA7",3.04776610595161,2.57004670277604,2.90993843951531
"ABCA8",3.22168897263344,1.99151410700975,2.89318966408054
"ABCB1",1.44427372202663,0.774811716110674,1.25725832374245
"ABCB10",2.80184454757332,1.74651911938397,1.60926661284278
"ABCB7",2.03916424288253,0.908554986061262,1.22819528516629
"ABCB8",4.39966330779421,3.5003830465812,3.81086953222234
"ABCB9",3.11686143640241,1.83272039694314,1.8032522498556
"ABCC1",2.08193680236043,0.515774311048541,1.51968883666145
"ABCC10",4.00705022396902,2.78369636913885,2.97901762866769
"ABCC12",0.584837186808153,0.46326005687334,0.00813225133238076
"ABCC3",0.541912623650837,0.219178482647734,2.36225058593886
"ABCC4",1.42544632335217,0.270842814315083,0.756537128828845
"ABCC5",4.34594577741375,2.95828532670231,2.52743733109706
"ABCC6",0.931985912564233,0.169921127379626,0.902588702601269
"ABCC8",3.05181577496112,2.28394403635343,1.58249301795127
"ABCC9",1.55626561695718,0.875314353475671,0.9103816420695
"ABCD1",0.735852816502608,0.531408374036391,1.17449718169891
"ABCD2",2.04934327227875,1.1180388065625,0.406049755004533
"ABCD3",2.77389384308539,1.68106708284249,1.79084501575972
"ABCD4",3.76850960188008,3.23406230623276,3.92024489608397
"ABCE1",2.33104632492477,0.655058114991904,0.853848022047148
"ABCF1",4.20122254930386,3.08007706169321,3.64994608918157
"ABCF2",5.19144412277163,3.87516460003786,3.50528551199833
"ABCF2P1",1.9230490479874,0.243515033000336,0.0855263510981083
"ABCF3",6.69930310755024,4.912797335549,4.65144184788543
"ABCG1",3.0455680294431,1.0676638061191,1.25118254896777
"ABCG2",0.702269213898945,1.03225479755761,1.51961549566853
"ABCG4",3.33789956284359,2.88409204135277,1.69864386792428
"ABCG8",0.732491670901113,0.339133489837596,0.280941037436511
"ABHD1",2.27447811697068,1.2774993613976,2.04321477451756
"ABHD10",3.94722670073855,3.86420476509581,3.55182101772053
"ABHD11",3.18506545924767,4.41830371988819,4.04492123211435
"ABHD11-AS1",2.03077358172817,0.254940509878428,1.04441427838343
"ABHD12",3.26986901286507,2.64873155093755,2.57092424719234
"ABHD13",4.21755863566291,2.88814974289941,2.22431517230979
"ABHD17A",5.42263977697442,5.83044655065081,5.24880606531497
"ABHD17AP4",0.45648134021121,0.2956882009652,0.0934384629015836
"ABHD17B",3.17589708228695,2.29702749672144,2.00833124992183
"ABHD17C",1.96282669016287,1.29608597541219,1.11058414023529
"ABHD18",2.54311843137085,1.12931811105988,1.98087814935684
"ABHD2",4.35750984958897,2.40596951704572,2.36716262732012
"ABHD3",2.22397217145953,1.17233797486878,2.3010492460997
"ABHD4",2.81101485572803,2.72594382872011,4.17592297503557
"ABHD5",2.79377671347399,1.71920867564865,2.32692011670501
"ABHD6",3.99777382220629,2.19748048356902,2.23814570523745
"ABHD8",0.487103377714798,2.62979751788386,2.07398645313172
"ABI1",3.83411900297229,2.2904012450209,2.12240801956451
"ABI2",2.82684270411355,0.532007273890995,0.756826842141012
"ABI3",2.88924413074928,1.2545026155667,2.49035032768691
"ABI3BP",1.08851822991113,0.268276776386049,1.68345262311424
"ABL1",2.86567866183462,1.52739275171524,2.33872558844374
"ABL2",3.51769349229077,1.43712176627926,1.73492473904565
"ABLIM1",3.71832419163754,2.36885847740214,3.09625419528779
"ABLIM2",3.17483005616367,1.70804603810329,1.54186503964265
"ABO",1.58819597766268,0.68380713835053,1.96552085180476
"ABR",5.13048317873996,3.24491460832458,3.44494037468685
"ABRA",0.701564277163233,0.364064945518416,0.0406818167595181
"ABRACL",2.80523064684757,2.20286309917444,1.35044552712885
"ABRAXAS1",0.794003813870953,0.357901327180284,0.511310506791508
"ABRAXAS2",3.20803629246313,1.95596305509452,1.96051903089922
"ABT1",3.63428118879981,3.94872685269773,3.45246025587085
"ABTB1",5.22352307699255,5.58074504953403,4.78671066999816
"ABTB2",1.69442686666032,0.627032642514707,1.18939525101607
"AC000036.1",0.525293856726833,0.126922509182456,0.360860408242303
"AC000058.1",1.91356968121,0.262261260338386,0.147713314272447
"AC000067.1",0,0.152475891097916,0.264390061125399
"AC000068.1",1.86425510851985,0.802148159260867,1.6577055185057
"AC000403.1",3.10302472399987,2.01963346625644,0.545907629506481
"AC002056.1",0.470530283923228,0.0326127975937811,0.103844649967139
