"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","macrophage_peri_LPS_thio_0hrs","61/353",5.6527796480851e-09,5.42666846216169e-07,0,0,2.17912399215515,41.3840018297118,"TOR2A;ITGB2;TREM2;TCIRG1;MED15;PSTPIP1;WDR92;WDR91;TOM1;ITGAX;CTSB;NHLRC3;CD300A;NFAM1;MKL1;CYBA;RENBP;MPEG1;LAT2;PLA2G15;SOAT1;NPC2;NINJ1;VAMP4;DAGLB;B4GALT7;PI4K2A;SLC29A3;SKAP2;IDUA;HSD17B11;CSF2RA;DPP7;GPNMB;CLEC7A;CREG1;AMDHD2;SLC38A7;SOCS6;KLHDC4;CMTM3;STK11IP;IQSEC1;IL10RA;NAGA;MYO9B;LHFPL2;MCOLN1;ARHGAP25;CDK9;MARCH2;SPSB2;TSPAN14;NAGK;P2RX4;SLC25A30;GRB2;MAN2B1;HPSE;MYO1F;LGMN",61
"2","follicular_B-cells","74/603",0.000110770257684429,0.00531697236885261,0,0,1.54753763757923,14.0950536652196,"DENND1C;CREBZF;CALCOCO1;CIITA;TRAF3IP3;MCM9;FAM69A;NRM;IKZF1;TNFRSF13C;RCSD1;WDR44;ARHGAP4;IKBKB;SNRNP70;SESN1;PSD4;SUFU;BLNK;CD37;MAP4K1;ST6GAL1;SZT2;IAH1;ANKRD44;CD180;TMC8;IL17RA;TLR1;GIGYF1;SFPQ;DOK3;RABEP2;SRSF3;RIN3;LTB;CARD11;SASH3;RGS19;UNC93B1;LPAR2;ADRB2;RASAL3;CORO1A;TSPAN32;FGD3;NXF1;HMGCL;RECQL5;CALHM2;POLD1;GRK6;PLCG2;CSK;ANKZF1;CD74;TGFB1;LY86;FUZ;RPRD2;POU2F2;TBL3;FMNL1;UBLCP1;ATG16L2;ABI3;POLR3F;TUBGCP6;PTPN6;TCF3;GPD1L;SMAP2;SIPA1;FERMT3",74
"3","spleen","18/100",0.000813731296880979,0.0260394015001913,0,0,2.26986128625473,16.1475215982656,"DENND1C;CD74;ST6GAL1;TGFB1;ZMYND8;FHOD1;PIK3CD;POU2F2;RCSD1;ITGAL;ARHGAP4;FGD2;TMEM26;ARHGAP30;ABI3;GRK6;ACIN1;MAN2B1",18
"4","macrophage_bone_marrow_0hr","22/180",0.0280321848668677,0.672772436804824,0,0,1.5412638363458,5.5090964919975,"C1QB;CSF1R;ATP8B4;ARRB2;DCK;RPTOR;RPS6KA3;KAT2A;FMNL1;CYTH4;ACER3;STAB1;C3AR1;TOM1;LPXN;SUSD3;FOLR2;VPS36;TMEM106A;LAIR1;SKAP2;C1QC",22
"5","microglia","12/90",0.0517154633601672,0.99293689651521,0,0,1.68137873055906,4.98024118421695,"C1QB;C1QA;HPGDS;FKRP;RASSF4;HEXB;STAB1;C3AR1;MFSD1;CTSC;VAV1;C1QC",12
"6","osteoclasts","14/110",0.0525574160852866,0.840918657364585,0,0,1.60495242462456,4.72794760306581,"SLC37A2;FKRP;HEXB;FAM109A;TCIRG1;RPRD2;RPAP1;DPP7;GPNMB;ACER3;MFSD1;VPS36;CTBS;ARSB",14
"7","mast_cells","49/515",0.104868323689778,1,0,0,1.19981880287467,2.70565112255915,"RB1;SCYL3;GPR65;ZMYND8;DOCK8;PIK3CD;CYB561D1;RAC2;ARL5A;CD300A;GAB3;PRKAB1;TGFBR1;LAT2;TAL1;BTK;LCP2;RIN3;HCST;CUL9;CX3CR1;LRRC57;CSF2RB;LTC4S;PLA2G7;FAM105A;RASGRP4;SNX4;CALHM2;SCIN;ALOX5;INPP5D;MKNK1;UCP2;INPP5K;PLCG1;IP6K1;KDM4B;ANKRD27;IL10RA;LAPTM5;RFXANK;PLXDC2;MAPK14;KLHL20;P2RX4;TBXAS1;LSM14A;FERMT3",49
"8","dendritic_plasmacytoid_B220+","22/214",0.126342964084391,1,0,0,1.29639014272077,2.68191376162563,"USP15;DCLRE1C;ANKS3;TRAPPC5;RNASE6;ZDHHC13;PLD4;DTX2;RUNX2;IFFO1;SLC9A1;CD4;P2RX4;MKNK1;RPS6KA1;ST8SIA4;TUBGCP5;IRF8;TLR7;MGAT1;LAIR1;PLEKHM3",22
"9","bone_marrow","38/413",0.189363564724766,1,0,0,1.16027345813398,1.93079538503272,"USP15;CSF3R;ADPGK;UHRF1;CCDC125;DOCK8;PNKP;NCAPG2;DCUN1D1;PPOX;PRAM1;PTDSS2;NANP;UCP2;DGCR8;INPP5K;E2F4;LBR;FBXO9;TMPO;ARL6IP6;CD163;USP4;TXNRD2;STRADB;ABCA7;MAPK14;DCK;NMRAL1;TREML1;MARCH2;RNF123;POLA2;TMEM216;UBE2O;NCAPD2;MTFR1;TCF3",38
"10","RAW_264_7","21/222",0.229700585767584,1,0,0,1.19287004532906,1.75468633210173,"CX3CR1;CYFIP1;TMEM87A;DCLRE1A;CSF1R;ZBTB32;NFATC2;PLA2G4A;MYO7A;RPRD2;NMRAL1;THG1L;FGD3;TMEM26;FMNL1;CYTH4;SUSD3;PRPF31;NUPL2;PIK3AP1;IL13RA1",21
"11","macrophage_bone_marrow_6hr_LPS","63/730",0.25653342011003,1,0,0,1.08828965779336,1.48061408543972,"OGFR;CYFIP1;CSF3R;ITGAM;MTMR14;PLEK;PRKAG2;PIK3CD;SLC2A6;RPS6KA3;POFUT1;RASSF4;PSD4;SUFU;AP1S2;CASP1;IKBKG;LGALS9;JAK2;SLC16A3;CTSC;SH3GL1;SLC30A6;RHBDF2;IRAK3;ARAP1;TNFRSF1B;DCK;APBB1IP;HCK;EEF1D;HCLS1;TLR8;LCP2;LCP1;AIDA;CGGBP1;TM2D1;EBI3;DTX2;AOAH;PIK3R5;ZNRF1;RAB20;CYTH4;HLX;BMF;CD14;SLC15A3;IP6K1;LYN;NFATC2;RPRD2;PILRA;ARHGAP27;SNX20;SSH3;CFC1;MARCH2;ARHGAP30;ERCC1;LPCAT2;PIK3AP1",63
"12","mega_erythrocyte_progenitor","49/562",0.262494537733039,1,0,0,1.09947808448479,1.4705794313308,"DET1;TMEM41A;SETD6;NUDT1;GPATCH1;MED19;USP39;THG1L;FRAT1;FRAT2;WDR92;NKX1-2;MED1;CDADC1;KLF13;MRPS25;RSAD1;ATAD3A;MRPS9;CCNE1;POLR1C;SRSF3;ATG4B;TTLL12;GART;TELO2;SMARCD1;POM121;SLC45A1;PTDSS2;TAF1C;POLD1;TWISTNB;DHX37;METTL4;KLHDC4;SIVA1;ATAD5;INTS1;TXNRD2;B3GALT6;MYO9B;FANCF;RPIA;POLE2;CYP20A1;CWF19L1;DUS1L;TRMT61A",49
"13","macrophage_bone_marrow_24h_LPS","47/551",0.320822794063405,1,0,0,1.07565517699105,1.22287617675343,"SMARCD1;ITGAM;USP16;NCF1;FKBP15;IDUA;TM2D1;PNKP;LST1;EBI3;AOAH;MED15;CXCL16;GGA1;PSTPIP1;MAEA;ADAP2;MRPL1;GNGT2;RAB40C;WDR91;AP1S2;TSPO;MARK4;ATG5;TOR1A;FCER1G;NHLRC3;PILRA;TICAM1;MAPK14;SSH3;SSH1;APBB1IP;PLA2G15;DOK1;TBL3;POR;MAFB;GIPC3;NINJ1;POLR3F;SLC25A30;GRB2;NUP54;VAMP4;BCL2L2",47
"14","dendritic_cells_myeloid_CD8a-","16/188",0.421985135708748,1,0,0,1.07322046631429,0.925958722873516,"KCNK6;SCYL3;BATF3;TSC22D1;TRAPPC5;IRAK4;MAPK14;FAM105A;HAUS8;LPCAT2;AP1S2;ITGAX;BMF;JAK2;TLR5;SKAP2",16
"15","lymph_nodes","8/90",0.422485770832114,1,0,0,1.12091915370604,0.965783394990516,"CD74;GPR132;CD4;ABI3;DOCK8;PIK3CD;ITGAL;RASAL3",8
"16","embryonic_stem_line_Bruce4_p13","71/876",0.441099978215566,1,0,0,1.02207097491176,0.836548454935419,"POP1;PHF20;PAK1IP1;SETD6;ZMYND8;MED19;CBWD1;CHTF18;WDR46;PDCD2L;ING5;NFATC2IP;RRP15;RFC5;ABT1;DDX18;TIPIN;MANBA;TCF15;NSUN5;TEX10;ELAC2;AEN;URB2;CBFA2T2;CRNKL1;GTPBP3;LSG1;SHQ1;RBL1;CCNE1;ZSCAN21;POLR1C;MCM3;MCM5;EIF4E2;GART;NUFIP1;LAMA3;NOL9;ZBTB44;RPAP1;ORC5;ZNHIT3;DPH1;TDG;FGF20;DVL2;TBC1D14;BRIX1;BMF;UTP20;PLCG1;BRD8;UTP6;PHC1;RCC2;RPA1;HPS3;RPA2;FUZ;NOC3L;TBL3;RABIF;GIPC3;RFWD3;CWF19L1;TUBGCP5;TAF8;NOL11;WRAP53",71
