"GeneHu","Category"
"C17orf49","PSVZbyQSVZ_Morizur_FC5_"
"RNASEK-C17orf49","PSVZbyQSVZ_Morizur_FC5_"
"CZIB","PSVZbyQSVZ_Morizur_FC5_"
"C4orf19","QSVZbyPSVZ_Morizur_FC5_"
"C11orf58","PSVZbyQSVZ_Morizur_FC5_"
"KIAA0391","PSVZbyQSVZ_Morizur_FC5_"
"C9orf16","PSVZbyQSVZ_Morizur_FC5_"
"CXorf40A","PSVZbyQSVZ_Morizur_FC5_"
"CXorf40B","PSVZbyQSVZ_Morizur_FC5_"
"C8orf33","PSVZbyQSVZ_Morizur_FC5_"
"C9orf85","PSVZbyQSVZ_Morizur_FC5_"
"KIAA1143","PSVZbyQSVZ_Morizur_FC5_"
"C16orf74","QSVZbyPSVZ_Morizur_FC5_"
"C12orf73","PSVZbyQSVZ_Morizur_FC5_"
"C2orf40","PSVZbyQSVZ_Morizur_FC5_"
"C19orf24","PSVZbyQSVZ_Morizur_FC5_"
"C2orf88","QSVZbyPSVZ_Morizur_FC5_"
"C1orf21","PSVZbyQSVZ_Morizur_FC5_"
"C19orf44","PSVZbyQSVZ_Morizur_FC5_"
"C20orf27","PSVZbyQSVZ_Morizur_FC5_"
"C14orf119","PSVZbyQSVZ_Morizur_FC5_"
"C11orf98","PSVZbyQSVZ_Morizur_FC5_"
"C17orf58","QSVZbyPSVZ_Morizur_FC5_"
"CXorf38","PSVZbyQSVZ_Morizur_FC5_"
"C4orf3","PSVZbyQSVZ_Morizur_FC5_"
"KIAA1211L","QSVZbyPSVZ_Morizur_FC5_"
"C9orf64","PSVZbyQSVZ_Morizur_FC5_"
"C1orf53","PSVZbyQSVZ_Morizur_FC5_"
"C10orf95","PSVZbyQSVZ_Morizur_FC5_"
"C6orf226","PSVZbyQSVZ_Morizur_FC5_"
"C12orf49","PSVZbyQSVZ_Morizur_FC5_"
"C3orf70","PSVZbyQSVZ_Morizur_FC5_"
"SMIM30","PSVZbyQSVZ_Morizur_FC5_"
"C8orf37","QSVZbyPSVZ_Morizur_FC5_"
"C11orf95","PSVZbyQSVZ_Morizur_FC5_"
"C1orf131","PSVZbyQSVZ_Morizur_FC5_"
"C16orf45","QSVZbyPSVZ_Morizur_FC5_"
"KIAA1671","PSVZbyQSVZ_Morizur_FC5_"
"C15orf40","PSVZbyQSVZ_Morizur_FC5_"
"C7orf50","PSVZbyQSVZ_Morizur_FC5_"
"C3orf14","QSVZbyPSVZ_Morizur_FC5_"
"C5orf34","PSVZbyQSVZ_Morizur_FC5_"
"KIAA1191","PSVZbyQSVZ_Morizur_FC5_"
"C7orf31","PSVZbyQSVZ_Morizur_FC5_"
"C16orf87","PSVZbyQSVZ_Morizur_FC5_"
"C20orf194","QSVZbyPSVZ_Morizur_FC5_"
"C18orf54","PSVZbyQSVZ_Morizur_FC5_"
"KIAA0040","QSVZbyPSVZ_Morizur_FC5_"
"C16orf96","PSVZbyQSVZ_Morizur_FC5_"
"C4orf46","PSVZbyQSVZ_Morizur_FC5_"
"C11orf54","QSVZbyPSVZ_Morizur_FC5_"
