Gene,Category,sample_1,sample_2,value_1_npc,value_2_nsc,FC5
Gm44805,nscBYnpc_FC5_,npc,nsc,0.000226309,0.788817,3485.575032
Cd300lb,nscBYnpc_FC5_,npc,nsc,0.00281895,1.91504,679.3451462
Ccr3,nscBYnpc_FC5_,npc,nsc,0.00256001,1.1629,454.2560381
Gm29253,nscBYnpc_FC5_,npc,nsc,0.000132092,0.054552,412.9848893
Abcg3,nscBYnpc_FC5_,npc,nsc,0.00870122,3.09332,355.5041707
Lbx2,nscBYnpc_FC5_,npc,nsc,0.0112684,3.851,341.7521565
Ighd,nscBYnpc_FC5_,npc,nsc,0.00686884,1.63021,237.3341059
Gm13391,nscBYnpc_FC5_,npc,nsc,0.0112869,2.63175,233.1685405
Cxcl9,nscBYnpc_FC5_,npc,nsc,0.0087773,1.88009,214.1991273
Il10,nscBYnpc_FC5_,npc,nsc,0.00996139,2.04591,205.3839876
Ms4a14,nscBYnpc_FC5_,npc,nsc,0.0105416,2.15814,204.7260378
Ifi206,nscBYnpc_FC5_,npc,nsc,0.00552584,0.962641,174.2071794
Fbxo40,nscBYnpc_FC5_,npc,nsc,0.00222659,0.362696,162.8930337
Slc28a2,nscBYnpc_FC5_,npc,nsc,0.00674985,1.09315,161.9517471
Tlr9,nscBYnpc_FC5_,npc,nsc,0.00239872,0.385555,160.7336413
Vnn3,nscBYnpc_FC5_,npc,nsc,0.00427952,0.681183,159.1727577
Gm21188,nscBYnpc_FC5_,npc,nsc,0.0122063,1.75882,144.091166
Gm12185,nscBYnpc_FC5_,npc,nsc,0.00142279,0.188501,132.4868744
Gm47567,nscBYnpc_FC5_,npc,nsc,0.00330977,0.420924,127.1762086
Cd300ld,nscBYnpc_FC5_,npc,nsc,0.0285516,3.51608,123.1482649
F9,nscBYnpc_FC5_,npc,nsc,0.0039173,0.443351,113.1776989
Cd4,nscBYnpc_FC5_,npc,nsc,0.101235,11.083,109.4779474
Cd28,nscBYnpc_FC5_,npc,nsc,0.0155588,1.67074,107.3823174
Btnl2,nscBYnpc_FC5_,npc,nsc,0.0130614,1.30718,100.0796239
Pydc3,nscBYnpc_FC5_,npc,nsc,0.0141272,1.4012,99.18455179
Gm1070,nscBYnpc_FC5_,npc,nsc,0.0122053,1.1704,95.8927679
Gm26714,nscBYnpc_FC5_,npc,nsc,0.0075858,0.725765,95.67415434
Gm45061,nscBYnpc_FC5_,npc,nsc,0.00363559,0.328327,90.30913827
Rasal3,nscBYnpc_FC5_,npc,nsc,0.00225517,0.193931,85.99396054
C130026I21Rik,nscBYnpc_FC5_,npc,nsc,0.0154592,1.28927,83.39823535
Gm45449,nscBYnpc_FC5_,npc,nsc,0.0232096,1.89034,81.44647043
Fam196b,nscBYnpc_FC5_,npc,nsc,0.00132851,0.108157,81.41225885
Ifitm6,nscBYnpc_FC5_,npc,nsc,0.127586,10.1246,79.35510166
Sash3,nscBYnpc_FC5_,npc,nsc,0.220636,17.4666,79.16477819
Chodl,nscBYnpc_FC5_,npc,nsc,0.0085047,0.672488,79.07251285
Clec4d,nscBYnpc_FC5_,npc,nsc,0.0061531,0.481366,78.23146056
Gm47206,nscBYnpc_FC5_,npc,nsc,0.00480676,0.371593,77.30633524
