Gene,Category,sample_1,sample_2,value_1_tap,value_2_qnp,FC20
Adamtsl3,qnpBYtap_FC20,tap,qnp,0.0673633,46.0889,684.1841181
Acan,qnpBYtap_FC20,tap,qnp,0.100917,63.9395,633.5850253
Anxa1,qnpBYtap_FC20,tap,qnp,0.616844,357.638,579.7867856
Cers1,qnpBYtap_FC20,tap,qnp,0.00761859,3.65904,480.2778467
Nptx1,qnpBYtap_FC20,tap,qnp,0.0434204,20.6469,475.5115107
Ngfr,qnpBYtap_FC20,tap,qnp,0.717738,325.771,453.8856797
Mlana,qnpBYtap_FC20,tap,qnp,0.222014,73.3476,330.3737602
Plekha4,qnpBYtap_FC20,tap,qnp,0.0359348,11.0509,307.5264089
Drc3,qnpBYtap_FC20,tap,qnp,0.0643652,19.5184,303.2446104
Arl4d,qnpBYtap_FC20,tap,qnp,0.0908952,24.8982,273.9220553
Hrc,qnpBYtap_FC20,tap,qnp,0.0862104,20.9733,243.2803931
Gfap,qnpBYtap_FC20,tap,qnp,0.0785673,18.4935,235.3841866
Nog,qnpBYtap_FC20,tap,qnp,0.294466,64.4226,218.7777197
NEWGENE_1307313,qnpBYtap_FC20,tap,qnp,0.166246,28.6034,172.054666
Serpinh1,qnpBYtap_FC20,tap,qnp,0.221806,33.5607,151.3065472
Runx1,qnpBYtap_FC20,tap,qnp,0.0568385,7.62784,134.2019934
Zfp385b,qnpBYtap_FC20,tap,qnp,0.0294872,3.92333,133.0519683
Sparc,qnpBYtap_FC20,tap,qnp,24.6376,3244.24,131.6784102
Lmo1,qnpBYtap_FC20,tap,qnp,4.02809,528.087,131.1010926
Sox9,qnpBYtap_FC20,tap,qnp,0.308696,39.3452,127.4561381
Galnt18,qnpBYtap_FC20,tap,qnp,0.657285,81.7407,124.3611219
Egr2,qnpBYtap_FC20,tap,qnp,0.0328608,4.07413,123.9814612
Glis3,qnpBYtap_FC20,tap,qnp,0.154023,18.7431,121.690267
Dlx3,qnpBYtap_FC20,tap,qnp,0.0415994,4.95264,119.0555633
Sez6,qnpBYtap_FC20,tap,qnp,1.62867,193.783,118.9823598
Itgb4,qnpBYtap_FC20,tap,qnp,0.0343095,3.97505,115.8585814
Dlx2,qnpBYtap_FC20,tap,qnp,0.143238,16.1259,112.5811586
Ccdc189,qnpBYtap_FC20,tap,qnp,0.0824752,8.85452,107.3597882
Ptpre,qnpBYtap_FC20,tap,qnp,0.191289,19.2783,100.7810172
Notum,qnpBYtap_FC20,tap,qnp,0.0558063,5.39837,96.73406049
Mpz,qnpBYtap_FC20,tap,qnp,0.0622619,5.90462,94.83520419
Vasn,qnpBYtap_FC20,tap,qnp,0.118834,11.1711,94.00592423
Tnfrsf12a,qnpBYtap_FC20,tap,qnp,2.12009,198.958,93.84412926
Pdgfb,qnpBYtap_FC20,tap,qnp,0.051465,4.71006,91.51967356
Igfbp7,qnpBYtap_FC20,tap,qnp,6.2015,546.698,88.15576877
Aldh3b1,qnpBYtap_FC20,tap,qnp,0.0623842,5.36106,85.93618256
S100a4,qnpBYtap_FC20,tap,qnp,6.26216,531.588,84.88892012
Bgn,qnpBYtap_FC20,tap,qnp,0.455365,38.2441,83.98559397
Tgfb1,qnpBYtap_FC20,tap,qnp,0.527473,44.1815,83.76068538
Map4k1,qnpBYtap_FC20,tap,qnp,0.0772611,6.25496,80.95872308
Rassf4,qnpBYtap_FC20,tap,qnp,0.550119,43.6733,79.38882315
Slc17a7,qnpBYtap_FC20,tap,qnp,0.0800105,6.21156,77.6343105
Fam20a,qnpBYtap_FC20,tap,qnp,0.0408152,3.1479,77.12567867
Cacna1g,qnpBYtap_FC20,tap,qnp,0.039606,2.99504,75.62086553
Fah,qnpBYtap_FC20,tap,qnp,0.0911561,6.87503,75.42040522
P4ha3,qnpBYtap_FC20,tap,qnp,0.57472,42.6991,74.29548302
Vstm2b,qnpBYtap_FC20,tap,qnp,1.11222,79.7966,71.74533815
Stk32c,qnpBYtap_FC20,tap,qnp,0.413956,28.8351,69.6574032
Arhgap44,qnpBYtap_FC20,tap,qnp,0.0924527,6.33394,68.51005974
Uros,qnpBYtap_FC20,tap,qnp,0.15352,10.4458,68.04194893
AABR07072184.3,qnpBYtap_FC20,tap,qnp,4.14387,281.928,68.03495283
Col6a2,qnpBYtap_FC20,tap,qnp,0.453502,30.8236,67.96794722
Boc,qnpBYtap_FC20,tap,qnp,0.324707,21.6366,66.63422716
Dnajb13,qnpBYtap_FC20,tap,qnp,0.0496414,3.29268,66.32931384
Prrg2,qnpBYtap_FC20,tap,qnp,0.199701,12.7956,64.07379032
AC133403.1,qnpBYtap_FC20,tap,qnp,0.802756,50.5494,62.96981897
Cyp2c11,qnpBYtap_FC20,tap,qnp,0.209056,12.962,62.00252564
Slc36a1,qnpBYtap_FC20,tap,qnp,0.438159,26.5347,60.55952291
Col1a1,qnpBYtap_FC20,tap,qnp,0.0173493,1.03852,59.8594756
Nipa1,qnpBYtap_FC20,tap,qnp,0.442191,26.2488,59.36077396
Col6a1,qnpBYtap_FC20,tap,qnp,0.191198,11.2032,58.59475518
Itga3,qnpBYtap_FC20,tap,qnp,0.454231,26.5082,58.35841235
Arhgap24,qnpBYtap_FC20,tap,qnp,0.402694,23.466,58.27253448
Scrn2,qnpBYtap_FC20,tap,qnp,0.164381,9.34869,56.87208376
Bag3,qnpBYtap_FC20,tap,qnp,0.77449,43.795,56.54688892
Calml4,qnpBYtap_FC20,tap,qnp,0.169486,9.42163,55.58942922
Snx32,qnpBYtap_FC20,tap,qnp,0.325478,18.0161,55.35274274
Cdh13,qnpBYtap_FC20,tap,qnp,0.398973,21.6538,54.27384811
Ntf4,qnpBYtap_FC20,tap,qnp,0.0960259,5.11783,53.29635026
Pdzd7,qnpBYtap_FC20,tap,qnp,0.0266622,1.39876,52.46228743
Ahnak,qnpBYtap_FC20,tap,qnp,4.25889,220.322,51.73225887
Nav3,qnpBYtap_FC20,tap,qnp,0.0740671,3.81711,51.5358371
Mgmt,qnpBYtap_FC20,tap,qnp,0.193989,9.79353,50.48497595
Cyb561a3,qnpBYtap_FC20,tap,qnp,0.202514,10.2053,50.39305925
Mvp,qnpBYtap_FC20,tap,qnp,0.891577,44.6527,50.08283076
Plekhg2,qnpBYtap_FC20,tap,qnp,1.30764,65.4484,50.0507785
Cd151,qnpBYtap_FC20,tap,qnp,0.5098,25.3639,49.7526481
Lhb,qnpBYtap_FC20,tap,qnp,0.0962729,4.75973,49.4399774
Furin,qnpBYtap_FC20,tap,qnp,0.872649,43.1049,49.39546141
Cyr61,qnpBYtap_FC20,tap,qnp,3.53106,172.806,48.93884556
AABR07005985.2,qnpBYtap_FC20,tap,qnp,0.0622619,3.00742,48.3027341
Wwtr1,qnpBYtap_FC20,tap,qnp,0.652961,30.199,46.24931657
Tspan18,qnpBYtap_FC20,tap,qnp,0.0563358,2.60013,46.1541329
Trappc6a,qnpBYtap_FC20,tap,qnp,0.30191,13.883,45.98390249
Tm4sf1,qnpBYtap_FC20,tap,qnp,0.0589487,2.70765,45.93231064
Nudt22,qnpBYtap_FC20,tap,qnp,0.388266,17.8005,45.84614671
Myo1d,qnpBYtap_FC20,tap,qnp,0.327635,14.6645,44.75864911
Fbrs,qnpBYtap_FC20,tap,qnp,0.982044,43.9286,44.73180428
Prss23,qnpBYtap_FC20,tap,qnp,8.07376,350.817,43.45150215
Sdk2,qnpBYtap_FC20,tap,qnp,1.09112,47.3753,43.418964
Msx2,qnpBYtap_FC20,tap,qnp,0.174046,7.44701,42.78759638
LOC100911730,qnpBYtap_FC20,tap,qnp,0.283854,12.0922,42.60006905
Slc8a2,qnpBYtap_FC20,tap,qnp,0.429113,18.2293,42.48135107
Itgb5,qnpBYtap_FC20,tap,qnp,0.626541,26.1115,41.67564453
Ms4a6a,qnpBYtap_FC20,tap,qnp,0.0449775,1.86078,41.37135234
RGD1561796,qnpBYtap_FC20,tap,qnp,0.126333,5.1946,41.1183143
LOC103691238,qnpBYtap_FC20,tap,qnp,0.140079,5.73634,40.95074922
Wif1,qnpBYtap_FC20,tap,qnp,2.19681,89.6395,40.80439364
