"","HuAgeMSNDsplitRnaseq_00","HuAgeMSNDsplitRnaseq_01","HuAgeMSNDsplitRnaseq_02","HuAgeMSNDsplitRnaseq_03","HuAgeMSNDsplitRnaseq_04","HuAgeMSNDsplitRnaseq_05","HuAgeMSNDsplitRnaseq_06","HuAgeMSNDsplitRnaseq_07","HuAgeMSNDsplitRnaseq_08","HuAgeMSNDsplitRnaseq_09","HuAgeMSNDsplitRnaseq_10","HuAgeMSNDsplitRnaseq_11","HuAgeMSNDsplitRnaseq_12","HuAgeMSNDsplitRnaseq_13","HuAgeMSNDsplitRnaseq_14","HuAgeMSNDsplitRnaseq_15","HuAgeMSNDsplitRnaseq_16","HuAgeMSNDsplitRnaseq_17","HuAgeMSNDsplitRnaseq_18","HuAgeMSNDsplitRnaseq_19","HuAgeMSNDsplitRnaseq_20","HuAgeMSNDsplitRnaseq_21","HuAgeMSNDsplitRnaseq_22","HuAgeMSNDsplitRnaseq_23","HuAgeMSNDsplitRnaseq_24","HuAgeMSNDsplitRnaseq_25","HuAgeMSNDsplitRnaseq_26","HuAgeMSNDsplitRnaseq_27","HuAgeMSNDsplitRnaseq_28"
"1","DHFRP2","USP7","AP003555.3","MRPL51","ROPN1L","IGLC6","SYK","SLC15A2","MOG","CRADD","LINC02071","LINC02346","SIX1","GYG2P1","DNM1","HSPD1","KCND2","MTND1P4","ESAM","LINC00596","OR10G3","SNORA75B","KANK4","RPEP2","CNN1","LINC01804","IFIH1","SOX14","OR1A1"
"2","GALE","DDX23","TMEM132D","RPL8","CAPSL","IGHV3-33","MYO1F","GPAM","FA2H","WWOX","AC015849.5","LINC00620","FOXD2","CCBE1","ST8SIA3","SERPINH1","MIR99AHG","RNU6-563P","LSR","AC021231.1","PPIAP82","AP003721.2","B3GAT1","NF1P10","MYH11","AC135012.2","DDX60L","OTP","LINC01427"
"3","KRT18P58","XRCC6","AP003555.1","UQCRB","DYDC2","AC141272.1","ITGB2","GJA1","ENPP2","VTI1A","AC015688.5","LINC01776","AP003385.4","AC080079.1","L1CAM","DNAJB1","ZFPM2","RBMX2P5","ADGRF5","AC005697.1","Z95114.4","RNU4-58P","PICSAR","SNX19P3","CALD1","AL020991.1","NLRC5","C22orf42","HELLPAR"
"4","AL356292.1","HDLBP","AL117329.1","RPS15","AK7","IGHV5-51","LY86","FGFR3","MAG","AC091948.1","AL355773.1","AL591885.1","SIX2","ZFY","TMEM130","DNAJA4","FGF14","GPR32","PODXL","NECTIN3-AS1","AC005005.4","VDAC1P12","RAPGEF5","OR1A2","FLNA","AC112721.2","EPSTI1","HMX3","TMEM212"
"5","AC090568.2","VCP","PSMD10P3","RPL27","TEKT1","MIR4507","CD86","ATP13A4","PLLP","ST6GALNAC3","LINC01588","TMEM241","BMP5","ARSEP1","SLC12A5","ZFAND2A","NLGN1","OR1D5","PECAM1","LINC01107","RPL15P20","AC092436.3","MBOAT1","CSHL1","ACTG2","AL772337.2","PARP14","AC007159.1","OR10K1"
"6","KLHL8","DCTN2","AC009365.1","RPL13A","STOML3","IGHV3-43","TBXAS1","MYO10","CARNS1","RAD51B","MUC12","KRT18P52","SPTLC3","AC104852.1","CARMIL2","CCDC194","MBD5","AL021939.1","MYCT1","CXXC4-AS1","AL158154.2","RN7SL649P","PEX5L","AC005785.1","FBLIM1","RN7SL415P","DDX60","LHX5-AS1","LINC02444"
"7","LYPD8","PSMD2","HHAT","FAU","C11orf88","IGHD1-26","NCKAP1L","MYORG","NKX6-2","DENND1A","RNU6-205P","AC011474.1","STRA6","SAMD3","SYT4","USPL1","ZCCHC7","CYP4A43P","KANK3","NAALADL2","AL121950.1","MIR888","SYNJ2","AC092284.1","AOC3","AC012493.2","STAT1","FEZF1","AP000542.2"
"8","AL136298.2","SUPT16H","U91319.1","COX4I1","CFAP43","IGLV3-25","INPP5D","SALL3","FOLH1","AC114763.1","CLDN19","SH3YL1","AFAP1L1","AC004160.1","PACSIN1","HSPA4L","NEGR1","RNU6-340P","ETS1","ANP32AP1","ATP5MFP5","CALM2P1","SEC14L5","FTLP5","TAGLN","RPS16P9","MX1","HMX2","AL365204.2"
"9","AC079341.1","DDX1","Z82190.2","RPS21","FAM216B","IGLV3-21","APBB1IP","AMOT","PHLDB1","C15orf41","LINC00520","SHANK2","TSKU","ANOS2P","SULT4A1","HSPH1","SLC8A1","AC026202.1","ACVRL1","DPH6","NIFKP4","OR7E10P","ROGDI","RNU7-182P","CASQ2","AC112721.1","RSAD2","DLK1","AC087473.1"
"10","ARMC6","EIF3B","POU6F2","RPL23","CFAP73","IGHV1-18","CYFIP1","GABRG1","SLC45A3","TPD52","LRRC37A9P","FAM161A","OLFML2A","MTCYBP2","SYNGR3","TRIM26","SMYD3","AC245291.1","CLEC14A","SUMF1","AC093426.1","MTCYBP45","LINC01549","GMCL2","TGFB1I1","RPP40P1","GBP5","SHISAL2B","OR5AS1"
