PSID Gene Module kTotal kWithin kOut kDiff rank
DCTN2 DCTN2 HuAgeMSNDsplitRnaseq_01 55.5204620201799 28.1395844001276 27.3808776200523 0.75870678007535 1
XRCC6 XRCC6 HuAgeMSNDsplitRnaseq_01 47.141358224592 27.464849400289 19.676508824303 7.78834057598608 2
USP7 USP7 HuAgeMSNDsplitRnaseq_01 45.742187970732 26.6434069244399 19.0987810462922 7.54462587814766 3
VCP VCP HuAgeMSNDsplitRnaseq_01 47.0078277870631 26.3134005828244 20.6944272042388 5.6189733785856 4
SUPT16H SUPT16H HuAgeMSNDsplitRnaseq_01 47.5458876727831 26.0414073484283 21.5044803243548 4.53692702407344 5
CCT7 CCT7 HuAgeMSNDsplitRnaseq_01 56.7243063809509 25.8637625439522 30.8605438369987 -4.99678129304657 6
WAC WAC HuAgeMSNDsplitRnaseq_01 49.1699658650515 25.6353818532265 23.534584011825 2.10079784140144 7
HDLBP HDLBP HuAgeMSNDsplitRnaseq_01 48.9894182229067 25.5479581150321 23.4414601078747 2.1064980071574 8
DDX23 DDX23 HuAgeMSNDsplitRnaseq_01 41.4433583740994 25.3558682237521 16.0874901503472 9.26837807340488 9
KPNB1 KPNB1 HuAgeMSNDsplitRnaseq_01 44.4285640032656 24.0963771391284 20.3321868641372 3.76419027499119 10
RAD23A RAD23A HuAgeMSNDsplitRnaseq_01 47.9945749591237 23.8381568641488 24.1564180949749 -0.318261230826089 11
DDX1 DDX1 HuAgeMSNDsplitRnaseq_01 40.6083164813947 23.6650292724916 16.9432872089031 6.72174206358856 12
PRPF8 PRPF8 HuAgeMSNDsplitRnaseq_01 46.367331133817 22.8373959244269 23.5299352093902 -0.692539284963324 13
GNL1 GNL1 HuAgeMSNDsplitRnaseq_01 43.6843549011987 22.8264216335469 20.8579332676519 1.96848836589498 14
SLC39A7 SLC39A7 HuAgeMSNDsplitRnaseq_01 42.7978606836131 22.7100092157145 20.0878514678986 2.62215774781589 15
PSMD7 PSMD7 HuAgeMSNDsplitRnaseq_01 38.9904516530002 22.5373232036416 16.4531284493586 6.08419475428293 16
TMEM183A TMEM183A HuAgeMSNDsplitRnaseq_01 41.2367049327826 22.4897007393726 18.7470041934099 3.74269654596271 17
