PSID Gene Module kTotal kWithin kOut kDiff rank
MTND1P4 MTND1P4 grey60 25.5719254476271 9.217982941698 16.3539425059291 -7.13595956423107 1
RBMX2P5 RBMX2P5 grey60 23.7679708772446 8.03803932021745 15.7299315570271 -7.69189223680967 2
AC026202.1 AC026202.1 grey60 24.6490462579464 7.48116750096987 17.1678787569765 -9.68671125600663 3
RNU6-563P RNU6-563P grey60 20.185115156759 6.3656532815974 13.8194618751616 -7.45380859356421 4
GPR32 GPR32 grey60 21.414675576236 6.14143003925698 15.2732455369791 -9.1318154977221 5
OR1D5 OR1D5 grey60 19.728846219843 5.99626592013713 13.7325802997058 -7.73631437956871 6
RN7SKP186 RN7SKP186 grey60 19.7639064032968 5.81392559014404 13.9499808131528 -8.13605522300876 7
AL358335.3 AL358335.3 grey60 19.9982828730157 5.72255455992514 14.2757283130906 -8.55317375316542 8
RNU6-340P RNU6-340P grey60 17.7456647486443 5.68641494812878 12.0592498005155 -6.37283485238675 9
AC245291.1 AC245291.1 grey60 19.3683036380614 5.59202260316798 13.7762810348934 -8.18425843172544 10
AC010928.2 AC010928.2 grey60 18.8766123208438 5.55399613995128 13.3226161808925 -7.76862004094124 11
AL158032.1 AL158032.1 grey60 17.9642951863338 5.49355084607011 12.4707443402637 -6.97719349419363 12
CYP4A43P CYP4A43P grey60 18.1776397027488 5.43147420787992 12.7461654948689 -7.31469128698898 13
AC012629.4 AC012629.4 grey60 17.2100140759092 5.20350607167635 12.0065080042328 -6.80300193255649 14
AL021939.1 AL021939.1 grey60 17.1315178457278 5.18551623628719 11.9460016094406 -6.76048537315344 15
RN7SL499P RN7SL499P grey60 17.0156731819111 5.02988692256448 11.9857862593466 -6.95589933678212 16
AC112203.1 AC112203.1 grey60 22.1512128903437 4.97926310988092 17.1719497804627 -12.1926866705818 17
AC027338.2 AC027338.2 grey60 16.3394682407188 4.80315373183987 11.536314508879 -6.73316077703909 18
YWHAZP2 YWHAZP2 grey60 18.1438931749192 4.59212369233772 13.5517694825815 -8.95964579024374 19
BTF3P2 BTF3P2 grey60 18.065900506079 4.43660522125099 13.629295284828 -9.19269006357706 20
AL929410.1 AL929410.1 grey60 19.080338758763 4.41475073438452 14.6655880243785 -10.2508372899939 21
C5orf17 C5orf17 grey60 17.2851191827942 4.3215657312715 12.9635534515227 -8.64198772025118 22
RNU6-152P RNU6-152P grey60 16.1539359915894 4.31684884884699 11.8370871427424 -7.52023829389543 23
TG TG grey60 25.314084593777 4.09752803731931 21.2165565564577 -17.1190285191384 24
TRAJ20 TRAJ20 grey60 15.9502297639262 3.8913178882269 12.0589118756993 -8.16759398747242 25
RN7SKP254 RN7SKP254 grey60 19.2470162360535 3.77832117133881 15.4686950647147 -11.6903738933759 26
MTCYBP37 MTCYBP37 grey60 17.6257962270443 3.77692141586238 13.8488748111819 -10.0719533953195 27
AC063976.3 AC063976.3 grey60 19.6200845849785 3.66745765165068 15.9526269333278 -12.2851692816771 28
MEMO1P4 MEMO1P4 grey60 18.2149372977748 3.55102083501948 14.6639164627553 -11.1128956277359 29
DYNLL1P7 DYNLL1P7 grey60 15.7590905953769 3.51071303841196 12.2483775569649 -8.73766451855298 30
