PSID Gene Module kTotal kWithin kOut kDiff rank
ESAM ESAM lightgreen 27.4742068946563 7.41185222919187 20.0623546654644 -12.6505024362726 1
LSR LSR lightgreen 27.8101687821854 6.71291421150146 21.0972545706839 -14.3843403591825 2
ADGRF5 ADGRF5 lightgreen 25.6498510619803 5.99113016772026 19.65872089426 -13.6675907265397 3
PODXL PODXL lightgreen 21.8831764868646 5.64356456741671 16.2396119194479 -10.5960473520312 4
CD34 CD34 lightgreen 26.8605873181477 5.23845855568161 21.622128762466 -16.3836702067844 5
PECAM1 PECAM1 lightgreen 24.149252545847 5.17668022470878 18.9725723211382 -13.7958920964294 6
ACVRL1 ACVRL1 lightgreen 20.9379404680697 4.96045072188097 15.9774897461887 -11.0170390243077 7
MYCT1 MYCT1 lightgreen 23.4185939938341 4.9445016674829 18.4740923263512 -13.5295906588683 8
CLEC14A CLEC14A lightgreen 22.9605941229515 4.92381596703984 18.0367781559117 -13.1129621888719 9
VWF VWF lightgreen 22.0343328568235 4.87671977762725 17.1576130791962 -12.280893301569 10
EPAS1 EPAS1 lightgreen 23.7681018648688 4.78365152424572 18.984450340623 -14.2007988163773 11
ABCB1 ABCB1 lightgreen 23.0137487727935 4.58168301176284 18.4320657610307 -13.8503827492679 12
ADGRA2 ADGRA2 lightgreen 28.4986860683737 4.53219152343785 23.9664945449358 -19.434303021498 13
KANK3 KANK3 lightgreen 21.4212227816851 4.49413948230593 16.9270832993792 -12.4329438170732 14
HSPA12B HSPA12B lightgreen 21.3520081432173 4.47134476502404 16.8806633781933 -12.4093186131692 15
MMRN2 MMRN2 lightgreen 20.9643368448351 4.35566303631754 16.6086738085175 -12.2530107722 16
A2M A2M lightgreen 22.4128692887635 4.34892073260327 18.0639485561602 -13.715027823557 17
ETS1 ETS1 lightgreen 25.1783199613036 4.34879460023004 20.8295253610735 -16.4807307608435 18
TGFBR2 TGFBR2 lightgreen 29.0059655001161 4.31946647674594 24.6864990233702 -20.3670325466242 19
GATA2 GATA2 lightgreen 20.0955774375687 4.26071486814621 15.8348625694224 -11.5741477012762 20
TIE1 TIE1 lightgreen 19.4339986083692 4.23409398013415 15.1999046282351 -10.9658106481009 21
GNG11 GNG11 lightgreen 23.2622739430275 4.21655049380922 19.0457234492183 -14.8291729554091 22
ROBO4 ROBO4 lightgreen 20.0201614776116 4.18656061226119 15.8336008653504 -11.6470402530892 23
SHE SHE lightgreen 18.6506858137264 4.16375966950273 14.4869261442237 -10.323166474721 24
FLI1 FLI1 lightgreen 35.5295213690822 4.1541542087735 31.3753671603087 -27.2212129515352 25
SLC2A1 SLC2A1 lightgreen 23.4739267366595 4.14914190258684 19.3247848340726 -15.1756429314858 26
HEG1 HEG1 lightgreen 22.8214038836356 4.14510462256652 18.6762992610691 -14.5311946385026 27
