"Module","StudyGSE53697","StudyGSE64810","StudyGSE68719","StudyGSE67333","GenderM","DiseaseCON","DiseaseAD","DiseaseHD","DiseasePD","DiseaseMS","Age","Tissueprefrontal_cortex","p.value.StudyGSE53697","p.value.StudyGSE64810","p.value.StudyGSE68719","p.value.StudyGSE67333","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseAD","p.value.DiseaseHD","p.value.DiseasePD","p.value.DiseaseMS","p.value.Age","p.value.Tissueprefrontal_cortex"
"MEHuAgeMSNDsplitRnaseq_05","2.86229373536173e-17","2.61509564003504e-16","2.75387351811318e-17","-3.15177571541536e-16","9.62771529167128e-17","-0.0639480705733008","-0.252694332343145","-0.178506917522523","-0.0650840768973127","0.585122571986007","3.49113099540332e-16","4.16984155537925e-16","1","0.999999999999998","1","0.999999999999997","0.999999999999999","0.464612629571291","0.00334103213499916","0.0398064615981856","0.456700599603368","1.40290752630787e-13","0.999999999999997","0.999999999999996"
"MEHuAgeMSNDsplitRnaseq_20","-9.71445146547012e-17","-2.73218947466347e-17","-1.58293517182884e-17","6.85215773010839e-17","-2.86229373536173e-16","0.0367061500441398","-0.433910568064035","0.136596487086774","0.00011527047647277","-0.000531853470720674","1.70870262383715e-16","-1.3314002678122e-16","0.999999999999999","1","1","0.999999999999999","0.999999999999997","0.674878857127954","1.81192705851871e-07","0.11692883807482","0.998949333523822","0.995152294063148","0.999999999999998","0.999999999999999"
"MEHuAgeMSNDsplitRnaseq_15","1.44415729375069e-16","-9.84455572616838e-17","0","1.00342911063533e-16","-3.89445420356793e-16","-0.0409120476196137","0.0151631902456763","-0.139626344943903","-0.026671763171435","0.546148437194044","6.01949046163952e-16","-1.1817803680092e-17","0.999999999999999","0.999999999999999","1","0.999999999999999","0.999999999999996","0.64009720478555","0.862470859850944","0.108954083378277","0.76056074957753","1.05099394731378e-11","0.999999999999994","1"
"MEHuAgeMSNDsplitRnaseq_19","3.45209971719385e-16","-1.74339709335669e-16","-1.31838984174237e-16","2.98155597433514e-16","-1.99493199737333e-16","-0.151844450709685","0.119732044267081","0.324480135769252","0.0721786284484428","0.248785559782545","4.30211422042248e-16","-7.37257477290143e-17","0.999999999999997","0.999999999999998","0.999999999999999","0.999999999999997","0.999999999999998","0.081027048297126","0.169837295047927","0.000138745867829944","0.409016983130226","0.0038819703058177","0.999999999999996","0.999999999999999"
"MEHuAgeMSNDsplitRnaseq_01","-1.73472347597681e-16","-1.97758476261356e-16","6.15826833971767e-16","-3.05311331771918e-16","-1.31838984174237e-16","-0.0318200344152803","0.0763176631743012","-0.0171006083179604","0.0102494981587481","0.244640502408014","6.88685219962792e-16","1.99059518868339e-16","0.999999999999998","0.999999999999998","0.999999999999994","0.999999999999997","0.999999999999999","0.716160685310221","0.382606114091806","0.845106009532989","0.906788507804646","0.00454034737262429","0.999999999999994","0.999999999999998"
"MEHuAgeMSNDsplitRnaseq_21","7.28583859910259e-17","6.85215773010839e-17","2.37223435339828e-16","-4.53413348533438e-16","-9.80118763926896e-16","0.00178588457407847","-0.0707635066568462","0.0199840648515602","-0.00628509131514353","0.66499771119756","1.12410081243297e-15","5.03069808033274e-16","0.999999999999999","0.999999999999999","0.999999999999998","0.999999999999996","0.999999999999991","0.98372314414215","0.418287073003139","0.819401515316849","0.942761297944769","2.56360636847553e-18","0.99999999999999","0.999999999999995"
"MEHuAgeMSNDsplitRnaseq_07","-6.93889390390723e-18","-1.26634813746307e-16","-3.90312782094782e-17","1.60895602396849e-16","1.66533453693773e-16","0.00593218384088434","-0.0489656385313712","0.125611759826077","0.0356984790441509","-0.739880621135418","-3.57353036051222e-16","-2.37657116208823e-16","1","0.999999999999999","1","0.999999999999999","0.999999999999998","0.945970242241902","0.575680819117605","0.149679604334431","0.683318554664568","2.62114359192052e-24","0.999999999999997","0.999999999999998"
"MEHuAgeMSNDsplitRnaseq_13","-5.20417042793042e-17","-1.83880688453542e-16","-2.86229373536173e-16","5.45570533194706e-16","-3.12250225675825e-16","0.0620106146428501","-0.107951695966306","-0.014654344101396","0.0413557142477336","-0.393568057597642","-3.72965547335014e-16","-6.68735899989059e-16","1","0.999999999999998","0.999999999999997","0.999999999999995","0.999999999999997","0.478278797677413","0.216151705393378","0.867042856002772","0.636471712510383","2.77829404003782e-06","0.999999999999997","0.999999999999994"
"MEHuAgeMSNDsplitRnaseq_04","2.77555756156289e-17","2.34187669256869e-17","2.94902990916057e-17","-3.59521440396193e-16","1.61329283265843e-16","0.0457790592729187","-0.150103296016867","0.00702127689084087","-0.00813358635570489","-0.470278195036022","-1.92554305833426e-16","1.04517089427603e-16","1","1","1","0.999999999999997","0.999999999999999","0.600806694567513","0.0846140289285487","0.936070267860705","0.925969340391514","1.1196728471201e-08","0.999999999999998","0.999999999999999"
"MEHuAgeMSNDsplitRnaseq_27","-1.28803218091278e-16","-7.80625564189563e-18","-7.94178091345632e-17","2.76607079255364e-16","-2.50450701844152e-16","-0.0382719062930004","-0.396986309558826","0.225810316458886","0.0350464445558767","0.190701849484701","3.11491284155085e-16","-1.92256150235992e-16","0.999999999999999","1","0.999999999999999","0.999999999999998","0.999999999999998","0.661845093281949","2.23471185551043e-06","0.00896369601453197","0.688800639871368","0.0278963663318622","0.999999999999997","0.999999999999998"
