"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues","StudyGSE53697","StudyGSE64810","StudyGSE68719","StudyGSE67333","GenderM","DiseaseCON","DiseaseAD","DiseaseHD","DiseasePD","DiseaseMS","Age","Tissueprefrontal_cortex","p.value.StudyGSE53697","p.value.StudyGSE64810","p.value.StudyGSE68719","p.value.StudyGSE67333","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseAD","p.value.DiseaseHD","p.value.DiseasePD","p.value.DiseaseMS","p.value.Age","p.value.Tissueprefrontal_cortex"
"1","black","MSbyO_FC1.25__","User",1.11058721195294e-15,-0.0170096665835372,0.0160701741287769,-0.00474280850117232,0.0115313271615124,0.0110485536541572,0.0219346099556439,-0.0999260081289737,0.144349943508987,0.027246944109924,-0.661495092631652,7.65482923322657e-05,0.00114497520303962,0.845919515747933,0.854332962639855,0.956791170287038,0.895194041129117,0.899558386309421,0.802119820975408,0.252461171668792,0.0973770938292405,0.75555828541371,4.43650856960685e-18,0.999302278086576,0.989564079753741
"2","cyan","PDbyO_FC1.25__","User",7.28476204192779e-10,-0.0175962068105558,-0.0533059434515528,0.0516966126627783,0.0420069775169382,-0.0139307850421982,-0.0199761626381757,-0.288675134594813,0.0240583239181646,0.0866948221679399,0.104446593573419,0.029562950498721,-0.0326317932866291,0.840675594881349,0.542269462433473,0.554545829634936,0.631165383266698,0.87355159571063,0.819471711080746,0.000752295874294587,0.783412336370661,0.321077781492843,0.231524013008177,0.735519791856447,0.709241311721575
"3","darkgrey","MSbyO_FC1.25__","User",5.7563560150154e-07,0.0668655858801119,0.000391955466555535,-0.0602336679648885,0.0271809854521365,-0.0393904956365603,0.064237072012957,0.321983803971137,-0.102648848717502,-0.0629156709447335,-0.382970843102535,0.0609349923062279,-0.00686985121823771,0.444444894865602,0.996427418026875,0.491001254913015,0.756131431519568,0.652595021101976,0.462592679916359,0.000157202991035296,0.239699390015951,0.471867957625106,5.37396785566634e-06,0.485958601482392,0.937446193660125
"4","darkgrey","HDbyO_FC1.25__","User",4.79791646345758e-06,0.0668655858801119,0.000391955466555535,-0.0602336679648885,0.0271809854521365,-0.0393904956365603,0.064237072012957,0.321983803971137,-0.102648848717502,-0.0629156709447335,-0.382970843102535,0.0609349923062279,-0.00686985121823771,0.444444894865602,0.996427418026875,0.491001254913015,0.756131431519568,0.652595021101976,0.462592679916359,0.000157202991035296,0.239699390015951,0.471867957625106,5.37396785566634e-06,0.485958601482392,0.937446193660125
"5","midnightblue","MSbyO_FC1.25__","User",0.000210462285656467,0.0610001836099266,0.123074016498438,-0.119518774229542,-0.0378886463878266,0.0441942146166286,0.0759877559177662,0.0555144489605409,-0.213317138741059,-0.223424941701377,0.522232967867094,-0.0424154087813085,0.0950329418522882,0.485491274684204,0.158146593965973,0.170604519933345,0.665026287153852,0.613482664564817,0.384672529851035,0.525643506107031,0.0136892237030621,0.00973494329463925,1.14148293019977e-10,0.627847128524782,0.276554161648386
"6","red","MSbyO_FC1.25__","User",2.38555670058054e-12,0.0164231263565187,0.0501702997191085,-0.00711421275175848,-0.0255336530004918,0.0480371898006833,-0.0693290350383743,0.321983803971137,0.0368894300078523,-0.00445859085435119,0.174077655955698,0.0301192014230022,0.080720751814293,0.851170191891551,0.566311677640773,0.935225901546491,0.770488159069222,0.582950757704929,0.427807545336878,0.000157202991035296,0.673348101989342,0.95937822040381,0.0450766254901789,0.730732813022063,0.355674727716957
"7","red","ADbyO_FC1.25__","User",0.0158038633463211,0.0164231263565187,0.0501702997191085,-0.00711421275175848,-0.0255336530004918,0.0480371898006833,-0.0693290350383743,0.321983803971137,0.0368894300078523,-0.00445859085435119,0.174077655955698,0.0301192014230022,0.080720751814293,0.851170191891551,0.566311677640773,0.935225901546491,0.770488159069222,0.582950757704929,0.427807545336878,0.000157202991035296,0.673348101989342,0.95937822040381,0.0450766254901789,0.730732813022063,0.355674727716957
"8","tan","ADbyO_FC1.25__","User",1.81334327017048e-30,0.0610001836099266,-0.00352759919899982,-0.107661752976612,0.0131786596131571,-0.0883884292332573,0.0466110461557432,0.266469355010596,-0.0176427708733207,-0.104529185585345,-0.452601905484814,0.0884285873022334,-0.0755683634006147,0.485491274684204,0.967855256468191,0.217395044011406,0.880326275346884,0.311679213003113,0.594199437228141,0.00193309864448811,0.840259588301579,0.231153181896946,4.51184433971126e-08,0.311458556840414,0.387309165937374
"9","tan","HDbyO_FC1.25__","User",0.000233292239475827,0.0610001836099266,-0.00352759919899982,-0.107661752976612,0.0131786596131571,-0.0883884292332573,0.0466110461557432,0.266469355010596,-0.0176427708733207,-0.104529185585345,-0.452601905484814,0.0884285873022334,-0.0755683634006147,0.485491274684204,0.967855256468191,0.217395044011406,0.880326275346884,0.311679213003113,0.594199437228141,0.00193309864448811,0.840259588301579,0.231153181896946,4.51184433971126e-08,0.311458556840414,0.387309165937374
"10","tan","MSbyO_FC1.25__","User",0.00558792138025988,0.0610001836099266,-0.00352759919899982,-0.107661752976612,0.0131786596131571,-0.0883884292332573,0.0466110461557432,0.266469355010596,-0.0176427708733207,-0.104529185585345,-0.452601905484814,0.0884285873022334,-0.0755683634006147,0.485491274684204,0.967855256468191,0.217395044011406,0.880326275346884,0.311679213003113,0.594199437228141,0.00193309864448811,0.840259588301579,0.231153181896946,4.51184433971126e-08,0.311458556840414,0.387309165937374
