"","InputCategories","UserDefinedCategories","Type","NumOverlap","Pvalues","CorrectedPvalues"
"1","black","ADbyCON_FC1.25__","User",13,0.151239414373327,1
"2","black","HDbyCON_FC1.25__","User",7,0.942556718019027,1
"3","black","MSbyCON_FC1.25__","User",8,0.967145154405056,1
"4","black","PDbyCON_FC1.25__","User",11,0.773617364526312,1
"5","blue","ADbyCON_FC1.25__","User",3,0.999972833666949,1
"6","blue","HDbyCON_FC1.25__","User",18,0.530547782644112,1
"7","blue","MSbyCON_FC1.25__","User",25,0.247268406308001,1
"8","blue","PDbyCON_FC1.25__","User",14,0.958966124755433,1
"9","brown","ADbyCON_FC1.25__","User",5,0.998125503613797,1
"10","brown","HDbyCON_FC1.25__","User",32,0.000212065443492028,0.0237513296711072
"11","brown","MSbyCON_FC1.25__","User",17,0.769305277067239,1
"12","brown","PDbyCON_FC1.25__","User",24,0.138723461370735,1
"13","cyan","ADbyCON_FC1.25__","User",4,0.787250960518734,1
"14","cyan","HDbyCON_FC1.25__","User",24,4.06515562755078e-08,4.55297430285688e-06
"15","cyan","MSbyCON_FC1.25__","User",18,0.000918292900019494,0.102848804802183
"16","cyan","PDbyCON_FC1.25__","User",37,1.07533387107605e-15,1.20437393560517e-13
"17","darkgreen","ADbyCON_FC1.25__","User",0,1,1
"18","darkgreen","HDbyCON_FC1.25__","User",1,0.911155701321483,1
"19","darkgreen","MSbyCON_FC1.25__","User",9,0.00254744510903519,0.285313852211941
"20","darkgreen","PDbyCON_FC1.25__","User",2,0.767241686771796,1
"21","darkgrey","ADbyCON_FC1.25__","User",11,2.05683127148002e-06,0.000230365102405763
"22","darkgrey","HDbyCON_FC1.25__","User",1,0.888567561386708,1
"23","darkgrey","MSbyCON_FC1.25__","User",4,0.265157099385049,1
"24","darkgrey","PDbyCON_FC1.25__","User",3,0.460783805622868,1
"25","darkorange","ADbyCON_FC1.25__","User",1,0.801284417450868,1
"26","darkorange","HDbyCON_FC1.25__","User",0,1,1
"27","darkorange","MSbyCON_FC1.25__","User",1,0.905002992265573,1
"28","darkorange","PDbyCON_FC1.25__","User",2,0.658833687634339,1
